,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.115037779946541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11044448638864,0,0.378742947698118,0.49795679929423,0.0117317410284155,-0.220003138810294,0,0,0.287142112353604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157914199394588,0,0,0.0635372969226689,0
X601318.CH.EQUITY,0,0,0,0,6.93889390390723e-18,0.1378601820872,0,0,0,0,0,0,0.0337000955088188,0.151322164876268,0,0,0,0.16578654186395,0,0,0,0,0,0,0,0,0,0,0,0.0126663157984843,0.0401416990170523,0.0539141828644013,0,0,0,0.0285988453446704,0.211688179611057,0,0,0,0,0,0,0,0,0,0,0,0,0.0690098791336971,0,0,0.144315118694073
X601939.CH.EQUITY,0,0.0689601504159945,0,0,0.807120227812208,0,0,0,0,0.00202680921867284,0,0,0,0,0,0.0834202602316739,0,0.018615560169926,0.0584232201669563,0,0,0.00324034127220587,0,0,0,0,0.0104578093193831,0,0.00997574556048733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.406644974597382,0,0,0,0,0,0,0,0,0,0.0918251377982413,0,0,0,0,0,0,0,0,0.00353936250297719,0,0,0,0,0.308968711180528,0,0,0,0,0,0,0,0,0,0.106210984087985,0.0450944900549761,0,0,0,6.93889390390723e-18,0,0.0753564753947846
X601288.CH.EQUITY,0,0,1.00443073816807,-0.044002830618836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697182832291166,0,0,0,0,0,-0.00622476711363054,0,0,0,0,0,0,-0.00280372325562691,0,0,-0.0665254454267872,0,-0.0887749554796621,-0.0428910657970389,0
X600036.CH.EQUITY,0,0,0.366764298372123,0,0,0,0,0,0.046338914161212,-0.00593304501083921,0,0,0,0,0,0.146512646126906,0,0,0,0.00358551956097793,0.0477366996697171,0,0,0,0,0,0.0968686871282907,0,0.275419855551863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257727736353297,0,0,0,0,0,0.0429571065495746,0,0
X601988.CH.EQUITY,0,0,0,-0.0836760734245397,0,0.0660509182941637,0,0,0,0,0,-0.0602752032426285,0,0.0795078780347582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0948977981736096,0,0,0,0,0,0,-0.0198734154854195,0.988309620484396,0,0.0282495262783457,0
X1299.HK.EQUITY,0,0,0,0.158190211349656,0,0,0,0,0,0.132062316817309,0,0,0,0,0,0,0,0,0,0,0,0,-0.208130060367132,0,0,0.083553350966581,0.419956011311393,0,0,0.163706604356047,0.380581470293282,0.0949008027363361,0,0,0,0,0,0,0,0,0,0,0,0,-0.172181768986067,0,0,0,0,0,0.0889827056566349,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821635825596094,0,-0.134138820911129,0,0,0,0,0,0,0,0.302035501439002,0.394690309032516,0,0,0,0.0598327537809312,0,0,0,-0.0420394385723793,0,0,0,0,0,0,0,0.0619801914168727,0,-0.123177984044145,0,0,0.188336368603719,0,0.202814081153628,0,-0.0664626801079213
X388.HK.EQUITY,0,0,0,0.316191872817801,0,0,0,0,0,0,0,0,0,0,0,-0.0125626667108843,0,0,-0.176777630683416,0,0,0,0,0,0.412545219665793,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.115072932464169,-0.134426338053277,0.246007218293241,0.0679135629789824,0,0,0,-0.133344715289291,0,0.0612152277624997
