,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.454090847640042,0,0.104396729710175,0.0839753138814895,0,0.0438913629245038,0,0,0,0,0,0.0398344945894077,-0.00874634715963911,0,0,0,0.0665340612311379,0.0442621867951266,0,0,0,0,0,0,0.105433407829578,0,0,0,0,0,0.0171035060194674,0,6.93889390390723e-18,0,0,0,0,0.00984917592016191,0,0,0,0,0,0,0,0,0,0,0.0131231606594899,-1.73472347597681e-18,0
X601939.CH.EQUITY,0.253408380011665,0,0,0.368507411100543,0,0.149058875303645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031543905566619,0.0469351871812067,0,0,0,0,0,0.0814436850150434,0,0,0,-0.0124040964990254,-3.46944695195361e-18,0,0.00857155180278581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109456108976428
X601318.CH.EQUITY,0,0.0860142702827651,0,-1.38777878078145e-17,0,0,0,0,0.00711072975982909,0.0591621603127143,0,0,0,0,0,0,0,0.114063940667684,0.0256168041404635,0,0,0,0,0,0,0,0,0,0,0,0,0.0887726838482587,0,0.167777707191176,0.0316731291877221,0,0,0,0.109687908175426,0,0,0,0,0,0,0.219715183603998,0,0,0,0,0,0
X601288.CH.EQUITY,0.217366982478704,0.075392942784625,0,0,-0.0155277365656433,0.0162499605476945,0,0,0,0.156008032728906,0,0,0,0,0,0,0,0.118903625439747,0,0,0,0,0,0,0.00647565375410061,0.270852239639258,0,0.0731359514113341,0,0.0688037790471327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.135852199150591,0,0.0409785705425919,0,0.250427961673855,0.0814390848281784,0,0,0,0.37676005909552,0,0,-0.189355831679655,0,0,0,0,0,0,0,0,0,0,0,0.101341193127885,0,0,0,0,0,0,-0.267148035371692,0,0,0,0,0,0,0,-0.49755988101669,0,0,0,0,0,-0.322072568695866,0
X601988.CH.EQUITY,0.012916881608031,0.27124904971892,0,0,0,0,0,0,0.0265417160932081,0,0,0,0.109324402270923,0,0,0,0,0,0,0,0,0,0.607840893398766,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0296566479661167,0.0494733937476054,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0136608128995126,0,0,0,0,-0.00215707149904324,0,0,0,0,0.047707372773791,0,0,0,0,0,0,0.731060088695915,0,0,0,0.139067216048739,0.00315994353095007,0,0,0,0,0,0,0,0,0,-0.00173547053739586,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0.10005468576514,0,0,-0.110264108500403,0,0,0.169918098143049,0,0,0,0,0,-0.0850884555110487,0,0.282417740694653,0,0,0,0.014068723839337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524661864599477,0,-0.00369739155058625,0,0,0,0,0,0,0.289450458335281,0,0,0.123141247759555
X601628.CH.EQUITY,0,0,0.146518783817105,0.0753468205369387,0,0,0,0,0,0,0.0515947300372783,0,0,0,0,0,0.0677689082938802,0.0911393025314079,0,0,0,0,0,0,0,0.0837977281577107,0,0,0,0,0,0,0,0.0316047219682886,0,0.229353326391705,0,0,0,0,0,0,0.129916417630673,0,-0.04020136778144,0.0855544208544886,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0665021275498879,0,0.000896966328262297,0,0.04684679502732,0.00578731255854377,0,0,0,0.116057490540888,0,0,0,0,0,0,0,0,0.0128705424028036,0.200606622148813,0,0,0,0,0,0,0,0,0,0.150595064238493,0,0,0,0,0,0,0.170694490509547,0.267131952715588,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.125271683963696,0.0121485985949218,0,0,0.0517099606251722,0.197097264363628,0,0,0,0,0.11927837037722,0,0,0,0.0308552826494732,0,0,0,0,0,0,0.158620533371153,0,0,0,0,0,0,0,0,0,0,0.0481783385492456,0,0,0,0,0,0,0,0,0,0,0,0.106411843362741,0,0,0,0.0419474051135248,0,0.0276445419280828
X600000.CH.EQUITY,0,0,0,0,0.0714093906255862,0.00251786002386375,0.257010739211318,0.0891806899051613,0,0.100882353426958,0.0804731264781038,0,0,0,0,0,0,0,0,0,0,0,0.124042606547348,0,0,0,0,0,0,0,0,0,0,0,0,0.0255091912360375,0,0,0.00166885451928738,4.33680868994202e-19,0,0.00258384336731604,0,0,0,0,0,0,0.0430166379134178,0,0,0
