,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.222839379392315,0,0,0,0,0.37239261525104,0,0,0,0,0,0.0285603216834894,0,0,0,0,0,0,0,0,0,0,0,0.254591033692884,0,0,0,0.017338203696468,0.0257066537850366,0,0,0.0729643417423024,0,0.0608153028687039,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898774556078005,0,0,0,0
X601318.CH.EQUITY,0,0,0.220144395127913,0,0,0,0,0,0.144413521922494,0,0,0,0,0.129694368653869,0.092946276084792,0,0,0,0,0.161250468814838,0,0.0826463606206941,0,0,0,0,0,0.0253364042773962,0,0,0,0,0,0,0,0,0,0,0.0526133083113797,0,0.0470378512178582,0,0,0,-0.0574259914750045,0,0,0,0,0,0,0,-0.188780391447462
X601939.CH.EQUITY,0.314095840767083,0.0680825292854947,0,0,0,0,0,0.278448773769465,0.219703289401647,0,0,0,0,0,0,0.157871323991551,0.0283247814597077,0,0,0,0,0,0,0,0,0.0683592334925436,0.0642701828461457,0.222612099416955,0,-0.0908450075405344,0,0,0,0.0967246983863284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070362591849007,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.157392747672826,0.0244023174529742,0,0.0663963048518026,-0.104932990295151,0,-0.111351089392912,0.188510454699414,0,0,0.214707092306236,0,0,0,0.126064935714519,0,0,0,0,0,0,0.386710999181378,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0922239245941524,0,0,0,0,0,0,0,0,0,0.0107476668227556,0,-0.0359409489280682
X601288.CH.EQUITY,0,0,0.102014786280802,0,0,0,0,0.4596444520362,0,-0.0600321736578074,0,0.0706515387119855,0,0,0,0,0,0,0,0,0,0,0.143223031588931,0,0,0.0608351139288467,0,0.125275618254374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229201435023725,0,0,0.0124660534054851,0,0,0
X1299.HK.EQUITY,0,0,-0.0584627340993853,0,0,0,0,-0.00182312381943169,0,0.160258700305066,0,-0.0944939892583426,-0.0756001805241432,0,0,0,0,0,0,0,0,0,0.161128298327645,0,0,0,0,0,0,0,0,0,0,0.123711406641317,0,0.0531860892554662,0,0,0.227603236912196,0,0,3.46944695195361e-18,0.251390197577741,0,0,0,0,0.0842884839885247,0.183661030663937,0,0,0,0
X601628.CH.EQUITY,0,0,0,-0.0135873277177561,0,0,0,0,0,0,0,0,0,0,0,-0.0236580676698792,0,0,0.107303907218435,0,0,0,0,-0.148065798426594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467457334268346,0.00455621330331365,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0295086353109273,0,0
X601988.CH.EQUITY,0,0,0,0,0.525065476893097,0,0,0,-0.00799836497561363,0,0,-5.42101086242752e-20,0,0,0,0,0.286972171820207,0.135126450870381,0,0.043477905080835,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418468417168558,0,0,0,0,0,0,0,0,0,0,-0.0982117198860006,0.00137593506526232,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0209277857661369,0.0846658351086471,0,0,0,0,0,0,0,0.163240464605198,0,0,0,0,0,0,0,0,0,0,0,0.0815584791450946,0,0.100920678978681,0,0,0,0,0,0,0,0,0.105619754278516,0,0.0850753363357297,0,0,0,0,0.376687665454025,0,0,0,0,0,0.0849446015836642,0,0,0,0,-0.0571633020338944,0
X388.HK.EQUITY,0,0,1.0842021724855e-19,-0.322428692547631,0,0.239279065204816,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.157110790803185,0.207389411850478,0,4.33680868994202e-19,0,0,0,0,-0.00731261321084202,0,0,0,0,0,0,0,-0.0963237730873357,0,0,0,0,0,0.182665088737162,0,0,0,0,0,0,0,0.150436223032116,0.0401553119170544,0,0,-0.0670522259700008,0
