,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.177954214181149,0,0.183100440580487,0,0.159013466002914,0,0,-0.0642168531535146,0,0,0,0,0,0,0,0,0.0727307579000737,0,0,0.139825875438647,0,0,0,0,0,0,0,0,0,0,0,0,0.0669632525060329,0,0,0.00895877882803134,0.0282220191124978,0,0,0,0,0,0,0,0,0.172198601369948,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0640083265636681,0,0.149675263595528,0.0369485140964235,0,0.0251605794955309,0,0,0.206204584405769,0,0,0,0,0,0.302890548453507,0,0,0,-0.0336877614893093,0,0,0,0,0,0,0.0377679679522936,0,0,0,0.17434241531419,0,0.052736908582182,0,0,0,0,0,0.0257022630301626,0,0,0,0,0,0,0,0,0.142608837923333,0
X601939.CH.EQUITY,0,0,0,0,0.139624994812826,0,0.349687124532144,0,0,0,0,0,-0.164512656323779,0,0,0,0,0,0,0,0.0136642043747056,0,0.59096807295557,0,0,0,0,-0.0171402548231785,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252613028542276,0,0,0,0,0,0,0,0,0,-0.122103415746862,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0915573258139144,0,0,0,0,0,0,0,0,0,0,0.220785504097589,0,0,0,0,0,0,0,0.0855709326960855,0,0,-0.197069838557664,0.134998858578944,0,0,0,0,0.382629677992005,0.230828776966133,0,0,0,0,0,0,0,0,0,0,0.0708739676211683,0,0,0,0,0,0.0164806993791813,-0.118352206886097
X601288.CH.EQUITY,0.0836753201007224,0,0,0,0,0,0,-0.011648272449128,0,0.0110555816541246,0,0,0,0.0416421839691797,0,0.453461084887084,0,0,0,0,0,0,0.32140972118324,0,0,0,0,0,0,0.000679063240355913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026107422986394,0,0,-0.0157256745166831,0,0,-0.0604754987388878,0
X600036.CH.EQUITY,0.122499582875024,0.151033073241399,0,0.161574401375586,0,0,0.051435811260187,0,0,-1.73472347597681e-18,0,0,0,0.310316991947439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.188995028869135,0,0,0.0337217565058564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330648552165704,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.297689495408637,0,0,0.247288370241406,0.202403068052809,0,0,0,0,0,0,0,0,0,0.0377287638625136,0,0,0,0,0.166337599203298,0,0,-0.0210507126219869,0,0.0813684653517406,0,0,0,0,0.10435901537791,0,0,-0.00705288290195707,0,0,0,0,0,0,0,0,0,-0.11501458217215,0,0,0,0,0,0,0.0837778010005772,0,0.0603183071219252
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.35960534273952,0,0,0,0,0,0,0,0.0314408896203386,0,-0.0355569676285208,-8.6491572428047e-05,0,0,0.0667646779541795,0,0,0.226804138312622,0,0.0233493402781281,0,0,0,0,0,0,0,0,0,0,0.0911764833260739,0,0.0809419494808358,0,0,0,0,0,0,0,0,0,-0.125127562217621,-0.156372053225667
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0623471045391703,0,0,0,0,0,0,-0.153073623319585,0,0,0.0274162418320389,0,0.0161595447311713,0,0,0,0,0.124454290095736,0.448632292430033,0,0,0,0.134109163123629,0,0,0,0,0,0,0,-0.175574911734022,0,0.257719688345797,0,0.232519750971324,0,0,0,0,0.174203966095037,0,0,0,0
X388.HK.EQUITY,0,0.179261059218412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142255959342828,0,0,0,0,0,0,0,0.290418211577627,0,0.215857320437986,0,0,0.142525814506983,0,0,0,0,0,-0.105924721579651,0,0,0.253697254304486,0,0,0,0,-0.0642923140652547,0,0
X601658.CH.Equity,0.0905872974305132,0.0764807328525312,0,0,0,0,0,0.111484310035267,0,0,0,0,0,0.0878037359690996,0,0.29169392271028,0,0,0.0514075790180783,0,0,0,0.0362353878093311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714414573281655,0,0,0,0,-0.116331818341079,0,0,9.66392304393784e-05,0.199769171734581,0.0386066553245537,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303606925941022,0,0.00783503357367022,0,0,0,0,0.0574224091944143,0,0,0,0,0,0.327362312447561,0,0,0,0.0622897466929067,0,0,0,0,0,0,0,0,0.0771123726233129,0,0.227852576561993,0,0.205825424868881,0.00748197252613131,0,0,8.67361737988404e-19,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172517945794894,0,0.474560371391539,0,0.0829478681543662,-0.0722668169120191,0,0,0,0.0797028885205778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165378223075509,0,0,0.0667652386143285,0,0,0,-0.0236981615257974,0,0,0,0.181090654762804,0,0,0.0221192540261915
X000001.CH.EQUITY,0,0.0284721108386075,0,0,0,0.578003177169487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070826550751313,0,0.241541015633438,0.0684739941474759,0.0385433035994458,0,0,-0.250589265929451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00947060458304835,0
X000002.CH.EQUITY,0,0,0,-0.37070011480719,0.0589208762793639,0,0,0,0.244111124608994,0,0,0.0390758225878874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104526256691102,0,0,0,0,0.255253655164296,0.0342286584580766,-0.0999677531584949,0,0,0,0.0689379388648275,0,-0.0250624618299939,0,0,0,0,0,0,0,0.0945759596660299,0.029136008067559
X601328.CH.EQUITY,0,0,0.0350105050800535,0,0,0.00580697764112931,0.113180528646118,0,0,0.052536252180484,0.164720339415628,0,0,0.0193899919629135,0,0,0.138209662804495,0,0.119386589142097,0,0,0,0,0,0,0,0,0,0.034925687932406,0,0,0,0.235312621430093,0,0,0,0.0661771186524462,0,0,0,0,0,0,0,0,0,0,0.0100377612744793,0,0.0295215464438003,0,0,0
X601601.CH.EQUITY,0,0.435519409166808,0,0.123094506129587,0,0,0,-0.0325971192177784,0,0,0,0.129748472376393,0,0,0,0,0,0,0,0.263988166350752,0,0,0,0,0,0,0,0,0,0,-0.144599471807381,0,0,0,0.188553847631345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000875690734535771,0
