,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.416541383460935,0,0.221358740732791,0,3.46944695195361e-18,0,0,0,0,0,0,0.00199787455601746,0,0,0,0,0.031405752880704,0,0,0,0,0,0,0,0,0,0.0652620853526551,0,-0.101329396045518,0,0,0,-0.0153772192643436,0,0,0,0,0.0506680314443368,0,0,0,0.176727265477838,0,0,0,0,0,0,-0.0231715517707765,0,0
X601939.CH.EQUITY,0.150341227738658,0,0,0.571775505282167,0,0.040143932809376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.152169647695445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102279186769271,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0132847274641821,0,0,0,0,0,0,0,0.0865609993865702,0.290884520224222,0,0,0,0,0,0,0.139409473922333,0,0,0,0,0,0,0,0,0,0.0497657539547595,0,0,0,0.197920711738531,0.0686212841937151,0,0.0130977758409144,0,0,0,0.0185122099629095,0,0.0694953248518702,0,0,0,0
X601288.CH.EQUITY,0.199537119535067,0.196240229560132,0,0,0,0.164382349785563,0,0,0,0,0,0.0364045417456926,0,0,0,0,0,0.122378033280554,0,0,0,0,0,0,0,0,0.12135398332718,0,0,0.0568700479449152,0,0,0,0,0,0,0.00711065102690137,0,0,0.0795950735732746,0,0,0,0,0,0,0,0,0,0,0,-0.113567160095154
X5.HK.EQUITY,0,0,0,0,0,0.0664113038683835,0,0.337008445365565,0,0,0,0,0,0,0,0.192525750231225,0,0,-0.0544341068190375,0,0,0,0,0,0,0.0532907577102928,0,0,0,0.32112304343706,0,0,0,-0.138681033039115,0,0,0,0,0,0,0,0.228669164666362,0,-0.0897171379283414,0,-0.339130141830624,-1.73472347597681e-18,-0.0439363342962745,0,-0.244223777578728,0,0
X601988.CH.EQUITY,0.126353326026161,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0147145633804601,0.0145133869665019,0,0,0,0,0,0,0,0,0.604172220007383,0.0198497488373614,0,0,0,0,0.0235244578413399,0.128715476761486,0,0,0,0,0,0,0,0,0.0567642834782612,0,0,0,0,0,0,0,0,0,0,-0.0862368773757959,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0248282371842,0,0,-0.0228687044457373,0,0,0,0,0,0.072455104398391,0,0,0,0,0,0,0.721580537949344,-0.00801746082059774,0.0269778663982778,0,0,0.0987847614600393,0,0,0,0,0,0,0,0,0,0,-0.0012880224981953,0,0.0667645383399552,0.0579389139937367,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.227348937154627,0,0,0,0,0,0,0,0.178735893158467,0.124214705753798,0,0,0,0,0.0642827681318555,0,0.126082700556965,0,0,0,0,0,0,0.0409176358603624,0.0859353022576402,0,0,0,0.184003728339752,0,0,0,0,0,0,0,0,0,0,-0.103404945042982,0,0,0,0,0,0,0,0.0839547514471182
X601628.CH.EQUITY,0,0,0.217416334255647,1.73472347597681e-18,0,0,0.0305834012112424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504687146785544,0,0,0,0,0,0,0,0,0,0,0,0,0.403608631071101,0,0.233031312752442,0,0,0.0292895832333362,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.171104479723026,0,0,0,0,0.115252813380139,0,0,0,0,0,0,0.258945195834185,0,0,0,0,0,0,0,0.226983248274392,0,0,0,0,0.0662370270228738,0,0,0,0,0.00608227885683424,-0.00589595298971948,0,0,0,0,0,0.201640175628246,-3.46944695195361e-18,0,0,0,0.00225641060055373,0,0,0,0,0.028576880390538,0,0,0
