,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.288216522127646,0,0,0.297310438962199,0,0.0406310708431554,0,0.257088630090699,0,0.0460692294520296,0,0,0,0,0,0,-0.00805682264551303,0,0,0,0,0,0,-0.168968604285053,0,0,0,0,0,0,0,0,0.13648502031999,0.0530726501809185,0,0,-0.0730357640832808,0,0,0,-0.103754835817301,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.203780905912451,0,0.223642173996042,0,0,0,0.203005309608923,-0.0669762087239561,0,0,0,0,-0.311922351677528,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0347689992747804,0,0.168481144403613,0,0,0,0,0,0,0,0,0,0.120327965875672,0,0,0,0,0,0.0839403378491212,0,0
X600000.CH.EQUITY,0.264031123354605,0.0452929246313612,0,0,0.0161894239065809,0.110919504748711,0,0,0,0,0.209064253950914,0,0,-0.0862346711355866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114417757682299,0,0,0,0,0,0,0,0,0.043212095676899,0.193219298379203,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0.105376149970215,0,0.181909778885575,0,0,0,0.242983166435217,-0.160987748906604,0,0,0.178322668356659,0.0781820772745407,0,0,0,0.0636030521614934,0,0,0,0,0,0.165035881618136,0.00465544450515859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775873166464718,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0
X600016.CH.EQUITY,0.120905013417223,0,0.132284000174199,0.00136901105270648,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134340591013455,0,0.10660042883348,0.454922857440704,0,0,0,0,0,0.212220591888526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155929503142548,0,0.123602990530348,0,0
X600036.CH.EQUITY,0,0,0.142105387430423,0,0,0,0,0,0.0396763572578521,0.209426434134818,0,0.0156624319741364,0,0,0,0,0,0,0,0,0.252171326598834,3.46944695195361e-18,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0341598605817968,0.0337024093991419,0,0,0,0,0,0,0.00140156030897507,0,0.0785344356196581,0.229948719808733,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0.126484804131141,0,0.00359912109859006,0,0.0638905323155225,0,0.103217041317595,0.0833030872506205,0,0.100099695228288,0,0.0316154592091199,0,0.0234424962410086,0.0936915992152838,0,0,0,0,0.118700087912612,0.0689634829079295,0.08791620191967,0.0393894816301297,0,0,0,0,0,0,0,0.105016757382632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0.0190504460762602,0,0,0,0.611616665951115,0,0,0,-0.172257150507245,-0.028463372448753,0.159316783274858,0,0,-0.0367439267134926,0,0,0,0.0209497489184208,0,0,0,0,0,0,0,0,0,0,0,0.128045755975119,0,0,0,-0.0135102533688258,0,0,0,0,0,0,0,0,0,0.0652234177201274,0,0
X601009.CH.EQUITY,0,0,0,0,0,3.46944695195361e-18,0.0824097337625156,0,0,0.132343289751366,0,0.21028454410293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183880868082123,0,0,0,0,0,0,0,0,0,0,0.0255847945748615,0,0,0.0345973942000513,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.317432085052168,0,0,-0.0304248650525657,0,0.265542451759374,0,0.174068713346061,0,0,0,-0.12451247739659,-0.0559021396638029,0,0,0,0,0.0833455490730672,0,0,0,0,0.305650203829272,0,0,0.0639060578232026,0,0,0,0,0,0,0,0,0,0,-0.052202641410205,0,0,0,0,0,0,0,0,0.0549044843051536,0,0,0,0.144426519948117,-0.024343414201752
X601169.CH.EQUITY,0,0,0.269259199864964,0.027829541224389,0.0427754834613578,0,0,0,0,0,0,0,0,0.0888469628577942,0,0,0,0,0,0,0,0.0258729022515721,0,0.225700907526508,0.266246603876398,0.00560677013228637,0,0,0,0,0,0,0,0,0,0,0.0632388077049931,0,0,0.0645758519907374,0,0,0,0.0697012579622612,0,0,0,0.173924539564659,0,0,0
X601229.CH.EQUITY,0,0.00115529141418026,0.0371734964379184,0.311433153971105,0,0.0678107635700369,0.00224209441418035,0,0.0975938260813768,0,0.113549725328185,0,0,0,0,0.105760471299293,0,0,0,0,0.210256027099938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199623140133662,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535427714400568
X601288.CH.EQUITY,0,0,0,0,0,0.0121494509316262,0.239633936935192,0,0,0,0,0,0,0.197963498529512,0.203411704380942,-0.134101548925168,0,0,0.178752432331567,0.146842343595464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253174778562683,0,-0.0447936119844742,0,-0.076119569784758,0,0,0,0,-0.0262471622084228,-0.0411024131093488,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0716432457190098,0,0,0,0,0,0,0,0.294346754629988,0.0413953641143574,0.0350132726705241,0,0,0,0,0,0,0.198680688421675,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.025262526263046,0,0,0,0,0.0613163959893813,0,0,0,0,0,-0.0198687944890976,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.0324263398750335,0,0,0,0,0,0,0,0,0,0.524577685990049,0.0489518814715364,0,0,0.00929910610767736,0.248188406996858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965582913339561,0.00970471464257763,0,0.0811209947202758,0.00485609296189078,0,0,0,0,0,-3.46944695195361e-18,0
X601577.CH.EQUITY,0,0,0.249905489389675,0,0,0.0647063454334963,0.0341077092283197,0.17623055942069,0,0,0,0.118590956005588,0,0,-0.104754706814371,0,0,0,0,0,0.15218299917911,0,0.125064975603968,0,0,0,0,0,0,-0.0519761509164096,0,0,0,0,0.0391526030489494,0,0,0,0,0.00620197846610325,0,0,0,0,0,0,0,0,0.0394107717666731,0,0
X601818.CH.EQUITY,0,0,0.0557653210834276,0,0,0,0,-0.0539834887107557,0,0,0.0707990188581453,0.118906691458217,0,0,0,0,0,0,0,0.0765772308997966,0.319751239500758,0.142730068141595,0.0096539064703667,0.0842654067808599,0,0,0,0,0,0,0,0,0.00609635301176211,0,0,0,0,0,0,0,0,0,0,0.165025539264527,0,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,0,0,0,0,0.37506299561764,-0.18897919871302,0.154378560647467,0,0,0,0,0,0,0,0,0.0510127080334585,0,0.377496301957243,0,0,-0.102918619356935,0.117035763095733,0,0,0,0,0,0,0,0,0,0,0,-0.0455648844374338,0,0,0,2.39202380452469e-05,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,-0.0124479026255193,0.07121088316383,0,0,0,0,0,0,0,0,0,0,0.116127798898395,0,0.299075826351499,0,0,0.00394596802532575,0,0,0,0.360329532124475,0,0,0,0,0,-0.126358357796975,0,0,0,0,0.0749788454491089,0,0,0,0,0,0,0.116899902726206,0,0,0.0601792349051062,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,-0.157879075852113,-0.251186640382659,0,0,-0.0438452280165872,0.492618230753004,0,0.309124547719114,0,0,0,0,0,0,0,0,0.0967822476835128,0.105484081914372,0,0,0,0,0,0.118407450428707,0,0,0,0,0,0,0,0,0,0,0,-0.0963453386898507,0,0,0,0,0,-0.0433782875388977,0,0
X601997.CH.EQUITY,0.0134824348183508,0,0,0,0,0,0.0143199378186416,0,0,0.085888519992084,0,0.155856224572604,0,0,0,0.0748962413007611,0.247762169324474,0.123131879410704,0,0,0,0,0.048585786214067,0.0248907764415754,0.240622361741969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
