,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.586931574943411,0,0.180500475436985,0.0258569254881286,0,0,0,0,0,0,0,0.0627603519439282,0,0,0,0,0.0275354196792839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00157483745656329,0,0,0,0,0.0255216867702331,0,-0.0438348133401564,0.110197296468782,0,-0.0100461841429283,-0.0216922119949014,0,0,0,0,0.0431845845430446
X601939.CH.EQUITY,0.0575174385614976,0,0,0.576652289136888,0,0.0408950003263246,0,0,0,0.024403708194571,0.0683593502148656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138637548091082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313121531454713
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0127580770071725,0,0,0,0,0,0,-2.16840434497101e-19,0.0856618070053879,0.295224657319176,0,0,0,0,0,0,0.141298559689515,0,0,0,0,3.46944695195361e-18,0,-3.46944695195361e-18,0.0481459597541977,0,0,0,0.0032242144431742,0,0.0667530434939961,0.192061172269156,0,0.0138952639575583,0,0,0,0.0199419352062412,0,0,0.0642714803056539,0,0
X601288.CH.EQUITY,0.116490666409828,-1.73472347597681e-18,0.00653568261376604,0,0,0.0640567727126528,0,0,0,0.0824931999506882,0,0.036657134666946,0,0,0,0,0,0,0,0,0,0,0,0,0.150480695675832,0,0.296878496381509,0,0,0.153341623767534,0,0.0581694900648215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.263649287917207,0,0.388987045593326,0,0,0.0941159761892643,0,0,2.77555756156289e-17,0,0,0.160727669188752,0,0,-0.27954206490294,0,0,0,0,0,0.380075362472975,0,0,0,0.164443580638931,0,0,0,0,-0.132444411344035,0,0,0,0,0,0,0.0642981028542873,0,0,0,-0.401836708928318,0,0,-0.138215497628469,-0.187906293139762,0
X601988.CH.EQUITY,0.123614753738338,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.603319831167772,0.00561159031322421,0,0,0,0,0.0203501697647562,0.139091140860964,0,0,0,0,0,0,0,0,0,0.0553955822189781,0,0,0,0,0.0252830977560066,0,0,0,0,-0.0901145632580094,0
X600036.CH.EQUITY,0,0,0,0,-0.0282031403477805,0,0,0,0.0323500533434415,0,0,0,0,0,0,0,-0.0222122285852666,0.0377889775322325,0,0,0,0,0,0,0.757626800147192,-0.00619471912776919,0.0323273324135224,0,0,0.103270713534935,0,0,0,0,0,0,0,0,0,0,0,0,0.0653836779852171,0.0704323210164341,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.234478884112283,0,0,0,0,0,0,0,0.171685019722961,0,0,0,0,0,0,0.124761858264934,0.00711015257744872,0,0,0,0,0,0,0.184746077088294,0.126576845405665,0,0,0,0,0.135956138368884,0,0,0,0,0,0,0,0,0,-0.112188404745723,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.218319022036216,0,0,0,0.0307741507663244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505686968609515,0,0,0,0,0,0,0,0,0,0,0,0,0.402711258608502,0.231693849701656,0,0,0,0.0293128476865222,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.171812205650112,0,2.77555756156289e-17,0,0,0.115083554719548,0,0,0,0,0,0,0.256717097799403,0,0,0,0,0,0,0,0.224864324544132,0,0,0,0,0.0656269851063997,0,0,0,0,0.00608078332292695,0,-0.00585911963959014,0,0,0,0,3.46944695195361e-18,0.19859749008459,0,0,0,0.00222110574871709,0,0,0,0.0278517036420363,0,0,0
