,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.125451312773675,0,0,0.0936800534736594,0,0,0,0,0,0.0757162493572869,0,0,0,0,0,0,0,0,0,0,0,0,0.202982980126471,0,0.292547452911248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137091169090735,-0.0432009080902667,0,-0.231014729957205,0
X601939.CH.EQUITY,0.205572954337054,0,0,0.329781461308229,0,0,0,0,0,0,0,0,0,0.260461439825051,-0.0215807966347266,0,0,0,0,0,0.000982412322804757,0,0,0,-0.109498700296953,0.235422591985052,0,0,0,0,-0.108092796375586,0,0,0,0,0,0,0,-0.0222663864839846,0,-0.0384351164260169,0,0,0,0,0,0,0.0797790923782567,0,0,0,0
X601318.CH.EQUITY,0.0577067832034747,0,0,0,0.246165620864151,0.187319736645458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107947030275179,0,0,0,0.136947664666332,0.0121640315085939,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0650026797560654,0,0,0,0,0.0466660122334368,0,0,0,0,0,0,0,0,0,0,-0.0213552176202958,0
X601288.CH.EQUITY,0,0.261694928489623,0.077766699066991,0,0.226075854204799,0,0,0,0,0,0.370515396239571,0,0.174875731959997,0.0438003351303667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017615992522106,3.46944695195361e-18,0,0,0,0,0,-0.0427054526491686,0,0,0,0,0,0,-0.123691312375217,0,-0.0600247820091979,0,0
X601988.CH.EQUITY,0,0,0,0.41629331549476,0,0,0,0,0,0.343613398229538,0,0,0,0,0,0.197521125926321,0,0.0676597883237564,0,0.110705052596957,0,0,0,0,0,0,0.0797293352195319,0,0,0,0,0,0,0,0,0,0,0,-0.535277715892881,0,0.0633366195190304,0,0,0,0,0,0,0,0,0,0,0.246540848802996
X600036.CH.EQUITY,0,0.17515364027628,0,0,0,0,0,0,0.0971852379176323,0,0,0,0.0354269980926868,0,0,0,0,0.175250344589078,-0.00177389987907177,0,0,0,0,0.181209917922829,0,0,0,0,0,0,0,0,0.369998317728032,0,0,0,0,0,0,0,0,0,0.0429813041820585,0.00831499347148061,0,0.0893599991734257,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131097448261174,0,0,0.373020989319932,8.67361737988404e-19,-3.46944695195361e-18,0,0,0,0.00749409220919766,0,0,0,0,0,0,0,0.0441561952304549,0,0,0,0,-2.16840434497101e-19,0,0,0,0.291457275168127,0,0,0.0289319712121197,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104584495896772,0,0,-0.0110928829628606,0,0,0,-0.356866284359103,0.563570849260943,0,0,0,0,0.640181357930469,0,0.105666774494631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245346772954286,0.0126136678183734,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.263165612073985,0,0,0,0,0,-0.165515683885993,0,0,0,0,0.136427806054622,0,0,0,0,0.212602555462106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250538450889964,-1.38777878078145e-17,0,0,0,0,0,0.227826097036815,0,0,-0.110223771081919,0.0818466759397625
X601658.CH.Equity,0,0.14549909667606,0,0,0.0151750203679078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394245940200617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187779966532307,0,0,0.111773251353269,0,0,0,-3.46944695195361e-18,0,0,0.00877064980786597,0,0,0,0,0,0
X601328.CH.EQUITY,0.473647819949908,0,0,0.156833140327604,0,0,0,0,0,-0.0237174033064009,0,0,0,0,-3.46944695195361e-18,0.0762324053752318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282320502370707,0,8.67361737988404e-19,0,0,0.0499203475696243,0,0,0,0,0,0,0,0,0,0.0178400325919225,0,0,0,0,0,0.0581900377345133,0
X388.HK.EQUITY,0,0,0.306784866546887,0,0,0,0.104012267685609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938561973972174,0,0,0.0245102420010496,0,0,0,0,0,0,0,-1.0842021724855e-19,0.0231757803218265,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0557713389209762,0,0,0.344212946786288,0,0,0,0.00877624088699276,0.0660650089680276,0,0,0,0.0565094021883554,0,0,0.0161651596523098,0,0,0.0533329659280213,0,0,0,0,0,0,0,0,0.263901932832478,0,0,0,0,0,0.0465426146217099,0,0,0,0,0,0,0,0,0,0,0,0.119800890812521,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.120491240473322,0.134917587431216,0,0,0,0,0,0,0.00931972416578865,0.342849220841514,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.146343972100489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793299486053213,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0374307258301639,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.328742435072436,0.03148477293082,0,0,0.41553588252548,0,0.0109333057805791,0.0395609449667769,0,0.0672333763731803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.053711044259891,0,0,0.0478861781037288,0,0,0.00375294613772597,0,0,0,0.0184767152650143,0,0,0.432290886858271,0,0,0,0,0,0,0,0.0742135316147602,0.147544931928878,0.111026197849083,0,0.0131350190003638,0.103389146034541,0.0555315222095744,0.0147520585191912,0,0,0,0,0,0,0,0,0,0,0,-0.0711900607359354
