,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.230524789551176,0,0.129576931723658,0,0,0,0,0.242139746731084,0.0637603253752368,0,0.134294526306736,0,0,0,0,0,0,0.0939649216983938,0,0,-0.0766375080734051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725479796203069,0,0,0,0,0,0,0,0,0,0.0182469134558502,0.0255933743759145,0,0,0,0,0
X601939.CH.EQUITY,0.497270760241033,0,0,0,0,0,-0.0559523597932485,0,0,0.0325371010932178,0.211252647938159,0,0.200045754566103,0,0,0,0,0,0,0,0,0,0,0,0,-0.00903557923690503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.232647405651886,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200102035304846,0,0,0,0,0,0,0.152796658336926,0,0,0.0792160764881962,0,0.173848699257707,0.183460216666824,0,0,0,0,0
X601288.CH.EQUITY,0.347243304332562,0.0458798214478237,0,0,0.401559701138324,0,0,-0.0313980518382695,0,0,0.0626208884052393,0,0,0,0.114190702058025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210530601597102,0,0,0,0,0,0,0,0,0.0134116037300848,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0864082825027575,0,0.292102489172734,0,0,0,0.00303782197445952,0,0,0.249529813563192,0,5.55111512312578e-17,0.105015693145863,0,0,0,0,0.141427394214448,0,0,0,0,0,0,0.0695768212145888,0,-0.0120077594041849,0,0,0.0161130764873514,0,0,0,0,0,0,0,0,0,0,0.0508900486634721,0,0,0,0,0,0.0496270042525271,0,0,0,0
X600036.CH.EQUITY,0,0,0.0399671938427217,0,0,0,0.0229149245348951,0,0,0,0,0.427319681222172,0,0,0,0,0,0,0,0,0,0.0211588536413617,0,0,0,0.11063312531281,0,0,0,0,0,0,0,0,0,0,0,0.0575357317381412,0,0,0,0.0487353599630078,0,0,0,0,0,0,0,0.251690334996655,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.091560200733955,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0106635614605011,0,0,0.096866145593247,0,0,0,0,0.0430514810512412,0,0.175177755180227,0,0,0.106048902129656,0,0.214547910275657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148050959481925,0,0,0,0
X5.HK.EQUITY,0,-0.189036775461348,0,-0.0913792322425224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22209840948741,0,-0.794209092502947,0,0,0,0.48593328558909,0,0,0,0,0,0,0,0,0,0,0,0.413130781150586,0,0,0,0,0,0,0,0,0,0,-0.0938974283212262,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.174180587910526,0,0,0,0,0,0,0.198630978905012,0,0.223408356577845,0,0,0,0.0087093051167709,0,0,0,0.0103456195267384,0,0,0,0,0,0,0.0747969135056253,0,0,0,0,0.113089129256028,0,0,0,0,0,0,0,0,0,-0.0329251448853992,0
X601658.CH.Equity,0,0,-0.150025616094908,0.285782490153355,0,0,0,0.103074900681196,0.0345064039297207,0,0,0,0,0,-0.203877241127366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677008939237479,-0.0304514175717414,0,0,0,0,0,0,0,0,0,-0.0707135556098114,0,0,0,0,0,0.665355554082428,0,0,0,-0.108005442081098,0,0
