,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.443887544734037,0.0634587231955012,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.130834044316205,0,0.0899549149580695,0,0,0,-0.12039609659636,0,0.0104065026903946,0,0,0,0,0,0,0.047622446833397,0,0,0,0,0,0,0,0.0413738913814425,0,0,0,0,0,0,0,0,0,0.121313000453366,0.137855893349053,0,0,0
X601318.CH.EQUITY,0,0,0.178622692276241,0,0.0291935037481594,0,0,0,0,0,0,0,0,0,0.3011765508814,0,0.0366720403695196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154899665767474,0,0,0,0,0,0.170416501377183,0,0,0,0,0,0,0,0.0833827043803876,0,0,0
X601939.CH.EQUITY,0.163262751067453,0,0,0,0,0,0,0,0,0,0.17060088966868,0,0,0.288587950396335,0,0,0,0,0.0431497533361463,0.177699801325741,0,0,-0.0326270264560782,0,0,0,0,0,0,0.0187517271839121,0,0,0,0,0,0.0878656825919713,0,0,0,0,0.0368200535610426,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0
X601288.CH.EQUITY,0.347013619295061,0,0.0192507879025582,0,0.502085349042109,0,0,0,0,0,0.0113050380023978,0,0,0,0,0,0.045309716577385,-0.0267756768511486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089388803397504,0,0,0
X601988.CH.EQUITY,0,0,0,0.115347093991341,0,0,0,0,0,0,0,0.475403839760236,0,0.0154771594530031,0,0,0,0,0,0,0,0,0,0.0387973117086799,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0895182625846934,0,0,-6.93889390390723e-18,0,0,0,0.0892646624268745,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.309779823749687,0,0,0,0.0612495178771919,0,0,0,0.312015555856065,0,0.18839151114802,0,0,0.55950407124358,-0.598488222343827,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313133602856783,-0.0981578259315189
X600036.CH.EQUITY,0,0,0,0.0519158458976606,0,0,0,0.101327061735412,0,0,0,0,0,0,0.145135332089283,0,0,0,0.088814744971552,0,0,0,0.0529389825803562,0,0,0,0,0,0,0,0.185372096113284,0,0.199241365452645,0,0,0.0555087797143407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0796971991214538,0,0,0,0,0.0946972094267542,0.168248510677116,0,0,0,0,0,0,0.0497327657485591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267158516911044,0,0,0
X601628.CH.EQUITY,0,0,0.264547846533386,0.0324273027911466,0.227216198411876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536338314682095,0,0,0,0.133126001553314,0,0,0,0,0,0,0.110722290909594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.224651232758368,0,0,0,0,0,0.0807007738668572,0,0,0,-0.111466555541315,0,0,0,0,0,0,0.450376867819528,0,0,0,0,0,0.146990616868647,0,0,-0.166222685151809,0,0,0.139591560070261,0,0,-0.0220341423065634,0,0.575302356858709,-0.207901872908762,0,0,0,0,0.513031461540752,0,-0.230587061137442,0,0,0
X601166.CH.EQUITY,0,0,0,0.15108645764806,0,0,0.255415954801535,0,0,0,0,0,0,0.171957042330894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294499024013848,0,0,0,0.0323250600019775,0,0,0,0.114734816217592,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0
