,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0163126893234523,0.469510226816757,0,0,0,0,0,0,0,0,0,0,0,0,0.0321415810413475,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125408940200056,0,0,0,0,0,0,0,0.213393054344517,0,0,0,0,0,0.0279259842405445,0,0,0,0.0457450725361024,0.0331753946725394,0.227323153157367,0.0368294147751789,0
X601318.CH.EQUITY,0,0,0,0,0.046683266175412,0,0,0.0485945410256512,0.0893018536660815,0,0,0,0,0.0493277239968618,0,0,0,0,0.251095401829078,0,0.254830593528467,0.136500213050715,0,0,0,0,0.0579519835375753,0.0842658928761546,0,0,0,0,0,0,0,0.00548395409703358,0,0,0,0,0,0,0,0,0,0.0196794960441091,0,0,0,0,0,0.112475491199609
X601939.CH.EQUITY,0,0,0,0.287200877589427,-0.0385739399565984,0,0,0,0,-0.0108429212315059,0.0395984415464323,0,0,0,0,0,0,0,0,0,0,-0.269741594715719,0,0.712172812750076,0,0.052834412441049,-0.141273678831934,0.0668722430180721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139169929952294,0,0,0,-0.0360905113797511,0,0,0,-0.0893589989515831,0
X601288.CH.EQUITY,0.218424024791653,0,0.0200526582258593,0,0,0.0380749507581224,-0.057907341701401,0.288952325908445,0,0,0,0,0,0,0,0.115800337366214,0,0.00616085331614493,0,0,0,-4.33680868994202e-19,0,0.0346720383607578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170141364761222,0,0,0.110475839972579,0,-0.0919239996646831,0
X600036.CH.EQUITY,0,0.201232047077334,0,0,0,0.0187577091615317,0.113530998826178,0.0971159118312336,0,0,0,0,0,0.181697805020043,0,0,0,0,0,0,0,0,0.0882657755544144,0,0,0,0,0,0.338692640450765,0.0058393473383927,0,0.0591156919652376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293287038359829
X601628.CH.EQUITY,0.0860302946626888,0,0,0,0,0,0,0,0,0.00230980242827727,0,0,0,0,0,-0.0427397835321623,0,0.185384252049361,0,0,0,0.0531287611682541,0,0,0,0,-0.0418548867532657,0,-0.104833445545292,0,0,0.0376887947693453,0.21722099847039,0,0.0856763872318327,0,0,0.54594698736864,0,0,-0.0354067534950944,0,0.0703083343411715,0,0,0,0,0,0,0,0,0.0263345131397434
X1299.HK.EQUITY,0,0,-0.0770498484411244,-0.0250656022409488,0,0.0301098646202211,0,0,0,0.139639188127608,0,0,0,-0.0899153559745815,-0.0642876534375564,0,0,0,0,0,0,0,0,0,0.118249402996815,0,0,-0.00897237877037999,0,0,0,0,0,0,0,0,0,0,0,0.299812089234399,0.139868570591579,0.138829905031584,0,0.0449711203425712,0,0,0,0.0855256223209244,0.235787437226854,0,0,0
X601988.CH.EQUITY,0.0309536605674573,0.0192900212266938,0.0459301925538066,0.171874643525888,0.356602443257728,0,0,0,0,0,0,0,0,0,0,0.188654186515819,0,0,0,0,0,0,-0.0081004416510159,0,0,0,0,0.0757901004759473,0,0.0160541391892236,0,0,-0.121408010493473,0,0,0.270372355611717,0,0,0,-0.0836084280529727,0,0,0,0,0,0,0,0,0,0,0.045266440228804,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.028347334551024,0,0,0,0,0,0.0437175041703375,0,0,0,0,0,0,0,0,0,0,0.141889902838305,0,0.0124500751755279,0,0,0,0,0,0,0,0,0,0,0,-0.000394799411089167,0.474199344853656,0,0,0.260801580941286,0,0.194207224051197,0,-8.67361737988404e-19,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.0260516921931371,0,0.0760368154953724,0,0,0,-0.0106243246877436,-0.0704586911057826,0,0,0,0,0,0,0,0,0,0.431998236112954,0,0,0,0,0.277397448768467,0,-0.0313400958140872,0,0,0,0,0,0,0,0,0,0.323371099191655,0,0,0,0.0216444815844983,0.0925215761147971,0,0,0,0,0,0,0,0
