,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.236940221325642,0,0.215744906803207,0,0,0,0,0,0,0,0.0135037689518845,0.256308759590514,0,0,0,0,0.0976991444213073,-0.0786017610094708,0,0,0,0,0,0,0,-0.137908675555323,0,0,0,0,0,0,0,0,0,0.0437927126982683,0,0,0.11053595416442,0,0,0,0,0,0,0,0.0671677852341537,0,-0.0157628303242207,0,0.0439591373108684
X601318.CH.EQUITY,0,0,-0.0539824280269007,0,0,0.0645158249269815,0,0,0.228030975504506,0,0,0,0.138479209850016,0,0,0,0.217900877138888,0,0,0,0,0,0,-0.0117627809048277,-0.00881358544018686,0,-0.10763226971109,0,0,0,-0.154786987712724,0,0,0,0.230289107296801,0,0,0,0,0.140153177595268,0.2801925566485,-0.249629319277033,0,0.250875679143731,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.659595400766932,0,0,0,0,0,0,0,0,0,0.0833468824903599,0,0.0332710977629301,0,0,0,0,0,0,0,0,0,0,0,0.00168445575483184,0,0,0,0,0,0.0561455288451619,0,0,0.241397434833648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.292746136824917,0,0.0903919996597943,0,0,0.401067572705901,0,0,0,0,0,0,0,0,0,0,0.0263115907359829,0.121778374087518,0,0,0,-0.0481090027943066,0,0,0,0,-0.0445126167922129,0,0,0,0,0,0,0,-0.0460676743449368,0,0,0,0,0,0,0.141950822021449,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.209989601879549,0,0.242771415619224,0,0,0,-0.0531633971708965,0,0,0,0,0.196493685664228,0,0,0,0,0,0,0,0.489126741529957,0,0,0,0,0,0,0,0,0,0.308395073172443,0,0.0388388156324687,0,0,0,0,0,0,0,0,0.0476152874299469,0,0,0,0,0,0.212377467092952,0,-0.0736224697265131,-0.0783356530743711,0
X601988.CH.EQUITY,0.184978429601154,0.0381183577924522,0.20991914636702,0,0,0,0,0,0.143301620683509,0,-8.67361737988404e-19,0.0171149440173271,0,-0.202486320102881,0,0,0,0,0,0,0.0785802691826402,0,0.154360544697362,0,0,0,0,0,0,0,0,0,0,0.0526739113729022,3.46944695195361e-18,0,0.0295599226047436,0,0,0.194865670285808,0,0,0,0.0828919254517162,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.164427448039286,0,0,0.0317934718437223,0,0.127542313377933,0,0.372952537624422,0,0.0321998777565116,0,0,0,0,0,0,0,0,0,0,0,0,0.0847507584673774,0,0.110220071820027,0.0238987462332066,0,0.0527865992277048,0.00918611460340594,-0.0212010282350668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.135278163419479,0,0,0,0.120737479250053,0,0,-0.0793494528880313,0,0,0,0.231233842736858,0,0,0.0624429877528537,0,0,0.0307404213779237,0,0.0316476643783507,0,0.0585879189104116,0,0,0,0,0.0187204790762919,0.250634016060958,0,0.00377534449083581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.237662621884676,0.139131024747957,0,0,0,0.00570638481901338,0,0,0,0,0,0,0,0,0,0,0.0478936065002765,0,0,0,-0.123487903501859,0,0,0,0,0,0,0.156443714889088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925575293328285,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.172578632268704,-0.448765984523081,0,0,0,-0.109895339935859,0,0,0,0,0,0,0.642721049126632,0,0,0,0,0.182603145569662,0,0,0,0,0,0,0.0268237582194102,0,0,0,0,-0.568188389349642,0,0,0,0,0,0.0174885253918815,0.526528222008665,-0.222443367016058,-0.0466991608047755,0,0,0.0647402553992221
