,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.359140559651881,0,0,0,0,0,0.137260835836857,0,0,0,0.19768910805912,0,0,0,0.0820748096772077,0,-0.0201363049150529,0,0,0,0,0,0,0,0,0,0,0,0,0.306759712519192,0,0,0,0,0,0,0,0,0,-0.0525550254185358,0.00580742052169526
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.145591709126981,0,0,0,0,0,0,0,0.100523574639699,0,0.0632776758848105,0.0552506093879645,0,0,0,0,0,0.107694469989027,0,0.00454274878459053,0,0,0,0,0,0,0,0.164724833652024,0,0,0,0.275899576096084,0,0,0,0,0.00915146087858156,0,0,0,0,0,0
X601939.CH.EQUITY,0.262339267057391,0,0,0,0,0,0,0,0,0.0274318395039998,0,0,0,0,0,-0.0263371127567609,-0.0911479253326579,0,0,0.180466643357544,0,0.135587666110073,0,0,0,-0.153089763428513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474050130916035,0,0,0,0,0,0,0,0,0,0.118951932432959
X601288.CH.EQUITY,0,0,0,0,-0.093403726892802,0,0,0,0.135213118464004,0,0.253839945831483,0,0.0168219908008149,0.363399604011778,0,-0.0992925139119133,0,0,0,0,-0.0908367778851481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.118716045814149,0.398571732647476,0,0,0,0.0106570985610676,0,0,0.135058592748672,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165962252563481,0,0,0,0,0,0,0,0,0.102217800094675,0,0,0.252764172220376,0,0,0,0,0.0768538721337306,-0.120592340879932,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.261558940313272,0,0.056189003987407,0,0.0721319256874772,0,0.110030671659554,0,0,0.12270093857145,0,0,0,0.0525056401372225,0,0,0,0,0,0,0.0247588613199441,0,0,0,0,0,-0.248118574158738,0,0.145939313117939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801510095205749,0
X1299.HK.EQUITY,0,0,0,0,0.232610441736515,0,0,0,0,0,0,0,0,0,0,0,0,0.071646999088998,0.0689219900043279,0,0,0,0,0,0,0.134883983703529,0,0.133571049578762,0,0.0969736359054517,0,0,0,0,0,0,0.252840480871984,0,0,0,0,0,0,-0.0481237089047896,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.215705396896896,-0.0347176439264307,0,0,0,-0.0624188835118125,0,0,0.340699098212071,0,0,0,0,0.0797114869903485,0.10182112229366,0,0,0,0,0.290070922859919,0,0,0,0,0,0,-0.0337306784490385,0.170529362808713,0,0,0,0,-0.186553887629184,0,0,0,-0.139961731694872,0,-0.0429560454031125,0,0,0,0.328649780867355,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.200275769962277,0.0154418873520339,0.0937467881931842,0,0,0,0,0,0,0,0,0,0,0,0,0.237259199219637,0,0,0,0,0,0.0999768489297485,0,0,0,0,0,0,0,0,0,0,0,0.182201390901717,0,0,0,0,0,0,0,0.0278793623681738,0.0903750103869421,0.057181136368646,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.681733526542063,0,0,0,0,0.109647756259632,0,0,0,0,0,0,0,0.14557697433511,0,0,-4.33680868994202e-19,0,0,0.125959259220951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487816605576104,0,0,-0.177600998996523,0,-0.0633190900841516,0,-0.10566308119077,-0.0139790600690928
