,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.258835202062528,0,0,0,0.2627185915934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170040899771624,0,0,0,0.0915979656356963,0.0353369287264255,0,0.00978786344817588,0.0602009234095702,0,0.0800787871215571,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325237212429318,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.154854543164742,0,0,0,0.0318710605808237,0.0948952753393853,0,0.0633583924977094,0,0.19472088422953,0,0,0,0,0,0,0.199044100581285,0,0.0535240346983097,0,0,0,0,0,0,0.19055909655895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114159436976454,0,0,0.0484117335419655,0,0,0.127157914907181,0,0.0442774414335021
X600036.CH.EQUITY,0,0,0,0,0,0.163391369518213,0,0,0,0,0,0,0.159816795237178,0,0.0678429526753461,0,0,0,0,0,0,0,0,0,0.103866938908588,0,0,0.0447413449953813,0.0371800763718969,0,0,0,0.0744213935891015,0,0,0,0,0,-0.107591687677814,0,0.0257528571160652,0,-0.073354846351365,0,0,0,0,0,-0.0452455451012868,0.397636104708226,-0.0444854411971126,0
X601939.CH.EQUITY,0.615298084372856,0.148221168575325,0,0,0,0,0,0,8.67361737988404e-19,0,0.135693889719983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746968904205263,0,0.076484939377029,0,0,0,0,0.0243895820214101,0,0,0,0,0,0.191773001583195,0,0,0,0,0,0,0,0,0,0,0.0938747068311382,0,0
X601288.CH.EQUITY,0,0.0553566850303591,0,0.0978788412094003,0,0,0,0.46962212384057,0,-0.0119768590967886,0,0,0,0,0,0,0,0,0.0972981795949089,0,0,0,0.0575278024244238,0,0.0575059653895524,0,0,0.0201654942827876,0,0,0,0,0.0434923490439908,0,0,-0.0651176590901544,0,0,0,0,0,0,0,0.125987797840702,0,0,0.0125960027702347,0.0102152724002022,0,0,-0.00737451203081945,-0.0733332687248414
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0748684858835631,0,0,-0.0787053180790364,0,0,0,0,0,0,0,0,0,0.0750464662213687,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105523751543035,0.10201466592195,0.152051621490067,0,0.184177427970174,0,0,0.042251070874516,0,0.196371811588435,0,0,0,0
X601628.CH.EQUITY,0,0,-0.0549872587312437,0,0,0,0,0,0,0.161289937777199,0,0,0,0,-0.0679494032628362,0.13511505082063,0,0,0,0,-0.0325318378762132,0,0.133876706234568,-0.0667640340170925,0,0,0,0,0,-0.0258309577944774,0,0,0,0,0,3.46944695195361e-18,0,0.399279688970136,0,0,0,0,0,0.0101803666161633,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.405113062323393,0,0,0,0,0,0,0.0857636997652297,-0.00803334237668123,0,0,0,0,0.212848368406042,0,0,0,0,0,0,0.0649944356726362,0,0,0,0,0,0,0,-0.117601449345918,0,0.00966496639094266,0.0695437058380438,0,0,0,0,0.0836769767106648,0,0,-0.0597859333640252,0,0.0991805244759459,0,0,0,0,0,-0.107065461875637
X5.HK.EQUITY,0,0.195853974402328,0,0.067496189824862,0,0,0,0,0,-0.0930100534978565,0,0.0859173208124058,0,0,0,0,0,0,0,0,0,0,0.0749532939011718,0,0,0,0.144984325693697,0,0,0,0,0,0.0420201835484432,0,0,0,0,0,0.279156442665609,0,0,0,0,0,0,0,0.0285960255951677,0,0,0,0,-0.0786220123179239
X388.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0604219371997335,0,0,0,0,0,-0.149556745816925,-0.0508350034833098,0.31477929417942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273603027977926,0,0,0,-0.13394950364772,0.321863359172602,0,0,0.161513324872892,0,0.0575115228046752,0,0.0803527912065124,0,0,0,0,0,-0.413312883419583,0
X601166.CH.EQUITY,0,0,0.0175672222807806,0.048678133921128,0,0,0,0,0,-0.103936944688403,0,0,0.439275328244356,0,0,0,0,0,0,0,-0.113857735267951,0,0,0,0,0,0,0.164560729607904,-0.0266092262323912,0,0.0950041606325199,0.191884621855754,0,0,0,-0.113330479575924,0,0.00567717260011243,0,0,0,0,0,0,0,0,0.0500370019490261,0,0,0,0,-0.0547696704498627
X601658.CH.Equity,0,0,0,0,0,0,0.150061104972,0.468906560233853,0.0716295664325729,0,0,0,-0.00548336064676375,0,0,0.166634018081177,0,0,0,0,0,0,0,0,0,0,0,0,-0.382727036320436,0,0,0,-0.0822877699362983,0,0,0,0,0,0,0,0.0264927592784103,0,0,0.143269361006802,0,0,0,0,1.73472347597681e-18,0,0,0
X000001.CH.EQUITY,0,0.102776717405511,0.174935442478665,0,0,0.151902268193469,0,0,0,0,0.484191604918044,0,0,0,0,0,0.108194667655361,0,0,0,0,0,0,0.152933666296293,0,0,0,0,0,0,-0.0952489244309858,0,0,0,-0.130078708844393,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992501962520677,0,0,0.147693724361475
X600030.CH.EQUITY,0,0.0591810253916097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140269128793869,0.114060681398341,0,0,0.19494513360251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214686855374801,0,0.0313487024719463,0,0,0,0,0,0.13557914433744,0,0,0,0.195876388041413,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.140890277181087,0,0,0,-0.0551315332455566,0,0,0,0,0,0,0,0,0,0,-0.0236372840009004,0,0,0,0,0,0.00524069580987172,0.24620209896563,-0.175455000454013,0,0,0,0,0.022039515489361,0.712241171566093,0,0,0.0105077109254972,0,0,0,0.00520858263225792,0,0,0,0,0,0,0,0,0,0,0,0,0
