,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.244648588058675,0,0.133296052465704,0,0.0386329766903943,0,0,0.250958463249207,0.0713478247139668,0,0.107798438549886,0,0,0,0,0,0,0,0.0599973267866647,0,0,-0.0879424923725024,0,0,0,0,0,0,0,0,0,0,0,0,0.0591007564094707,0,0,0,0,0,0,0,0,0,0.0520193802554787,0.0131775417569619,0,0,0,0,0
X601939.CH.EQUITY,0.483685131556376,0,0,0,0,0,-0.0479971087649406,0,0,0.0165672508815998,0.192372635907904,0,0.229697295225509,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014901393755303,0,0
X601318.CH.EQUITY,0,0,0,0,0.0805869534163651,0,0,0,0,0,0,0.211831663525676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.113484704146676,0,0,0.156845004583899,0,0.147433256622641,0.14110223321146,0,0,0,0,0
X601288.CH.EQUITY,0.346434133858518,0.045938531257946,0,0,0.402137951665375,0,0,-0.0315330700878691,0,0,0.0626927806927885,0,0,0,0,0.114485558715159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211160686506876,0,0,0,0,0,0,0,0,0,0,0.0134561411235848,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0987969290496251,0,0.272062959201285,0,0,0,0,0,0,0.249579414099469,0,0,0.0969155877864323,0,0,0,0,0,0.142408726153065,0,0.0697432989188257,0,0,0,0,0,-0.00968867179830456,0,0.014825650635359,0.00994396738464973,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0570889262531246,0,0,0,0,0,0,0,0.0517676357434944,0,0,0,0
X600036.CH.EQUITY,0,0,0.021090221690153,0,0,0,0,0,0,0,0,0.411344444837843,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.126443798391761,0.0523347399657583,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0833242399998119,0.059642864826389,0.00130541562506508,0,0,0,0,0,0,0,0,0.264347201019873,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.09852649612587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998443896358728,0,0,0,0.0419307713851373,0,0.179236969856052,0,0,0.118133768477698,0,0.208422269975309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142167065698439,0,0,0,0
X5.HK.EQUITY,0,-0.19560275761746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21070943067739,0,0.118991819591803,1.13959903950701,0,-0.778864543085408,0,0,0.508105122877619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400620443455135,0,0,0,0,0,0,0,0.0126020541848824,-0.085615010933903,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.216752870404466,-6.93889390390723e-18,0,0,0,0,0,0,0.0514196254054276,0.307932623492066,0,0,0,0,0.135771075612368,0,0,0.08253122362136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0379469251036638,0
X601658.CH.Equity,0,0.0957067088307218,-0.26221374175288,0.247708024412107,0,0,0,0.124003785471871,0.0804645141234402,0,0,0,0,0,0,-0.251501219639672,0,0,0,0,0,0.0103498779188725,0,0,0,0,0,0,0.72352243983612,0,0,0,0,0,0,0,0,0,0,0,0,-0.126535225933731,0,0,0,0.618849004145712,0.0650010620015856,0,0,-0.122957006169402,0,0
