,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,1.38777878078145e-17,0.204628416438747,0,0.0312199843706317,0,0,0.40075244884311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254502043286577,0,0.0349252432118678,0,3.46944695195361e-18,0,0,0,0,0.0807174222601497,0,0.0501373820574803,0,0,0,0,0,0,0.0116033642298354,0,0,0,-0.0925023170879726,0,0,0
X601318.CH.EQUITY,0,0,0.261010566882839,0,0,0,0,0,0.0845947816515773,0,0.0932961049089915,0,0,0,0.19258980818419,0,0,0,0,0,0,0.0586266566508465,0,0,0,0,0,0.168320605731807,0,0,0,0,0,0.0537741830861022,0.0146080502919402,0,0,0,0,0.00669644758618693,0,0,0,0,0.0608052341885609,0,0.036654422008801,0,0,0,0,0
X601939.CH.EQUITY,0.327618720094136,0.0955468413234457,0,0,4.33680868994202e-19,0,0.0599278775417466,0.28286851830826,0.186050959846352,0,0,0,0,0,0,0.105445626077992,0.105978122543878,0,0,0,0,0,0,0,0,0,0,0.192882440633753,0,0,-0.0643640223678534,0,0,0,0,0.0921264185789602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818080240429731,0
X600036.CH.EQUITY,0,0.00117750047844706,0,0,0,0.177140449758693,0,0,0.0611624116665464,-0.110479943568094,0,-0.0842687645978905,0.136943817057546,0,0,0.128549801619337,0,0,0,0.177362704223799,0,0,0,0,0,0.406479142199397,0,0.0416197076806283,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646573661801048,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.100812478391213,0,0,0,0,0.457622413140178,0,-0.0597092878201779,0,0.0693986963043245,0,0,0,0,0,0,0,0,0,0,0.141724321585763,0,0,0,0.0605954209002829,0.126328121598104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228037356038166,0,0,0.0123978113220183,0,0
X1299.HK.EQUITY,0,0,-0.0344090959338721,0,0,0,0,0,0,0.15268021738567,0,-0.0566407847807703,-0.073997325419248,0,0,-0.0396591851864884,0,0,0,0,0,0,0.170448540793478,0,0,0,0,0,0,0,0,0,0,0,0,0.0887321244891202,0,0.0578626451383423,0,0.196371650393736,0,0,0.0268683057854816,0.246855190503467,0,0,0,0,0.207153406673981,0,0,0
X601628.CH.EQUITY,0.0786188237687503,0,0,-0.00346316367861434,0,0,0,0,0,0,0,0,-0.00277180813648273,0,0,-0.189523318206432,0,0,0.264827870777846,0,0,0,0,-0.10832147992387,0,0,0,0,0,0,0,0,0,0,0,0,0.569174238751261,0.0520319949500541,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.0578478317463286,0
X601988.CH.EQUITY,0,0,0.0708953875400347,0,0.45169363953497,0,0,0,-0.0894310222157431,0,0,0,0,0,0,0,0.277560648167011,-1.38777878078145e-17,0,0,0,0,0,0.0477328346819993,0,0,0.0767236638457835,0,0,0,0,0,0,0,0.00274273685633438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0664721712593532,0,0,0,0,0,0,-0.0137024914510657,0.157846513585546,0,0,0,0,0,0,0,0,0,0,0,0.116725736429864,0,0.0527463725230974,0,0,0,0,0,0,0,0,0,0,0.161857071055732,0,0.0297521678503885,0,0,0.358660326199316,0,0,0.0918545813356444,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.318805560989664,0,0.238903432101763,0,0,0,0,0,0,0,0,-0.00406680014392558,0,0,0.162155091315645,0.213979688463613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0884731109571997,0,0,0.17664750011745,0,0,0,0,0,0,0.143525921994116,0,0,0.0390278747254374,0,0,-0.0614490670401953
