,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.402375712967231,0,0.129518669075962,0.0478462741935251,0,0,-0.0366203755164806,0,0,0,0,0,0,0,0.0779242050118256,0,0,-0.0259475728944297,-0.0126573692144431,0,0,0,0,0,0.0488220478414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109304633361978,0.221144982594052,-0.00259862042122379,0,0,0,0,0.0460496197058513,-0.0603265368128
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169726371167682,0,0,0,0.344649157411873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202751608225433,0,0.0121934235413677,0,0,0,0,0,0,0,0,0,0,0.0031026111971636,0,0,0.152021126680963
X601939.CH.EQUITY,0,0,0,0.764314523801119,0,0,0,0,0,0,0.0784901441626043,0,0,-0.0248612299949342,0,0.137601095983344,0,0,0,0.0714509178524452,0,0,0.00783828364004764,0,0,0,0,0,0.0533662060666816,0,0,0,0,0,0,0.0108466758519372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000407170776316671
X601288.CH.EQUITY,0.174472427130153,0,0.865602557917424,0,0,0,0,-0.051518429662471,0,0,0,0,0,0,0,0,0.00464363776170575,0,0,0,0.0374252915826244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595773074238379,0,0,0,0,0,0,0,-0.117664700848775,0,0,0,0,0,0,0,0,-0.0549182303201928
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.219955746934734,0,0,0,0,0,0,0,0,0.277606816543959,0,0,0,0,0,0,0,0,0,-0.012093876190904,0,0,0,0,0,0.124168767033224,0,0,0,0,0,0,0,0,0,0,0.150875472000379,0,0.345158769536615,0,0,0,0
X600036.CH.EQUITY,0.258191657407505,0,0.14876508239242,0.0999314915161858,0,0,0,0,0,-0.0291652308514772,0,0,0,0,0,0.229494801124421,0,0.0215236503106597,0.0178470051323199,0,0,0,0,0,0,0,0,0.220308242373715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594191749239334,0,0,0.0258151639336742,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0016081676598165,0,0.0866218140296453,0,0,0.163041049632289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00887655781825806,0,0,0,0,0,0,0,0,0,-0.00887362063667844,0,0,0,-0.136754203605482,-0.00412561469097458,0,0.899030243010257,0,0
X1299.HK.EQUITY,0,0,0,0,0.0882835280733089,0,0,0,0,0.271752003267336,0,0,0,0.0898819484419579,0,0,0,0,0,0,0,0.267451123149269,0,0,0,0,0,0.0516211314403551,0,-0.072661798894943,0.0846803094568701,0,0,0,0,0,0,0,0,0,0,0,0,0.146639456666089,0,0,0,0.0223853748222292,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.233726058889905,0,0,0,0,0,-0.0493335241637971,0,0.0235037048851233,0,0,0,0,0.298488225363088,0,0,0.0303518584021279,0.0800414974523411,0,0,0,0,-0.176974190548319,0,0,0.0666612172778219,0,0,0.112561036700277,0,0,0.305999040453318,0.16143786518739,0.00543639133895199,0,0,0.062682766946304,0,0,2.16840434497101e-19
X388.HK.EQUITY,0,0.115687877403303,0,0,0.282745476823449,0,0,0.0763565084754017,0,0,0,0.0112498372802925,0,0,0,0,0,0,0,0,0.0411962556656302,0.224522747274424,0,0,0.0778004722665291,0,0,0,0,0,0,0,0,0,0,0,0,0.130267021083869,0,0,0,0,-0.237825351479807,0,0,0.159773432494472,0,0.0164291461428426,0,0,0,0.0150438006835268
