,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,8.67361737988404e-19,0.385412093519602,0,0,0.0426624705252408,0,0,0,0,0,0,0,0,0.0345527385775032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463868650869875,0,0,0,0.178570650433902,0,0,0.0793863148691298,0,0,0,0,0,0,0,0,0.192179834620847,0.0446166048553641,0.0282176090405175,0.0173263515936067,0
X601318.CH.EQUITY,0,0,0,0,0.022318672918443,0,0,0.0233811697774096,0.145131813742249,0,0.053446288265492,0,0.0996059231033235,0,0,0,0,0,0.215348957410833,0,0.228888712711735,0,0,0,0.0247699334760782,0,0,-0.0150762022436371,0,0.0824700789585091,0,0,0,0,0,0,0,0.032790256895568,0,0,0,0,0,0.0370504835821373,0,0,0,0,0,0,0,0.0854772695751316
X601939.CH.EQUITY,0,0,0,0.249950702456525,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.728337272086625,0,0.0290172485556557,-0.267096023600676,0,-0.166106413846504,0.0188845098643928,0,0.123452631809589,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,-0.0961606602132194,0,0,0,0,0,0,0,0,0,-0.0560040756746728,0
X601288.CH.EQUITY,0.182023533732814,0,0.0298655547578683,0,0,0.0557398900045777,0.382936960909863,-0.0932318834469799,0,0,0.0215376092762153,0,0,0,0,0.0655521524559586,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188368517755181,0,0,0,0,0,0,-0.108494305858172,0
X600036.CH.EQUITY,0,0.180834835824677,0,0,0,0.0679023152040878,0.0915999491136677,0,0,0,0,0,0.201705245080739,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0.312893949292206,0,0,0,0,0.0248795174715053,0,0,0,0.0813932476166383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179302718660859
X601628.CH.EQUITY,0,0,0,0.101676874968222,0,0,0,0,0,0.0334273694205705,0,0,0,0,0,0,0,0.0583819666118834,0,0,0,0,-0.0996038471031519,0,0.263866285512587,0,0,0,0,0,0,0,0.253060773695224,0,0,0.487656662733808,0,0,0,0,0.0193448474917335,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.249830758853507,0.00257297282300807,0,0.0613994615524327,0.0596307366586838,0,0,0,0,0,0,0,0.179057768768644,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.263793757234377,0,0.104097627648624,0,0,0,0,0,0.00512236390309981,0,0,0,0,-0.084079177813319,0,0,0,0,0,0,0.344908734878674,0.00993829483495852,0
X1299.HK.EQUITY,0,0,0,-0.0332622693698063,0,0,0,0,0,0.153653245632695,-0.037400635204727,-0.0300297422173142,-0.12527310883966,0,0,0,0,0,0,0,0,0,0,0,0,0.248081405005495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932363705559836,0.0539458156933562,0.132979835568822,0.0169044175342954,0.0386051801553454,0,0.0343615855064294,0.178950290376153,0,0.105253514665213,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659461702241399,0,0,0,0,0,0,0,0,0,0.0373642415003036,0.104429093310347,0.609272369218459,0,0,0,0.0544609145737859,0.10641496148161,0,0,0,0,0,0,0,0,0.207200528527998,-0.097303466617824,0.0993017657045841,0,0,0,0.130167690101637,0,0.173602858259503,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0604987226744305,0,0,0,0,0.0259617673950963,0,0,0,-0.0295820381879439,0,0,-0.160378757767848,0,0,0,0,0.446744334880561,0,0.246749467845351,0,0,0,0,0.217352832671035,0.31426481813373,0,0,0,0,0.186016539612441,0,0,0.030312339716429,0,0,0,-0.48693196235606,0,0.106391330239414,0,0,0,0,0
