,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.148225905872375,0,0.29355947337675,0.0102941071143605,0.0881816044599796,0,0,0,0,0,0,0,0,0,0,0,0.332785590962157,0,0,0,0,-0.0674278488794884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656066089189545,0.0502042726324344,0.0477784550206851,0,0,0.00688611770936128,0,0.11499590249512,0,0,0
X601318.CH.EQUITY,0,0,0,0.0657088009394323,0,0,0,0,0.12296881709984,0,0,0.0870694597108895,0.108954840177346,0,0,0,0,0,0.113631860304103,0,0.265300695891122,0,0,0,0.0504102979866289,0,0,0,0.0969694294127847,0,0.0367960530761083,0,0,0,0,0,0.0191177077318009,0,0,0,0,0,0,0,0.0698568373612891,0,0,0,0,0,0,0.0991241744554516
X601939.CH.EQUITY,0.252428035667133,0,0,0,0.182850583809123,0,0,0,0,0,-0.0271002885326868,0.108760924459599,0,0.0733929853795987,0,0,0,0.0116070662018463,0,0.101877988125961,0,0,0.220115889869404,0,0,0.231966312848295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159032772399421
X600036.CH.EQUITY,0,0.116307852099119,0,0,0,0.0797940382494724,0.0720371836866452,0.126764866727956,0,0,0,0,0.168083438834148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349521339083034,0,0,0,0.0770111949460923,0,0,0,0,0,0,0,0,0,0.123359016990349,0,0,0,0,0,0,0,0,0,0,0.0414675817782488
X601288.CH.EQUITY,0.209593395465611,0,0.035074981184217,0,0,0.053640304252495,-0.1052546119698,0.313660630271753,0,0,0,0.0478024073701194,0,0,0,0.0737865124286747,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174979114161874,0,0,0,0,0.00910994365830366,-0.126318042903883,0
X601628.CH.EQUITY,0.0622359907877064,0,0,0,0,0,0,0,0,0,0.01510773501753,0,0,0,0,0,0.192581530543883,0,0,0,0,0,0,0,0.0545853863607364,0,-0.109150519918546,-0.086010973560768,0,0,0.0512476680027539,0,0.212794339540916,0,0,0.578425350149873,0,0,0,0,-0.0347006848271155,0.147749958340829,0,0,0,0,0,0,0,-0.0485447839628346,0,0.0424710279704442
X1299.HK.EQUITY,0,0,-0.0453942151724951,0,-0.0364331310599078,0,0,-0.0442378942332391,0,0,0.106837293713478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473450789829386,0.0803311432083631,0,0.284031085855722,0.290459456470604,0,0.14264562012534,0,0,0,0,0,0.289076620018773,0.106772316107384,0
X601988.CH.EQUITY,0,0.121229920168655,0.00710511869448628,0.312659597852185,0.244579447303375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269674857776423,0,0,0,0,0,0,0,0,0.0979362362762025,0.118483401122606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033403786717408,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.128293763877191,0,0,0,0,0,0.03852900258162,0,-0.00822707643954996,0,0,0,0,0,0,-0.0761974253327507,0,0,0,0,0,0,0.0784450890523188,0,0.0187964758141115,0,0.312461322437174,0,0,0,0,0,0,0,0,0.107210257146493,0,0.220451370918912,0,0,0.234439801181656,0.117008861219854,0,0,0,0,0.01689732847992,0,0,0,0
X601166.CH.EQUITY,0,0,0.0972541949095018,0.169663855651393,0,0,0,-0.0326395498779286,0,0,0,0.0897087879645127,0.0304212232753676,0.0141761780342443,0,0,0.06146810162155,0,0,0,0,0,0,0,0,0,0.158761843338383,0,0,0.361639204208239,0,0,0,0,0,0,0,0,0,0,0,0,-0.0462291247472977,0,0,0,0,-0.0340156437222683,0,0,0,0
