,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0797315437756318,0,0,0,0,0,0.0411363632493758,0,0,0,0,-0.372985971223009,0,0,0,0,0,0,0,0,0,-0.113519519366968,0,0,0,-0.32906799798114,0.0993195123193439,0,0.743396727897539,-0.0608559257498447,0.364114196635123,0,0,0,0,0,0,-0.027398973669302,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.165990960173787,0,0,0,0,0,0,0.0636331146386704,0,0,0,0,0,0,0,0,0,0,0.145114275304454,0,0,0,0,0.0652060504255004,0,0,0,0,0,0,0,0.450442036398498,0,0,-0.049912887114351,0,0.0831894060407041,0,0,-0.0211544154147225,0,0,0,0,-0.0610139672647423
X601939.CH.EQUITY,0.292448288469695,0,0,0,0.0494176257057666,0.0454855171876876,0,0,0,0.0296110276316182,0,0,0,0,0,0,0,0,0,0,0,0,0.0785027994893564,0,0,0,0,0,0.236286340518511,0,-0.0234063321284745,0,0.0816450106829246,0,0,0,-0.148568610141847,0,0.404444320725046,0,0,0,0,0,0,0,0,0,0,0,0.113737898789186
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0368358782947462,-0.200738276175629,0.0585796853989482,0,0.38671768203729,0.238544994651176,0,0,0,0,0.155761990224652,0,0,0,0,0,0,0,0,0,-0.0298698375987655,0.0137990328801302,0,0,-0.553276589034248,0,0,0,0,0,0,0,0,0,0,0.117752901665452,0,0.0119491689841778,0,0.176630260630741,0,0,0,-0.10007496409145,0
X5.HK.EQUITY,-0.177206093494338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253828075472055,0.0312351265501311,0,0,0.204614507771233,0.121017209161043,0,0,0.473214275460166,0,0.0012644664410108,0,0,0,0,-0.231837523450283,0,0,0,0,-0.000211034101656804,0,0,0,0,0,-0.127497053181547,0,0.190436169308735,0,0,-0.0684036932277452,0,0,-0.136124753396373,0,0
X601988.CH.EQUITY,0.171541865181326,0,0,0.520939917193935,0,0,0,0,0,0,0.127146631761683,0,0.0353567427602913,0,0,0,0,0,0,0,0,0,0.00995382690832185,0,0,0,0,0.130230586309358,0,0,0,0,0,0,0,0,0,0,0.221541756695244,0,0,0,0,0,0,0,0,0,0,-0.0101864204818055,0.0985399981272999
X600036.CH.EQUITY,0,0.64148126090411,0,0,0,0,0,0,-0.204442502885182,0.597796280102436,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.0872350459762291,0.0143606684995485,0,0,-0.0438863260938211,0,0,0,0.0478803521170355,0,0.108746583018342,0,0,0,0,0,0,-0.076471604554876,0,-0.124710790417864,0,0,0.00425883127874014,0.166487942076572,0,0,0,0,0.0042310072542231,0,0,0
X1299.HK.EQUITY,0,0.0437909031470437,0.00580649289990001,0,0.0761230078715743,0,0,0,0,0,-0.0617601561634517,0,-0.0257280351542339,0.138070893646409,0,0,0.24974437202562,0,0,0.0545223834399651,0,0,0,0.0863842777954381,0,0,0,0,0,0,0,0,0.218092009779196,0,0,0,0,0,0,-0.0988046420488328,0,0,0,0,0,0,0.169486924714711,0.0589079892177392,0.0285105998450031,0,0
X601628.CH.EQUITY,0,0.0406912621087555,0,0.0347603110195676,0,0,0,0,0,0,0,0,0,0.297675192154071,0,0,0,0,0,0,0.00720213933875491,0,0,0.0827077335572022,0,0,0,0,0,-0.0192833219621622,0,0,0,0,0.0372873375869791,0,0,0.214980252909359,0,0,0,0,0,0,0,0,0.121569780690428,0,0,0,-0.0356450714457454
X601328.CH.EQUITY,0,0,0.0286647554298623,0,0,0,0.187895966024048,0,0,0,0,0,0.272450574170663,0,0,0,0,0,0,0,0.257855370459419,0,0,0,0,0.153420471645457,0,0,0,0,0,-0.190754282854969,0,0,0,0,0,0,0,0,0,0,0,0,0.0905672598716914,0,0,0,0,0,-0.253725781631655
