,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.12226992706984,0,0.10801393485174,0,0,0,-0.043053768485628,0,0,0,0.375238034048593,0,0,0,-0.0839212488209292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224998734883237,0,0,0,0,0.14552106433401,0,0,0,0.121065828631895,0,0,0,0,0.0787011933602019,0,0,0,0.0111968847925258
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0707265042978186,0,0.288503787830481,0,0.102757689290636,-0.105528705765544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307509395275915,0.306035151123034,0,0,0,0,0,0.240307076791984,-0.223469310573245,0,0.23478927438547,0,0.243273546656748,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.32466435703232,0,0,0.255975686849355,0,0.134046572662191,0,0,0,0,0,0,0,0,0.118944648619074,0,0,0,0,0,0,0,0.077315467092578,0,0,-0.0651007850477223,0,0,0,0,0,-0.0253154282730165,0,0,0,0,0,0,-0.0994508545772807,0,0.363310868265755,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.22831554516395,0,0.158841586530327,0,0,0.258401044018342,0,0,0,-0.0686598544301261,0,0,0,0,0,0,-3.46944695195361e-18,0.0656675043933622,0,0,0,0,0,0,0,0.0452706992636341,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510399758841254,0,0.235101708829722,0,0,0,0,0,0,0.165370062629998,0,0,0,0
X5.HK.EQUITY,0,0,0.039436745498711,0.228156095732946,0,0.166634070493581,0,-0.31213196467745,0,0,0,0,0.0807360323607982,0,0,0,0,-0.0431635225952368,0,0,0,0.420084855348235,0,0,0,0.416566682756397,0,0,0,0,0,0,0.0625909079873263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161667405760463,-0.110135536194511,0,0,0
X601988.CH.EQUITY,0.255422157213031,0.0537411567785641,0.222014120524242,0.00100133940223605,0,0,0,0,0.170639970481455,0,0,0.176419767334243,0,-0.207673721090854,0,0,0,0,0,0,0,0,0,0,0.0647604406843437,0,0.07408755230405,0,0,0,0,0,0,0,0.0542635944284719,0,0,0,0.00832783509692424,0.0890845702548989,0,0,0,0,0.051225702846392,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0196902630677159,-0.0118817224633677,0,0.0968299561768676,0,-0.0264514335796636,0.0291343468729789,0,0.325086493204179,0,0.26330674913364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550680452495568,0.0715871140206781,0,0.0712478924941636,0,0,0,0.0907343028195903,0,0,0,0.118057235344577,0,0,0,0,0,0,0.063861804258845,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0139809981893747,0,0,0,0.0202951837568492,0,0,-0.0436560138413931,0,0.115761015956312,0,0.4351000502155,0,0,0,0.0793942293770062,0,0,6.93889390390723e-18,0,0.0651511898356196,0,0,0,0,0,0.0555927102900336,0,0,0,0,0,0.107088476160715,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0200898798526818,0.283884001911511,0,0,0.150580483169052,0,0,0,0,0,0.0269342490260913,0,0,0,0,0,0,0,0,5.11933077510865e-05,0,-0.0754966644640263,0,0,0,0,0.279617142991403,0,0,0.00366739114641618,-0.147901396324519,0,0,0,0,0,0,0,-0.256382134965031,0,0,0,0.0755972744903864,0,0,0,0,0.145801660450266,0,0,0.00205120189577358,0.0820397713490181
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.114633211573806,-0.169415655286237,0,0,0,0,0,0,0,0.0337871780416885,0,0,0,0.685402510098257,0,0,0,0,0,0,0,0,0,0,0,0.541008598226423,0,0,0,-0.181595145334085,0,0,0,0,0,0.0668010339400685,0,-0.0733709703663037,0,-0.933697771086993,0,0.186494187751428
