,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0409752117584025,0,0,0,0,0,0,0,0,0,0,0,0,0.542297950602663,0.67573876026637,0,-0.112196874879621,0,0.00656008382897001,0,0,-0.199952297595596,0,0.244769939596519,0,0,0,0,-0.0116822165710815,0,-0.0574377912855404,-0.311985404651418,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.187362888434545,0,0,0,0,0,0,0,0.0985632337981747,0,0,0,0,0.206909890435728,0,0,0,0,0,0,0,0,0.089700313694805,0.0484957363775381,0,0,0,0,0,0,0.200287468903115,0,0,0,0,0,0,0,0,0,0.0231646358118215,0,0,0,0,0.00472408483200972
X601939.CH.EQUITY,0,0,0,0.815023192642396,0.0210145797635255,0.0101530458105439,0.0158529481103082,0,0,0,0,0,0,0,0,0,0,0,0.0588942094504929,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.035109310323599,0.0395856299487292,0,0,0,0,0,0,0,0,0,0,0.0590390233697338,0,0,0,0,0.0269956646338111,0,0,0
X601288.CH.EQUITY,0,0,0.857175869767297,0,0,-0.0970587843984311,0,0,0,0,0,0,0,0.0167913807137087,0,0.030987336254115,0.0701254933740566,0.147200723711109,0,0,0,0,0,0,0,0,0.0198169193359299,-0.0495280390583719,0,0,0,0,0,0,0,0,0,0,0,-0.169008326903083,0,0,0,0,0,0,0,0,0,-0.00504069236141546,0,0
X601988.CH.EQUITY,0,0,0,0,0,-0.144491842648892,0,0,0,0,0,0,0.776344679834044,0,0,0,0,-0.287061934577597,0,-0.0322598857562667,0,0,0,0.432862565160175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743293372799091,0,0.0100896516725406,0,0.107055320140213,0,0,3.46944695195361e-18,-3.46944695195361e-18,0.157117177269894
X601628.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,-0.0317947508422082,0,0,0.813337578112588,0,0,0,-0.00400046264680548,0,0,0,0,0,0.14352158188876,-0.0236922057926874,0,0,0,0,0,0,0,-0.054965233974511,0,0,0,0,0,0.0285025360040753,0,0,-0.0347478942051062,-0.0536467338438999,0,0,0.109759171343012,0,0.0834867508076063,0,0,0.0336804655523841,0,0,0.132205003140247
X600036.CH.EQUITY,0,0,0.39122351155159,0,0,0,0,0,0.0135432814884162,0,0,0,0,0,0,0.132520940443345,0,0,0,0,0,0,0,0,0,0,0.182578517293602,0,0.00571542810383731,0,0,0,0.181146570027074,0,0,0,0,0,0,0,0,0,0,0,0.0258094964386806,0.0115392397364654,0,0,0,0.0100414291251485,0,0
X1299.HK.EQUITY,0,0.0236550851676792,0,0,0,0,0,0,0,0.0210196901814148,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0913828102971914,0,0,0.327911958959582,0,0.499681415178544,0.125230721037095,0.146516242109547,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203236129000396,0.00117283418172446,0,0,0,0,-0.140108272451577,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.119381837793047,0,0,0,0.215520737292455,0,-0.0783173539523146,0,0,0,0.164149578446874,0,0.340491583275939,0,0.134265098456422,0,0,0,0,0,0,0,0,0.132755859041009,0,0,0,0,0,0,0,-0.238460016982768,0.105659003707731,0,0,0,0,0,0,-0.146273426072681
X388.HK.EQUITY,0,0,0,0,0,0.143329585387759,0,0,0.0974430340051819,0,0,0,0,0.0422283377558204,0,0,0,0,-0.220428328255006,0,0,0,0,0,0,0.152063392639732,0,0.379552177185128,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219170528107503,0,0.0814704796750332,0,0,0.0391199303129692,-0.297087386105541,0,0
