,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.279471920450527,0,0.257484693901141,0,0,0,0,0.0595769125213468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890839572692943,0,0,0,0,0,0,0,0,0,0.00288621745464976,0,0,0,0.083596957628928,0,0.0833253959419993,0,0,0,0,0
X601318.CH.EQUITY,0.118976962527232,0,0,0,0,0,0,0,0.182634392035483,0,0,0,0,0,0,0,0.165495754892695,0,0,0,0,0,0,0,0.0752187512438862,0,0,0,0,0,-0.0516990059304147,0.153122575675322,0,0,0.148600440771385,0,-8.67361737988404e-19,0,0,0,0.0457796114638469,0,0,0.027781981204331,0,0,0.0551800958899158,0,0.135259187629652,0,0,0
X601939.CH.EQUITY,0.21954479517178,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0189505820394241,0.265527541472918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423604532122633,0,0.19979442093772,0,0,0,0,0,0,0,0,0.182103402419415,0,0,0,0.0410475754495864,0,0,0,0,0,0
X601288.CH.EQUITY,0.392461315749139,0,0,0,0,0.265408019464586,0,0,0,-0.0209387585543151,0,0,0,0,0.043638520694544,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205888994586528,0,0,0,0.00218478465389295,0,0,0.0976774868559231,0.01418141500639,0,0
X5.HK.EQUITY,0.0259525174861839,0,0,0,0,0,0,-0.046351759331202,0,0,0,0,0,0,0,0,0,0,0.386540313106264,0,0.130390296951349,0,0,0,0,-0.0877345693192545,0,0,0,0,0.580587676391115,0,0,0,0,0,0,0,0,0.0582421402304535,0,0,0,0,0,0,0,-0.172310022816252,0,0,-0.0306252796675504,0
X601988.CH.EQUITY,0.445087918914438,1.73472347597681e-18,0,0,0,0,0,0,0.013795091575541,0,0,0,0,0,0,0,0,0,0.0701528701954646,0,0,0,0.0258378268963883,0,0,0,0,0,0,0,0,0,0.160832655615882,0,0.0235003523977997,0,0,0,0,0,0,0,0,0,0,0,0,0.241677364839355,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.225263285496377,-0.0262366067867888,0,0,0,0,0.0958331080391973,0,0,0.54943920322793,0,0,0,0,0,0,0,0,0,0,0.0391824767929617,0,0,0,0,0,0,0.0588486350206952,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.031905671413559,0,0,0.0357327121773997
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0736001634825834,0,0,0,0.413774387952937,0,0,0,0.115532596047862,0,0.051224682652227,0,0,0,0,0,0,-0.0336952748132883,0.397768742107882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.219689198620069,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0249905647623287,0,0,0,0,0,0,0,-0.0797757086661397,0,0.0187149868605301,0,0.199302821172708,0,0,0,0,0,0.254502554187618,0,0,0,0,0,0.0567265696134867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821029848715807,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.105419007054186,0,0,0,0.275266011591683,-0.265845636480531,0,0.208240353747504,-0.258630794053633,0,0,0,0,0,0,0,0.527335710696259,0,0,0,0,0,0,0,0.0585364167266465,0,0,0,0,0,0,0,-0.0672876978228665,0,-1.07977391606756,0,0,0,1.34479500974214,-0.18310151307598,0,0,0,0,0,0
