,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.222840639724041,0,0,0,0,0.372397108374928,0,0,0,0,0,0.028550742961095,0,0,0,0,0,0,0,0,0,0,0,0.254590391260555,0,-1.38777878078145e-17,0,0.0173353721079793,0.025710907464056,0,0,0.0729667578101162,0,0.0608160073861192,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898767420389639,0,0,0
X601318.CH.EQUITY,0,0,0.10882302717457,0,0,0,0,0.0164710422902752,0.280247403920439,0,0,0,0,0.139086309805573,0.264661370861462,0,0,0,0,0.0495588495027465,0,0.039396399683873,0,0,0,0,0,0.19067728624771,0,0,0,0.0626662885770881,0,0,0,0,0,0,0.0256593941470643,0,0,0,0,0,-0.101430871367277,0.0484599008375683,0,0,0,0,0,0
X601939.CH.EQUITY,0.31409669068011,0.0680811599083542,0,0,0,0,0,0.278447786634077,0.219703565744831,0,0,0,0,0,0,0.15787245031881,0.0283245836074551,0,0,0,0,0,0,0,0,0.0683568871422467,0.0642714888328545,0.222612797487142,0,-0.0908444587079457,0,0,0,0.0967240220189634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0703615648427652,0
X600036.CH.EQUITY,0,0,0,0,0,0.155474888212489,0,0,0.0624003976931162,-0.103508359160553,0,-0.0999545329427611,0.145698806948493,0,0,0.154765984998929,0,0,0,0.16188588380736,0,0,0,0,0,0,0.399811678659715,0.0316951964902431,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716314802934497,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.102015165163429,0,0,0,0,0.459658702967648,0,-0.0600290030573514,0,0.0706380662915294,0,0,0,0,0,0,0,0,0,0,0.143216813567815,0,0,0.0608420148335571,0,0.125271178919832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229197709092955,0,0,0.0124612965580826,0,0
X1299.HK.EQUITY,0,0,-0.0584506172883428,0,0,0,0,-0.00183499179056733,0,0.160259522635264,0,-0.0944896574954411,-0.0756017931817244,0,0,0,0,0,0,0,0,0,0.161133827838019,0,0,0,0,0,0,0,0,0,0,0.123710696496242,0,0.0531868102716294,0,0,0.227596921029291,0,0,0,0.251385102521748,0,0,0,0,0.0842829687798148,0.183664506854135,0,0,0
X601628.CH.EQUITY,0,0,0,-0.0135873277177561,0,0,0,0,0,0,0,0,0,0,0,-0.0236580676698792,0,0,0.107303907218435,0,0,0,0,-0.148065798426594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467457334268346,0.00455621330331365,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0295086353109273,0
X601988.CH.EQUITY,0,0,0,0,0.525056031677881,0,0,0,-0.0079992591640561,0,0,0,0,0,0,0,0.286966938183254,0.135126962692369,0,0.0434911973421627,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418282670023421,0,0,0,0,0,0,0,0,0,0,-0.0982264171970906,0.00137581385944535,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0209246478035099,0.0846678195512642,0,0,0,0,0,0,0,0.16323953255723,0,0,0,0,0,0,0,0,0,0,0,0.0815556559762808,0,0.100918083379759,0,0,0,0,0,0,0,0,0.105622261287205,0,0.0850701790675304,0,0,0,0,0.376692904198701,0,0,0,0,0,0.0849373349581992,0,0,0,0,-0.057160298530948
X388.HK.EQUITY,0,0,0,-0.322428891327579,0,0.239278975087779,0,0,0,0,0,0,0,0,0,0,0,0.15711155949863,0.207389811114722,0,4.33680868994202e-19,0,0,0,0,-0.00731177450294202,0,0,0,0,0,0,0,-0.0963236601284745,0,0,0,0,0,0.182664349930193,0,0,0,0,0,0,0,0.150435704530638,0.040155160648706,0,0,-0.0670518859175634
