,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.343868242170327,0,0.329542947745384,0,0,0,0,0,0,0.039781391398366,0,0,0,0,0,0,0,0,0,0,0.01903123069229,0,-0.0564349852274614,0,0,0,0,0,0,0.0272797686596944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290714244815803,0.109852744780837,0,-0.127029634999916,0
X601939.CH.EQUITY,0.440344536879232,0,0,0.204331204074118,0,0,-0.158076986111156,0,0,0.028604304081371,0,0,0.238886488865527,0,-0.0416046215173359,0,0,0,0,0,0,0,0,0,-0.0267691721638856,0,0,0,-0.0188998878005002,-0.0467818751754288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183241152336651,0,0,0,0.0442666499096161,0
X601318.CH.EQUITY,0,0,0,0,0.216560219164112,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260379833465732,0,0,0,0,0,0,0.181026728844359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258984482202177,0,0,0,0,0.218496813950043,-1.73472347597681e-18,0,0,0,0,0,0.111099338710473,0,0
X601288.CH.EQUITY,0.500263255242704,0,0,0,0.198596478487043,0,0,0,0,0,0,0,0.0747614101293167,0,0,0,0,0,0,0.0129261953306303,0.118439617859816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507925531864992,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381095370306745,0,0,0,0,0,0.264988526654049,0,0,0,0,0,0.35654668744855,0.0873556302184237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368408031360378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278494604681567,0,0,0,0,0.0920710277727375,0,0,0,0,0,0,0.010191827754605,0,0,0,0,0,0.043362424825382,0.185151313125279,0,0,0.0916187640837307,0,0,0,0.0159817134354425,0,0,0,0.172707131539466,0,0,0,0,0,0.105441957379379,0.0157016292457397,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0848605818668575,0,0,0.0588449803424545,0.122708258592192,0,0,0,0,0,0,0,0,0,0.0246764550147619,0,0,0,0.147116758402518,0,0,0,0,-6.93889390390723e-18,0,0,0,0.219904153280529,0,0,0,0,0,0,0.0922906652895549,0,0,0,0,0.117246649103904,0,0,0,0
X5.HK.EQUITY,0,-0.0538843648415677,0,-0.123543150834691,0,0,0,0,0,0,0,0,0,0,-0.00818443352783922,0,0,0,0,0,0,0,-0.591090538917846,1.04022866861013,0,0,-1.38777878078145e-17,0,0.499379015624052,0,0,0,0,0,0,0,0,0,0.420883463172096,0,0,0,0,-0.103916910965511,0,0,0,0,0,0,-0.0724744630866249,0
X601628.CH.EQUITY,0.0255316307999928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164052348025965,0,0,0,0,0,0,0,0,0,0.145101686337809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100485276248584,0.179937245800235,0,0,0.0671129132535472,0.065931790812079,0,0.0560451792412773,0,-0.100835253780165,0.0227572300704658
X601658.CH.Equity,0,0,0,0.0418672474330738,0.197308314108701,0,0,0,0,0,0,0,0.262610980830643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876439651115948,0.173449445290477,0,0,0,0,0,0,0,0,0,0,0.0447267748915008,0,0,0,0,0,0,0,0.352152418349514,0,0,0,0,0
X601328.CH.EQUITY,0.121822557481228,0,0,0.297550632092833,0,0,0,-0.095919025605578,0,0,0,0,0,0.160586719267428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290145320663748,0,0,0,0.171254821665911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686363957636613,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.435400268329056,0,0,0,0,0.00723194214680603,0,0.0315545871728695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161049659544521,0.235774546524508,0,0,0,0,0.00200438961792499,0,0,0,0,0,0,0,0,0,0.0448677448896098,0.101644166949689,0.0226645148721918,0.0620521144324883,0,0,0
