,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.232680781052385,0,0.116788851419167,0,0,0,0,0.253902716538939,0.0582948235942593,1.38777878078145e-17,0.160889378628658,0,0,0,0,0,0.107282853715876,0,0,0.0148895014417971,0,-0.0664398321515533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366697731776819,0,0,0,0,0,0,0,0,0.03017598671792,0,0,0,0,0,0
X601939.CH.EQUITY,0.458491696817319,0,0,0.0178292835075524,-5.42101086242752e-20,0,-0.0321416841612657,0,0,0,0.191759394957947,0,0.228192405300832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861435499552612,0,0,0,0,0,0,0,0,0,0.000187509203003379,0,0
X601318.CH.EQUITY,0,0,0,0,0.14816451182442,0,0,0,0,0,0.00573460084819226,0.287472823480299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241653507378286,0,0,0,0,0,0,0.00686959858051907,0,0,0.0738477717429958,0,0,0.0691909860722673,0,0,0,0,0
X601288.CH.EQUITY,0.424694964859634,0,0.0177734846588999,0,0.209142157609779,0,0,0,0,0,0,0,0.0162806411911352,0,0,0,0,0,0,0.0720139275073262,0.119504828990216,0.0417508566293833,0,0,0,0,0,0,0,0,0.0184079113597166,0,0,0,0,0,0,0,0,0,0.030781125731751,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.255641122046584,0,0,0,0,0,0,0.277393699432817,0.269861420240932,0,0.0771593030144364,0.0572034889150898,0,0.00399032400279226,0,0,0,0,0,-0.0356302548231155,0,0.0319856470775814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491775238126165,0,0,0,0,0,0,0,0.0420460348477419,0,0,0.019718733871534,0
X600036.CH.EQUITY,0,0,0.0196609344102839,0,0,0,0,0,0,0,0,0.409571068856041,0,0,0,0,0,0,0,0,0,0,0.0527905766034461,0.0138072110035432,0.126798096259507,0,0,0,0,0,0,0,0,0,0,0.0863293017559446,0,0,0,0.0580437570259459,0,0,0,0,0,0,0,0,0,0.265162483595709,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.117635429939635,0,0,0,0,0,0,0,0,0,0,0,0.00564785077614251,0,0,0,0,0,0,0,0,0.074373379882204,0,0,0.158495730657838,0,0.0455335466453391,0,0,0.1984930811111,0,0,0,0,0,0,0,0,0,0,0,0,0.199582869779804,0,0,0,0
X5.HK.EQUITY,0,-0.255958600477211,0,0,0,0,0,0,0,0,0,0,0,-0.0295155755090199,0,0,0,0,0,0,0,0,1.17100779192714,-0.765544510117431,0,0,0,0.495016936651498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402880646793273,0,0,0,0,0,0,0,0,-0.0719041818538388,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0759960900513185,6.93889390390723e-18,0,0,0,0,0.209401065646676,0,-6.93889390390723e-18,0.147718156342388,0.161162399440588,0,0,0,0.102178792065882,0,0,0,0.0470559040246939,0,0,0,0,0,0,0.0585369423532769,0,0,0,0,0,0,0.00562119615208847,0,0,0,0,0,0,-0.0456856675185439,0
X601658.CH.Equity,0,0,0,0.349270513848499,0,0,0,0.0706342602140358,0.099449504945092,0,0,0,0,0,-0.340555772728578,0,0,0,0,0,0,0,0.0868697656613757,0,-6.93889390390723e-18,0,0,0,0,0.726339124235227,0,0,0,0,0,0,0,-0.0160986459535246,0,0,0,-0.122782574006306,0,0,0,0.47482234337948,0,0,0,-0.117751579813318,0,0
X601328.CH.EQUITY,0,0,0,0.241325013831294,0,0,0,0,0,-0.0737841803932734,0,0,0.291985585662453,0,0,0,0,0,0,0.144228834653477,0,0,0,0,0,0,0,0,0,0,0.203856106183132,0.039893527578713,0,0.12634503875694,0,0,0.0324157564624651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116290251171618,-0.0322420593136882
X601166.CH.EQUITY,0,0.120737690849774,0,0,0.0242037932866915,0.184020627630638,0,0,0.061316652563644,0.0223915728289737,0,0,0,0.0497827859961171,0,0,0,0,0,0.0417735909842847,0,0,0,0,0,0,0,0,0.0288882821352212,0,0.204202915498316,0,0,0,0,0,0,0.040135783018966,0,0.0317790069994755,0.0291841769327154,0,0.0599569977815444,0,0,0.0493089880077174,0.0689326026866178,0,0,0.0660958788216941,-0.00310339388319159,0
