,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.67970679439424,0,0,0,0,0,0,0.0457301384824535,0,0,0.104416094220926,0,0,0,0,0.00725249527698798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270338828591871,0,0,0,0,0.0710264748446434,0,0,0,0,0,0,0,0,-0.00406283489483,0.0167184636969923
X601318.CH.EQUITY,0,0,0.0649219728628454,0.179104681656589,0,0,0,0,0.0714779138309605,0,0,0,0,0,0,0.0488396085348232,0,0.161460088812198,0,0.0139504399413091,0,0,0,0,0,0,0,0,0.0994322237256789,0,0,0,0.0288860463419941,0,0,0,0,0,0,0,0.164300750323451,0,0,0,0.0249059567368857,0.0588633921773584,0.0612819778815801,0,-1.73472347597681e-18,0,0
X601939.CH.EQUITY,0.165894765091212,0,0,0.375397563150251,0,0.143190008538555,0,0,0,0,0,0,0,0,0,0,0,0,0.0235543470750192,0,0.0176800680324856,0,0,0,0,0,0.0126645701318288,0,0.146019987959582,0,0,0,0.0675770134667355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805215334101767
X601288.CH.EQUITY,0.164803718588907,0,0.0903343302277854,0,0,0,0,0,0,0.155255695522862,0,0,0,0,0,0,0,0.128166476959301,0,0,0,0.0277238442351129,0,0,0.0118132661553654,0.291770009225747,0,0.0427511841714098,0,0.0569826600638663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0
X5.HK.EQUITY,0,0.202575976744291,0,0,0,0.0413272608124649,0,0.366501237973299,0,0,0,0,1.73472347597681e-18,0,0,0,0.245894488141695,0,0.115678482604778,-0.134652112319905,0,0,0,0,0.362457444999552,0,0,0,0,0.0571386569969514,0,-0.0114169740282539,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.637752464957001,-0.22340292730867,0,0,-0.183618897074515,0
X601988.CH.EQUITY,0.222059699063096,0,0,0,0.0651906447297034,0,0,0,0.127216040584864,0,0,0,0.0100322608972718,0,0,0,0,0.0857759313891547,0,0,0,0,0.435485527814198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188240513859321,0,0,0,0,0,0,0,0.0810609968450946,-0.0363643407680552,0
X600036.CH.EQUITY,0,0.00981572834756081,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784532559157282,0,0,0.00547506730612221,0.0704150644207146,0,0,0,0,0,0,0,0,0,0,0,0,0.0148276019797293,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0431410850568738,0,0,0,0.261064666690069,0,0,0,0.172327321698717,0,0,0,0.0744225210072393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.130730351506467,0,0.0921748890107955,0,0,0,0,0,0,0,0,0,0,0,0.0396371405274852,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.360316827927459,0,0,0.0456160253969148,0,0,0.0801793063501725,0,0.105936613628038,0,0,0,0.0339937780701398,0,0
X601328.CH.EQUITY,1.73472347597681e-18,0,0.00356141272098717,0,0,0,0.18000776962836,0,0,0,0.0299564229116092,0,0,0.145980131628778,0,0,0,0,0,0,0,0.268028338723632,0,0,0,0,0,0,0.0329387953236136,0,0,0,0.034914631073754,-0.00706973206344189,0,0,1.73472347597681e-18,0,0,0.0709632410689717,0.251662930500989,0.0430866054078024,0,0,0,0,0,0,0,-0.00397047797611249,0
X601166.CH.EQUITY,0.0477384985994412,0,0.187279844828857,0,0,0,0.158920767819202,0,0,0.0794576220844063,0,0,0,0.236726410400809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600066637730778,0,0,0,0,0,0,0,0,0,0,0,0.0938306682970482,0,0,0,0,-0.0401290805235096,0
X16.HK.EQUITY,0,0,0,0,1.73472347597681e-18,0,0,-0.067810323941542,-0.172716094792592,0,-0.0445113693312599,0,-0.0122418741374877,0,0,0,0,0,0,0,0,-0.119919891199412,0,0,-0.0641390404957416,0,0.109563759187732,0,0,0.143311221395555,0.212974470695191,0.284945693327652,0,0.316809424493825,0,-0.0233571781035137,0,0,0.0348376584088408,0,0,0,0,0,0.109299100246497,0.189393533801848,0,0,0,-0.0591128996487394,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.170324461155143,0,0,0,0,0,0,-0.0227110130515189,0,0.159925115420902,0.113138063977364,0.26593296600163,0.134691455029043,0,0,0,0,0,0,0.139575743678767,0,-0.178831763842935,0,0.0206349652006506,0,0,0.212996685783175,0,0,0,0,0,0,0,0.0729114822845283,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0656990846143131,0,0.228473667342811,0.00771627682876795,0,0,0.201548202044496,0,0.0837220324722938,0,0,0,0.0813920969567438,0,0,0,0,0,0.0117705777663594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175235935506626,0.0201559599431417,0,0,0.0952293876774049,0,0,0,0,0,0
