,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.433987752627268,0,0,0,0,0,0.0973893330532668,0,0,0,0.17842551059162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711924599852834,0,0,0,0.243630198673478,0,0,0,0,0,0,0,0,0,-0.0534707370988315,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0465421566361759,0,0,0,0.0620806195955616,0,0,0,0,0.160549207843071,0.0727324803607102,0.104991703724765,0,0.00889762025359371,0,0,0,0,0.101473067854883,0,0.0743670279202261,0,0,0,0,0,0,0,0.266105720494518,0,0,0,0.129708284111875,0,0.0345350532294686,0,0.109328743492691,0,-0.017236889737149,0,0,0,0,0
X601939.CH.EQUITY,0.303049716976802,0,0,0,0,0,0,0,0,0.0550117052918722,0,0,0,0,0,0,-0.181496284956846,0,0,0.165002739518199,0,0,0.247479099870313,0,0,0,-0.274845670100025,0,0,0,0,0,0,-2.77555756156289e-17,-0.111947909793199,0,0,0,0,0.00810756229411997,0.499724941543004,0,0,-0.0345028294238754,0,0.0513268274182848,0,0,0,0,0.16493976533965
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0519735267822576,0,0.153727526296694,0,0.259772033302454,0,0.0215013436441059,0,0.348600227907185,-0.103902077591056,0,0,0,0,-0.0726737270969892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-4.33680868994202e-19,0,0,0,0.145541279658946,0.395609206810248,0,0,0,-3.46944695195361e-18,0,0,0,0.170937528009258,0,0,0,2.16840434497101e-19,0,0,0,0.0897768768059773,0,0,0.0351270513730229,0.0436615156683007,-0.138095739186339,0,0,0,0,0,0,0,0,0.0535374067951525,0,0,0.131045074679286,0,0,0,0,0,-0.186027223187002,0,0,0.123725659099641,0,0
X601988.CH.EQUITY,0,0,0,0,0.274724523554967,0,0.00301528514031672,0,0.259020901169527,0,0,0,0,0,0.156017697239328,0,0,0,0,0,0,0,0,0,0.0968837727843861,0,0,0,0,0,-0.120129862616986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00352821495809463,-0.117281436830154,0
X1299.HK.EQUITY,0,0,0,0,0.161090557652362,0,0,0,0,0,0,0,0,0.0147228628027735,0,-1.0842021724855e-19,0,0.185032226908316,0,0,0,0,0,0,0,0.0673497970788815,0,0.0216118460793934,0,0.113189355247943,0,0,0.127210343374333,0,0,0,0.386370212606206,0,0,0,0,0,0,-5.42101086242752e-20,-0.216711329412004,0,0,0,0,0,-0.0441381503348824
X600036.CH.EQUITY,0,0,0,0,0,0,-0.127037386836838,0,0,0.468924702984595,0,0,0.0848087937526472,0,0,0.0112479084409643,0.160950216197214,0,0,0,0.327621332578226,0,0,0,0,0,0,0,0.158667203036053,0,0,0,-0.160749290573459,0,0,0,0,-0.148105648616894,-0.0474545741928895,-0.0399698047597528,0,0,0,0.00863656997298642,0.194507995650809,-0.00977623025241391,0,0,0,0,0
X601628.CH.EQUITY,0,0.109675927475805,0.0100679559208837,0.0497678954465564,0,0,0,0,0,0,0,0,0,0,0,-0.0495399532581281,0.179445903541276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134930585260738,0.215819458535493,0,0,0,0,0,0.243502358017798,0,0.0774928545500767,0.13564167106252,0,0,0,0,0,-0.0631528986293225
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.675223599082875,0,0,0,0,0,0,0,0,0,0,0,0,0.166533519403343,0,0,0,0,0,0.0729644601930368,0,0,0,0,0,0,0,-0.0114000175207771,0,0,0,-0.00494044992168526,0,0,0.0315201588703297,0,0,0,-0.172954041218785,0,0,0,-0.0733982854173817,0
