,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.173065912537475,0.286653347755507,0,0.0124257493705067,0.0618255449398116,0,0,0,0,0,0,0,0,0,0,0,0.369873194224762,0,0,0,-0.0238508140291783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457102672359866,0,0.0606082870951831,0,0,0.0582825506397917,0.0645568068240691,0,0.0770358049345933,0,0
X601318.CH.EQUITY,0,0,0,0,0.0112403714622864,0,0,0,0.139723273196024,0,0.0789557988460305,0,0,0.0543747067378218,0,0,0,0,0.107067919112893,0,0.224663639634445,0,0,0,0,0,0,0.069269809172046,0,0,0.0584229145203662,0,0,0,0,0.107591899330552,0,0,0,0,0,0,0,0,0,0.0231254946724584,0,0,0,0,0,0.076333860375564
X601939.CH.EQUITY,0.172852107080468,0,0,0.412556563545948,0,0,0,0,0,0,0.123656044647014,0,0,0,0,0,0,0,0,0.144372677337595,0,0,0,0,0.0987051458749739,0.239754115531377,-0.0797855300613895,0.0170693463296694,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243204914379802,0,0,0,0,0,0,0,0,0,0.0204001208923672
X601288.CH.EQUITY,0.240794136500526,0,0.0101776187012783,0,0,0.0267755982875215,-0.0663906408929206,0.336071487590744,0,0,0.0194410827398228,0,0,0,0,0.122092485019048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19129288633103,0,0,0,0,-0.0724183799411273,0
X600036.CH.EQUITY,0,0.143850774442324,0,0,0,0.0709957002119185,0,0.127876168104177,0,0,0,0,0,0.184726508729383,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.317587771752187,0.0520793917067218,0,0.0226334688270495,0,0,0,1.73472347597681e-18,0,0,0,0,0.0794364499328856,0,0,0,0,0,0,0,0,0,0,0.0191791720720907
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.142807323343926,0,0,0,0,0,0.110555419486261,0,0,0,0,-0.0801822826333518,0,0,0.0286276341150409,0.216385459107674,0,0.0783153820589951,0,0,0.50558424769905,0,0,-0.020881359842129,0.0733345036779061,0,0,0,0,0,0,0,0,0,0.0736928649964337
X1299.HK.EQUITY,0,0,-0.189427929086611,0,0,0,0,0,0,0.146058972843947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581250928849283,0,0,0.0151382425372231,0,0,0,0,0,0,0,0,0.0224909409657313,0,0.207222854203803,0.250032002736318,0.0819988377855254,0.194019711826909,0.101747886215848,0,0,0,0,0,0.0753901237807573,0
X601988.CH.EQUITY,0.0327580103846082,0.0197026700228129,0.0495979578468136,0.176918017597013,0.364506573996165,0,0,0,0,0,0,0,0,0,0,0.197907508745363,0,0,0,0,0,-0.00874811958219624,0,0,0,0,0,0.076885989478282,0,0.0187989323881651,0,0,-0.118275349869697,0,0,0.295661498490802,0,0,-0.0757779635470761,0,0,0,0,0,0,0,0,0,0,0,0.0457200498631633,0
X5.HK.EQUITY,0,0.0056911460329845,0,0,0,0,0,0,0,0,0,0,0,0.0938340393886102,0.0328059382281507,0,0,0,0,0,0,0,0.102192787960483,0.00454010002937458,0,0,0.0208181626731251,0,0,0,0,0,0,0,0,0,0,0,0.460057349581403,0,0,0.235364766329523,0,0.162233817317526,0,0,0,0,0,0,0.00798898320329763,0
X388.HK.EQUITY,0,0,-0.217472599017864,0,0,0,0.189621711809912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403597850425245,0,0,0,0,0,0,0,0,0.0700876690690254,0,0,0,0,0,0,0.174106704947245,0,0.0767280233569481,0,0,0.132668944171393,0,0,0,0,0,-0.055337969776443,0
X601658.CH.Equity,0.178753437539349,0,0,0,0.229604339779601,0,0,0,0,-0.0575235403016743,0,0.328169471755321,0,0,0,0,-0.0190984479932412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157580848540683,0.111113212689775,0,0,0,0,0,0,-0.0598941185954404,0,-0.0322770653970822,0,0,0,0,-0.112695629297171,0,0.0626029720552515,0,0,-0.0238679799183026,0
X601166.CH.EQUITY,0,0,0.0858767686806666,0,0.138315280611466,0,0,0,0,0,0.075950394071846,0,0,0.111804692415164,0,0,0,0.0698764880912287,0,0,0,0,0,0,0,0,0,0,0.198951882943532,0,0.387173951159647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140140490323854,0,-0.0221983405382388,0,0
