,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.466815522271328,0,0,0.416350280633366,0,0,0,0,0,0,0,0,0,-0.0622770431360054,0,0,-0.0584413205406861,0,0,0.019239458743187,0,0,0,0,0,0,0,0,0,0,0,0,0.226621310993895,0,0,0,0,0,0,0,0,0,0,-0.0953575220429216,0,0,-0.19171777230006,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0158089847701414,0,0,0,0,0,0,0.167839217062617,0,0,0.263828180222233,0,0,0,0,0,0,0,0,0,0,0,0.0373808858072626,0.0195911997931973,0,0,0,0.0881508991962075,0,0,0,0,0,0.356325954567917,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.174660671638282,0,0,0,0,0,0,0,0,0,0.0452107128684408,0,0,0,0,0,0,0,0,0,0.115794118481569,0,0,0,0.0300481096301492,0.399111592926189,0,0,0,0,0,0,0,0,0,0.109629857763378,0,0,0,0,0,0,0,0.0457873956407879,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0445625275682737,0,0,0,-8.67361737988404e-19,0.0757705059503731,0,0,0,0,0.0849767146177919,0,0,0,0,0,0,0,0,0,0.0638723503700264,0,0,0,0,0.148013857472526,-0.041156023406124,0,0,0,0,0,-0.000303669829628845,0,0,0.0208285958892503,0,0.0109032606097927,0,0.26211647838211,0,0,0,0.237474262989892,0,0,0,0.0369637349733787,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126987442534836,0,-0.0816542642565238,0,0,0.196543573847824,0,0,0.634125423735729,0,0,0,0,-0.0595378427628334,-0.203106419269073,0,0,0,-0.0097679602044555,0,0,0,0,0,0,0,0,0.0095046826708875,0,0,0,0,0,-0.258079826887251,0,-0.123978984993139,0
X601988.CH.EQUITY,0.166151842145318,0.0033300155689247,0,0.381950345406546,0,0,0,0,0,0.10574906392356,0,0,0.138448223336197,0,0,0,0,0,0,0,0,0.0667733778209314,0,0,0,0,0.0375062556474773,0,0,0,0,0,0,0.131469472800159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116971047446846
X600036.CH.EQUITY,0,0.369430681826209,0,0,0,0,0,0,0,0,0,0.17445448698926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842948326182303,0.0785537681250032,0,0.0152413504903777,0,-0.132641070938642,0,0,0,0.21097967169297,0,0,0,0,0,0,0,0,-0.00100906738434227,-0.183787569346205,0
X1299.HK.EQUITY,0,0.042378573810959,0,0,0,0,0,0,0,0,0,0,0,-0.101526221141645,0.00524113595420525,0.0154267950980502,0,0.282923869161501,0.165600262510518,0,0.293681033464295,0,0,0.233278274467807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127675342903253,0,0,0,0,0,0,0,0,0,0,0,-0.210839007292586
X601628.CH.EQUITY,0,0.184314334915109,0,0,-8.67361737988404e-19,0,0,0,0,0.0398297229671179,0,0,0,0,0,0,0.222050763916697,0,0,0,0.113898313531859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780769861136622,-0.0622188487819573,0.166061699343951,0,0.011527068658662,0,0,0,0,0,0,0,-0.0962146386593077,0
X601166.CH.EQUITY,0,0,0.111436294048486,0,0,0.266934292579777,0.0944426035785691,0,0,0,0,0,0,0,0,0,0.273147750263801,0,0,0,0,0,0,0,0,0,0.10576888256639,0,0,0,0,0,0,0.315554513140847,0,0.121598489329893,0,0,0,0,0,0,-0.105073433508608,0,0,0,0,0,0,0,-0.0994842841024097
