,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.231662838131968,0,0,0,0,0,0,0,0,0,0,-0.269820791058884,0,0,0,0,0,0,0,0,0,0,-0.319043684723966,0,0,0,0.785266139510259,0,0,-0.180026091965626,0,-0.0511447314257998,0.269446046174745,-0.0225073796955773,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.146086543873974,0,0.121380076787764,0.0317284585517379,0,0,0,0.0401526103687497,0,0.0285952646188269,0,0.1477441450958,0,0,0,0,0,0,0.0411454260355749,0,0,0,0,0.063929158058839,0,0,0,0,0,0,0,0,0,0.372236729885137,0.027163331550173,-0.0769000378778276,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.237161959113592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102304910175728,0,0,0,0,0.0684612506901951,0,0.0277347174205416,0,0,0,0,0,0,0.344498333077418,0,0,-0.00161920506839804,0,0.118382984082429,0,8.67361737988404e-19,0,0,0,0.0107851996227305,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.274075828072997,0,0,0.0262311774886117,0,0,0,0.0455919711239817,0,0,0,0,0,0.0869517064543874,0,0,0,0,0,-0.0187950468092398,0,0.145439531011244,0,0,0,0,0,0,0,-0.0451399996852158,0,0.0809953915113763,0,0,0.292854814587207,0,0,3.46944695195361e-18,0.134936461144414,0,0,0,0,0,0,-0.0380341454302715
X5.HK.EQUITY,-0.0415725622176087,-0.270664048919837,0,0.162884158709014,0,0,0,0,0,0,0.037023401010855,0,0,0,0,0.353788957999951,0,0,0,0.0543951049933335,0.286814450394926,0,0,0.292203730640498,0,0,0,0,0,-0.0298992762414579,0,0,0,0,0,0,-0.128631662311117,0,0,0,0.238952942315578,0,0,0,0,-0.00799353829544947,0,0,0,0,0
X601988.CH.EQUITY,0.237319863154006,0,0,0.575600550551334,0,0,0,0,0,0,0.11775360416968,0,0.143895116236498,0,0,-0.066687679642997,0.0812206862337238,0,0,0.0088756295342763,0,0.0177248653152101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378181115149933
X600036.CH.EQUITY,0,0.563605322444741,0.00284356429732886,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0957311639785351,-0.139686808193447,0,0,0,0,0,0,0,0,0,0,-0.00121780095896993,0.277053972297664,0,-0.137170495609494,0,0,0,0,0,0,0,0,0,0,0,0,0.174114235721098,0,0,0,0,0,0.137118156241115,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0349806270986721,0,0,0,0,0,0.361980007525785,-0.123118545133128,0.133896987055292,0.0817212429550866,0,0,0,0,0.166467792700585,0.197899893512325,0,-0.133198594289878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382192452958327
X601628.CH.EQUITY,0,0.138539719449441,-4.33680868994202e-19,0.0185479019721094,0,0,0,0,0,0,0,0,0.0033930734994961,0.276330911111228,0,0,0,0,0,0,0,0,0,0,0.132109825855624,0,0,0,0,-0.0293296313638107,0,0,0,0,0,0,0.0882942248734798,0,0,0.117757410424014,0,0,0,0,0,0,0,0,0.114821960008281,0,-0.0168289267090383
X601328.CH.EQUITY,0,0.0829314961327038,0.0970822925665775,0.3531327408746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522996113702645,0.0062190959936363,0,0,0,0,0.0901074443713391,0,0,0.127173685690028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432725309327076,0,0,0,0,0,0,-0.031760017663687,-0.194640626915814
X601166.CH.EQUITY,0,0,0,0,0,0.318136547794438,0,0,0.141863780571727,0,0,0,0,0.59034302068773,0,0,0,0,0,0,0,0,0,0,-0.287468993974566,0,0,0.0681512262645303,0,0,0,0,0,0.294444730620613,0,0,0,0.225126670520978,0,0,-0.143547201708351,0,-0.161805207551469,0,0,0,0,-0.0450575891670675,0,0,-0.133715507167538
X600000.CH.EQUITY,0.0483857024016991,0,0,0.0169328985695654,0,0,0.235693570262523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420169964987975,0.105037999495429,0,0,0,0,0,0,0,0,0,0,0.144735793513614,0,0,0.0217642425075695,-0.0280694678602811,0,0,0,0,0.13399314951843,0,0.0272959129538649,0,0.0470943943431001
