,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.295426188163942,0.0273553186285742,6.93889390390723e-18,0,0,0.447045266995269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105021039142884,0.0519763635926417,0,0,0,0,0,0,0,0,0,0,0.079641342009517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.152630584740361,0,0,0,0,0,0.17415193936193,0,0,0.0463003209702354,0.125734695746885,0,0.0566078821133426,0,0,0.0285674503161734,0,0,0.1509894854476,0,0,0,0,0,0,0,0,0,0.06615941320201,0,0.0601686294852193,0,0,0,0,0.0590043295361369,0,0,0,0,-0.039570862339496,0,0,0,0,0,0,0,0,0.0472270099910526
X601939.CH.EQUITY,0.375391260670899,0.145757701697361,0,0,0,0,0,0.161063565636075,0,0,0,0,0,0,0,0,0.111341722595213,0,0,0,0,-0.154226579717264,0,0,0,0,0,0,0.118510225719977,-0.0252159547660019,0,0,0.227443611089494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231397675836991,-0.045831908298881,0.0736208825334212
X600036.CH.EQUITY,0,0,0,0,0,0,0.194646049721375,0.081697433707549,0,0,0,-0.0916458486889495,0.225283264923089,0,0,0.105416743487416,0,0,0,0,0,0,0,0,0,0.120059569177801,0.0735876821187952,0,0,0.0255224568592191,0,0,0,0,0,0,0,0.00820920965683035,0,0,0,0,0,0,0,0,0,0,0,0.378154873697215,0,0.0328331398429366
X601288.CH.EQUITY,0,0,0,0,0,0.00459699732426924,0,0.556762191682918,0,0,-0.0843872899709567,0.0456517663636059,0,0,0,0,0,0,0,0,0,0.0747276966220911,0.0792753649535363,0,0,0.0892719038393068,0,0,0.109811938150111,0,0,0,0.0536462381111146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591563973094485,0,0,0,0
X601628.CH.EQUITY,0.167198231548705,0,0,-0.0421580701913448,0,0,0,0,0,0,0,0,0,0,0,-0.146698102383068,0,0,0,0,0,0.0748777122505125,0,0,0,0,-0.0379620322320956,0,0,0,0,0,0,0.542709998895411,0.187207175131248,0,0,0,0,0,0.0165522308290906,0,0,0,0,0,0,0,0,0,-0.0659034000478317,0.142022160591074
X1299.HK.EQUITY,0,0,-0.209131934465535,0,0,0,0,0,0,0,0.107446226268637,0,0,0,0,0,0,0,0,0.0200382815119751,0,0,0.112322933648412,0,0,0,0,0,0,0,0,0,0.174390442936727,0,0,0,0,0,0,0.0965198374750235,0.164039811136462,0.0676987734285823,0.298371450969233,0,0,0,0.297616790976106,0,0,0,0,0
X601988.CH.EQUITY,0.1383450112868,0,0.0943677096427032,0,0.372664585711737,0,0,0,0,0,0,0,0.218390512640208,0,0,0,0.111053173187828,0,0,0,0,0,0.0171839188984599,0,0,-1.73472347597681e-18,0,0,0,0,0.120470731300706,0,0,0,0,0,0.0108948196754304,0,0,0,0,0,0.00588695233050502,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.124977683943767,0,0,0,0,0,0,0,0,0,0,0,-0.0882231665671264,0,0,0,0,0,0,0.238762846745471,0,0.185862178929447,0,0.140664368364832,0,0,0,0,0,0,0,0.0546799470934505,0,0,0,0,0,-0.0670463603880076,0.196616878751434,0.0532261475689713,0,0.270687715755623,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0644167940535295,0.123449931880472,0,0,0.0894422718838515,0,0,0,0,0,0,0,0,0,0,0.172176524542265,0.0198631745755456,0.428269269440871,0,0,0,0,0.0495059842523881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354800590417286
