,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.132123326419441,0,0,0,0,0,0,-0.0138765789635934,0,0,0,0,0,0,0,0,0,0,-0.0598143192654337,0,0.00217948156232267,0.524639912465369,0.389299688972242,0,0.19883176620442,0,-0.229049406628238,-0.0895815197598092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582519695026819,0
X601318.CH.EQUITY,0,0,0,0,0,0.220021414406363,0,0,0,-0.0868611068903657,0,0,0,0,0,0,0,0.0531665744304903,0,0,0,0,0,0,0,0,0,0,0,0.0788854331635106,0.191251618301568,0.0354352752990837,0,0,0,0.22470131031846,0,0.114856473752867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305606704342779
X601939.CH.EQUITY,0,0.00585761716714598,0,0.814253846852904,0,0,0,0,0,0.000205283223120953,0,0,-0.0315931953360961,0,0,0,0.0783712664394537,0.106261146236797,0,0,0,0,0,0,0,0.00630392327404901,0,0,0,0,0.043663356024817,0,0,0,0,0,0,0.0450150544795283,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.943940349781565,0,-0.105748424507893,0,0,0,0,0,0,0,0,0,0,0.0457737945366162,0,0,0.018341865590343,0,0.0421578994792238,0,-0.0311553182713406,0,0,0.0526515820422648,0,0,0,0,0,0,0.024949354068772,0,0,0.0525564812698014,0,0,0,-0.0274370079927906,0,-0.0748114382885876,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.00587348227880116,0,0,0,0,0,0,0,0,0.324899596288811,0,0.159362595571784,0,0,0,0,0,0,0,0.365401108258115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16237423348464,0,0,0,0,0,0,0,0,0.219861724531386,0,0,0,0.0335217571900139,0.0777485488417394
X600036.CH.EQUITY,0,0,0,0.333184780903872,0,0,0,0,0.0722739590273373,-1.73472347597681e-18,0,0,0,0,0,0,0.150003601541278,0.11465510883291,0,0,0,0,0,0,0,0,0.126064191115563,0,0,0,0.137883808861085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420460314205347,0,0,0,0.0155110039211184,0,0,0
X601988.CH.EQUITY,0,0,-3.46944695195361e-18,0.00840899808093255,-0.136359586782333,0.0663404707986567,0,0.0545720791341716,0,0,0,-0.0136516079749,0,0,0,0,0,0,0,0,-0.0356500563255274,0,-0.0161063775716886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106921075958311,0,0,0,0,0,0,0,1.05480573755937,0.0200754382557437,0
X1299.HK.EQUITY,0,0,0,0,0.0324617372461761,0,0,0,0,0.111549418451446,0,0,0.0644624594195463,0,0,0,0,0,0,0,0,0,0.137095656763602,0,-0.0863529188488257,0,0,0.0553599401642245,0,0.265111164169715,0,0.282389115965578,0,0,0,0,0,0,0,0,0.0363892299884538,0,0,0,-0.0478772984421009,0,0.144272323509435,0,0.0961906258049729,0,0,0.112760702485585
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0271652595410226,0,0,0.0279038778852356,0,0,-0.345318188415553,0,0,0,0.00435281471302121,0,0,0.171006417244771,0,0.528444597009438,0,0,0,0,0,0,0,0,0,0,0.0735177791979791,0,-0.00475011841729979,-0.106911764117462,0,0,0.133932673203146,0,-0.169792088831734,0,0.0987600911143253,0,0,0
X388.HK.EQUITY,0,0,0,0,0.275445886686694,0,0,0,0.077544385801263,0,0,0,0,0,0,0,0,-0.233062179860972,0,0,6.93889390390723e-18,0,0.462052941065664,0,0,0,0.00740524624782712,0,0.179320458145655,0.0890831238961606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113551275421315,0.138578658299217,0,0,-0.0805147050276443,0,0,0.109598419822431
