,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0383426535539881,0.536818650123951,0,0,3.46944695195361e-18,0.0202483585684985,0,0,0,0.129700589482882,0,0.0891331601655269,0,0,0,0,0,0.0321824493954958,0,0,0,0,0,0.0894869086273006,0,0,0,0,0,0,0,-0.0290994309160623,0,0,-0.0486251163745713,0,0,0.0752969479640774,0,0,0,0,0,0,0,-0.00240843634233005,0,0,0,0.0343621417956425
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.00947150878144856,0,0,0,0,0,0,0,0,0.0761737812778134,0,0.307904175620234,0,0,0,0,0,0.11533490926727,0.00162476258695867,0,0,0,0,-0.0234907553644271,0,0,0,0.0590593426233687,0,0,0,0.195349770908606,0.0982402608267258,0,0,0,0,0,0.0239342858491161,0,0.061127721202209,0,0,0
X601939.CH.EQUITY,0.155831245078991,0,0,0.626107079850678,0,0.00329969182069617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132119355625709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00979614287996029,0.00567526312703135
X601288.CH.EQUITY,0.0484371766953802,0.0433181105283981,0.194639647259307,0,0,0,0,0,0,0.123320805023509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168210102722648,0,0,0.207763560781854,0.11650856241458,0,0,0.010678644991209,0,0,0,0,-3.46944695195361e-18,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.27288476210819,0,0,0,0,0,0.0807883982109792,0,0.477221461172032,0.0870321253955381,0,0,0,0,0,0,0,0,0,0,0,0.319689804441424,0,0,0,0,0.133327166531566,0,0,0,0,0,0,0,0.0207294179985866,0,0,0,-0.289655024291228,-0.119884195325129,-0.134695544558626,0,0,0.106748083167327
X601988.CH.EQUITY,0.0760887985774485,0,0,0,0.0265791512026355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627903122181834,0,0,0,0,0,0,0.10700963342171,0.0202195724584037,0,0,0,0,0,0,0,0,0.0445539785596376,0,0,0,0,0.0493915347997863,0,0,0,-1.0842021724855e-19,0,-0.0991808925099508,0
X600036.CH.EQUITY,0,0,0,0,-0.024337186314349,0,0,0,0.0321254120626076,0,0,0,0,0,0,0,-0.0211299028158995,0,0.0373465900292984,0,0,0,0,0,0.754032207575579,-0.00618372655788731,0,0.0328039466957471,0.103084427937343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654465911334567,0,0.0719968241903967,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.226342489563995,0,0,0,0,0,0,0,0.202473860348369,0,0,0,0,0.0631663554145548,0,0,0.0591627672321232,0,0,0,0,0,0,0,-0.0445860988868563,0.082837175873031,0,0.300593851269953,0,0.20017788810491,0,0,0,0,0,0,0,0,0,0,-0.0808185895686735,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.21087591488803,0,0,0,0,0.0339274780571153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693785958286837,0,0,0,0,0,0,0,0,0,0,0,0,0.399232727881791,0,0.240415756940044,0,0,0.0269291041562184,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.171234835909748,0,0,0,0.11578573500292,0,0,0,0,0,0,0.260404193992145,0,0,0,0,0,0,0,0,0.228196272252611,0,0,0,0,0.0669975202498659,0,0,0,0.00600759763110304,0,-0.00595648769836122,0,0,0,-1.73472347597681e-18,0.202636582945541,0,0,0,0,0,0.00227999533975167,0,0,0,0.028802001672832,0,0
X601166.CH.EQUITY,0.197427987464756,0,0.13131902023806,0,0,0,0.0943034145625056,0.00344706807474606,0.0259216284564239,0,0,0,0.00295029377710738,0.192370982966604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0834965143814488,0,0,0,0,0,0,0.10382362149785,0,0,0,0,0,0,0,-0.0358951697633566,0
