,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600926.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.279566093284023,0.1150361304539,0,0.24557185464848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199720778674615,0,0,0,0,0,0,0.0147289116097367,0,-2.16840434497101e-19,0.0185863807828467,0.0962299633993894,0,0,0,0.0891571029895769,0,0,0,0,0,0,0,0,-0.00088628952214654,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.113363633701322,0,0,0,0,0.184321283957295,0,0,0,0.0342286198048801,0,0.0532004515028771,0.208606707738657,0,0.138027385021242,0,0,0,0.134013049186365,0,0.0203128279964363,0,0,0,0,0,0,0,0.0873679735764195,0,0,0,0,0.0496788051400433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.117234233911162,0,0,0,0,0,0,0.0873259641683603,0,0,0,0,0,0,0,0,0,0.0493305680283708,0,0,0.0779938845365816,0.337459514397289,0,0,0,0,0,0,0,0,0,0,0,-0.117843712555962,0.111646438496614,0,0,-0.0415317175888844,0,0,0,0,0,0.161248188209536,0.0191593874821749,0,0
X601939.CH.EQUITY,0.616672974219924,0,0,0,0,0,0,0,0.221597113541262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114350021100322,0,0,0,-0.0418029674394969,0,0,0,0,0,0.133842640953578,0,0,0.0131270941189604,-0.0207202557717768,0,0,0,0,0,0,0,0,0.140653314414331,0.0191074357032029,0,0
X601288.CH.EQUITY,0,0,0,0.197502296481346,0,0,0.453800737494565,0,0,0,0.0906328422112193,0,0,0,0,0,0.0690928751189521,0,0,0.0318649727718429,0,0,0.0444598366974225,0,0,0.0432299683581633,0,0,0,0,0,0,0.111619945692003,0,0,-0.0173807680105611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234753970096849,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0971836792577975,0.246447104819674,0,0,0,0.149165881089423,0,0,0,0,0,0,0.180581741986375,-0.23135789543658,0,0,0,0,0,0,-0.00981343086737884,0.130790295654988,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.145215877864372,0,0,0,0,0,0,0.248290088813956,0,0,0.015212204631648,-0.022449663362748,0
X601988.CH.EQUITY,0.191549259681109,0,0,0,0.349528982090672,0,0,0.0781232945278317,0,0,0,0.0603789577296563,0,0,0,0,0,0,0.120393032815346,0,0,0,0.0943612025281836,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.20387746144257,0,0,0,0,0,0,0.0535141357175725,0,0,0,0,0,0.0724899354564004,0,0,0,0,0,-0.0711126776810457
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184191129859842,0,0,0.277421232639652,0,0,0.0514897606145672,0,0,0.0340824384139679,0,0.00870035765996167,0,0,-0.0831574064367228,0,0.0381656667416716,0,0.102930333515535,0.213498384218075,0,0,0.0156326442052003,0,0,0,0,0,0,0,0.00106609982308908,0,0,0,0,0.0547336214216369,-0.0268668957222005
X5.HK.EQUITY,0,0.141289517610249,0,0.102494176261444,0,0,0,0,0,-0.139498858938605,0.0676620219876477,0.0763783460848463,0,0,0,0,0,0,0,0,0,0,0,0,0.204032339135975,0,0,0.166611111579612,0,0,0,0,0,0,0,0,0,0,0.266713895256639,0,0,0,0,0,0.0362984375400054,0,0,0,0,0,-0.0413841147334918,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141362301118084,0,0,0,0,0,0,-0.0627882338906072,0,-0.222550458367448,-0.186505853293078,0.100146937587657,-0.101513793312766,0,0.0665368337720113,0,0,0,0,0.0851652761420572,0,0.282512227592358,0,-0.0326441965513302,0.341329526635159,0,0,-0.418644904535182,0
