,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.16334061678125,0.0728007556844448,0.0463425828983585,-0.00300673059315085,0,0.354604879451766,0,0,0,0.0765142691895703,0,0,0.0258823311617929,0,0,0,0,0,0,0,0,0,0,0.0747481939455749,0.0740265363725961,0,0,0,0,0,0,0,0,0,0,0.104225165476658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0100699991055319,0,0,0,0.158279363106683,0,0,0.0124998234721224,0.108762190956241,0,0,0.0307084631637237,0,0.0468385718870122,0,0.145416415714975,0,0,0,0,0,0,0,0,0.0930269716396814,0,0.0922741915132695,0,0,0,0,0,0,0.103255447280986,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0670875899803139
X601939.CH.EQUITY,0,0,0,0.194083436560967,0,0,-0.0576317247615621,0,0,0,-0.0196715242402041,0.148078780831387,0,0,0,0,0,0,0.137278561276295,0,0.0211957636139158,-0.116327249426744,0,0,0.122486392437672,0.580629028679206,0,0,0.0533232918607343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174145072424765,0
X601288.CH.EQUITY,0,0,0.0677980889945436,0,0,0,0,0.465151157769065,0,0,8.470329472543e-22,0.0399558596726853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208598734706482,0,0.133025846283584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133294708754201,0,0,-0.0452995614491366,-0.00950107781686404
X600036.CH.EQUITY,0,0.0268644244939475,0,0,0,0,0.235469004058466,0.0231256334346842,0,0,0,0,0.255512519109619,0,0.172792364297983,0,0,0,0,0,0,0,0,0,0,0.170576775375748,0.254570237424489,0,0,0.0323730828673581,0,0,0,0,0,0,0,0,0.0889737148585511,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.106057122868429,0,0,0,0,0,0,0,0,0,0,-0.188641009596594,0,0,0,0.0364779977543202,0,0,0.0329930868666917,0,0,0,0,-0.0169330939838785,0,0,0,0,0,0,0.0438574194950587,0.633003642374197,0,0,0,0,0,0,0,0,0,0,0,0,0.0657182519540596,0,0,0,0.209312317349447
X1299.HK.EQUITY,0,0,-0.0745482705616796,0,0.0643714534079853,0,0,0,0,0,0.164802068231541,0,0,0,0,0,0,0,0,0,0.17988014054918,0,0.171211979669003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105912731192145,0,0.0735070587057478,0,0.0784871357378095,0.13209051766329,0,0.0883834722322347,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.632433881499102,0.229483973260549,0,0,0,0,0,0.024756169047832,0,0.0967676453278513,0,0,0,0.0835332292910423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411853574117037,0,0,0,0,0,0,0,0,0,0.0885581720672496,0,0,-0.00101276760988124,0,0,0,0,0,0,0.0366578003997658,0
X5.HK.EQUITY,0,0,0,0,0,0.00930245356195484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134071572601426,0,0,0.174258208474682,0.0841691958179923,0,0,0,0,0.0155410778893457,0,0,0,0,0,0,0,0,0,0.339395323027845,0,0,0,0,0.16297640485177,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.016563828099261,0,0.220384731742236,0,-0.0284999564424066,0,0,0,0,0.0765710647236453,0.0991929825651879,0,0.0605344916412188,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.141071682860159,0.314793252892339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137274075463373
