,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0600058128138457,0.14945385772314,0,0,0,0.0166445437015929,0,0,0,0,0,0,0,0,0.0207382657788567,0.189761838822216,0,0,0,0,0,0,0.0778341155892955,0,0,0.0145915602834154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823772939731646,0.0306554503814475,0,0.0397299676344565,0,0,0,0.0639872778027302,0,0
X601318.CH.EQUITY,0,0,0.108300287253532,0,0,0,0,0,0.124930924377882,0,0.0448367261350792,0,0.0892751155538128,0,0,0.0184539635200288,0,0.0763843480479067,0,0.20043998483526,0,0,0,0,0,0,0,0,0,0,0.0566875147201294,0,0,0,0,0,0,0.111005852232289,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0842703387038475
X601939.CH.EQUITY,0,0,0,0.154661398097353,0,0,0,0,0,0,0.111802933807911,0,0,0,0,0,0,0,0,0,0,-0.014063052071938,0,0,0.620352203977196,0,0.153592321340833,0.0251316862724045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.149459149553852,0,0.0610458805561362,0,0,0.118851101912061,0.328991137747916,0,0,0,0.0802153198583681,0,0,0,0,0.0157829262176182,0,0,0,0,0,0,0,0,0,0,0,0,0.112277736452731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413168686884954,0,0.0780831482688727,0,0,0,0,0,-0.0609602214529229,-0.0609895931108799
X600036.CH.EQUITY,0,3.46944695195361e-18,0,0,0,0,0.022289945986192,0.284100848248502,0,0,0,0,0.259388863183078,0,0.152273649625487,0,0,0,0,0,0,0,0,0.304058466944436,0.167358085905973,0.00738027153846425,0,0.0163425077412435,0,0.0417164965740565,0,0,0,0,0,0,0,0.0186435516669061,0,0.0245766598879047,0,0,0,0.0164500566170119,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0802556795993786,0,0,0,0,0,0,0,0.104078551908654,-0.0327892462373088,0,-0.0980809129831444,0,0,0,0.0384772570909965,0,-0.0457707633144871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671185493739602,0,0,0,0,0,0,0,0.0488792721096199,0,0.187897651257607,0,0,0,0,0,-0.0185173297573606,0.19551543343672
X601988.CH.EQUITY,0,0,0.0420048467156332,0.279859746183678,0.205443858256965,0,0,0,0,0,0,0,0.100566926212559,0,0,0,0,0.207305033841764,0,0,0.015832698587278,0,0,0.0515508132792671,0,0.0720552510196384,0,0,0,-0.0285602831528059,0.173402515848247,0,0,0,0,0,0,0.075957229170256,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.154864234908775,0,0.114028569300073,0,0,0,0,0,0,0.207608581337643,0,0,0,0,0,0,0,0,0.00913114779479324,0,0,0,0,0.130456241413088,0,0,0,0,0,0.117329981730078,0,0,0,0,0,0,0.117592242459497,0.0988611830224726,0,0,0.0730028786553933,0.163605070166866,0,0,0.0497485360112449,0,0,0,0,0
X5.HK.EQUITY,0,0.0610021296477364,0,0,0,0.0289376372679591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16179662810914,0,0,0.0981435101740957,0,0,0.127216076174873,0,0.0110186307276244,0,0,0,0,0,0,0,0,0,0.0607634161562951,0,0.226653199121401,-0.0824382681354559,0,0.0443470576204803,0.173276151315444,0,0,0,0,0.0550312370311795,0,0,0
X601166.CH.EQUITY,0,0,0.0585244019020715,0,-3.46944695195361e-18,0.057518697670211,0,0,0,0,0.0487870065830279,0,0.131154164226214,0,0.0696116800473905,0,0,0,0,0,0,0,0,0.16973258525974,0,0,0,0,0.414112328477646,0,0,0,0,0,0.00127862616556165,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285232359793718
X601658.CH.Equity,0.300862761105615,0.16319194711083,0,0.091081939649049,0,0,0,0,0,0.338825242471473,0,-0.0431788839458291,0,0,0.15483847721701,0,0,0,0,0,0,0,0,0,0,0,0,0.0726816315162056,0.0761577237450167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129758560342093,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.118071885820609,-0.141560658161639,0,0.219807936877081,0,0,0,0,0,0,0,0,0,0,0,0,-0.00236515461366183,0.700986146836606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052645204090417,0,0.11418764711779,0,0.053966123228849,0,0,0,0,0,0,0,0,0
