,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,-0.138680011357224,0,0,0,0,0,0,0,-0.0755419844267504,0.582071513361569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.325534305374506,0,0,0,0,0.671678637678926,0.0275449779740876,0,0,-0.0344913019958167,-0.169638345546079,0,-0.0644296781611332,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.142448540810481,0,0.00281811613009256,0,0.0256357387862781,0,0,0.039924447772028,0.0761176888108185,0,0.168788086696991,0,0,0,0,0,0.022405282371985,0,0,0,0,0,0.0965056959743854,0,0,0,0,0,0,0,0,0,0,0.492134789533495,0,0,0,-0.0725416628643151,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.202056107748877,0,0,0,0,0,0,0,0.057130162159144,0,0.0417821027065782,0,0,0,0,0,0,0,0,0,0,0.277302348868004,0,0,0,0,0,0,0,0,0,0,0.0426684061533812,-0.101462167004662,0,0.282102145554905,-0.21305660948958,0,0.147209629962644,0,-0.0458314873717862,0,0,0,0,0,0,0,0.261305280062835,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.246750520773824,0,0,0,0,0,0,0.0858269261828622,0,0,0,0,0,0,0.126457071473727,0,0,-0.0266018207430967,0,0,0,0.125075193222014,0,0,0,0,0,0,-0.0722428465662726,0,0,0,0,0,0.263939342108713,0,0,0.16830678113043,0,0,0,0,0.083448385610144,0,0,-0.0201367866980235
X5.HK.EQUITY,-0.119923415177989,-0.157078722595526,0,0.13213001463452,0,0,0,0,0,0,0,0,0,0.250934323278352,0,0,0,0.257771205217021,0,0,0,0.0864132120286282,6.93889390390723e-18,0,0.361648326289362,-0.0703546832032907,0,0,-0.0997897808018283,0,0,0,0,-0.224187504369898,0,0,0,0,0,0,0.253878891306728,0,0,-0.128852145952448,0,-0.0173276253920722,0,-0.0706222422087143,0,-0.037038163162088,0
X601988.CH.EQUITY,0.232889452885812,0,0,0.572429231612654,0,0,0,0,0,0.120166814232603,0,0,0.130876301563756,-0.0924371474605962,0,0,0.00971547304388408,0.0989789155295261,0,0,0.0153425702288131,0,0,0,0,0,0,0,0.0219050589864836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478842446937607
X600036.CH.EQUITY,0,0.65080014921524,0.0727671626309053,0,0,0,0,0,-0.0664392738288324,0,0,0,-0.191020562661079,0,0,0,0,0,0.0921099036059303,0,0,0,0,0,0,0.10230465062471,0,0,0.0647814951374005,0,0,0,0.0578918880619053,0,0,0,0,0,0,0,0.257631038874803,0,0,0,0,0,0.0806648345815844,0,-0.106841455671942,0,0.0907393009408216
X1299.HK.EQUITY,0,0.0333127406251146,0,0,0,0,0,0,0,-0.0626876798813309,0,0,0,0,0,0,-0.131334913738482,0.358061408460216,0.115131985000556,0.189365546563773,0,0,0.0727142026839485,0,0,0.18590556641703,0,0,0,0,0,0,0,0,0,0.0695904002529389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100086049291994
X601628.CH.EQUITY,0,0.177698792484194,0,0.0147998257571927,-1.73472347597681e-18,0,0,0,0,0.0303925338246201,0,0,-3.46944695195361e-18,0,0.284193012842663,0,0,0,0,0,0,0,0.130719110788338,0,0,0,0,0,-0.0484885425373196,0,0,0,0,0,0,0,0,0.128440900634219,0,0.0843324421579958,0,0,0,0,0,0,0,0,0.108479745557716,0,0
X601166.CH.EQUITY,0,0,0,-1.38777878078145e-17,0,0.311101278783931,0.0701428680973737,0,0.130054903202451,0,0,0,0,0,0.575166337562397,0,0,0,0,0,0,0,-0.27109777538846,0,-0.0159170693018017,0,0,0,0,0,0,0.378732455849794,0,0,0,0.228252008999329,0,0,0,0,-0.194283703499571,-0.178469186432625,0,0,0,0,0,-0.0453763824958059,0,0,-0.0852602429688298
X601328.CH.EQUITY,0,0.0944722146331195,0.0996092992275176,0.373420320486084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110064269104542,0.0339968307039543,0,0.0126887650715458,0.0759613184481427,6.93889390390723e-18,0,0,0,0.136505405717793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109640519835898,-0.181984217931828
X600000.CH.EQUITY,0.040210490235395,0,0,0.181113389393713,0,0,0.287295161569216,0,0,0,0,0,0,0,0.0531813630698945,0,0.0131456343883849,0,-0.0110917920218436,0,0.0471767559231581,0,0,0,0,0.391037708564231,0,0,0,0,0,0,0,0,0,0.0514491150448276,0,0,0.104339617096819,0,0,0,0,-0.0979301682167646,0,-8.67361737988404e-19,0.0188875238878387,0,0.119714532859441,0,0
X601319.CH.EQUITY,0.0820287991441379,0,0,0,0,0,0,0,0.403838462806142,0,0,0,0,0,0,0,0,0,0.281562607097185,0,0,0.086752972658884,0,0,0,0,0,0,-0.00248224925246781,0,0.0251094198565287,0,0,0,0,-0.0379647861242086,0,0,0,0,0.106838678637798,0,0,0,0.0670859474753502,0.0144411980132361,0,0.212384081990425,0,0,0
X000002.CH.EQUITY,0,0,-0.0793915284627227,0,0.143146094642854,-0.0356218593687625,0,0,0,0,0,0,0,0,0.315860604892128,0,0.209983137764964,0,0,0,0,0,0,0,0,0,0,0.389543845139661,0.328038863338804,0,-0.115512468502712,0.0320491541365787,-0.383330998372562,0,0,0,0,0,0,0,0.12339030997138,0,0,0,0,0,0,0,0,-0.118092600528869,0
X601601.CH.EQUITY,0,0,0,0,0,-0.184155504316386,0.076065155417932,0,0.389818089305324,0.0438183540591808,0,0.0412564164122938,0,0.144827015356953,0,0,0.253038499497558,0,0,-0.0727584293178846,0,0,0,0,0,0.0903935108039329,0.136896765568438,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205148540675321,0,0,0,0,0,0,0,0,0.0217355384531013,0.16416139084719
X16.HK.EQUITY,0,0,0,0,0,0,0,0.187048562585951,0,-0.0621829562806512,0,0,0,0,0,0,0,0,0,0.0536124639843407,0,0,0,0,0,0.131676663943847,0,0,0.00739481304125703,0.0740966817753786,0.0987860911306745,0,0.06754090411288,0.0119294287562824,0,0,0,0,0,0,0,0,0,0.495351117775924,0,0,0,0,0.0850185670134803,0,0
X000001.CH.EQUITY,0,0.164208639282264,0.0830722997746911,0,0,0,0,0,0,0,0,0,0,0,0.0436949944021255,0,0,0,0,0.0877953322528443,0,0,0,0,0,-0.207943325799715,0,-0.0714338781196754,0,0.0565804887852198,0,0,0,0.230951181152649,0,0.165094836339402,0,0,0.32453027752935,0,0,0,0,0,0,-0.0117524758004688,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.445253056594534,0,0,0.258949424088793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377415091088455,0,-0.165756105662532,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127544992237391,0,0,0,0,-0.177061656523089,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.058186963527211,0,0.165981788146723,0.134814111436301,0,0,0,0.0966472908182563,0,-0.0490408803423644,0.00369701106375488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312754142349553,0,0,0,0,0,0,-0.438248901600105,0,0,0,0,0,0.0947507381147542,-0.0250061714137512,0,0.527648481681307,-0.0136172228722558,0,0,0
X267.HK.EQUITY,0,0,0,0,0.0643350425776375,0,0.326453253441521,0,-0.0805356058851512,0,0.0200576911781086,0,0,0,0,0.0867578554395492,0,0,0,0,0,0,0.115502770343308,0,0.240362174438182,0.0145249732204382,0,0.0441901983956666,0,0,0,0.0200725790208045,0,0,0,0,0,0,0,0,0,-0.225404312086307,0,0,0,0,0,0,0,0,0.000656787648585202
X600016.CH.EQUITY,0,0,0,0,0,0.264750866778627,0,0,0,0,0,0.294363808758206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
