,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,6.93889390390723e-18,0.608334135862289,0,0.0373465294719278,0,0,0,0,0,0,0,0.0829652766853231,0,0,0,0,0.0978735438667801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177076812672664,0,0,0,0.0870214067903838,0,0,0,0.0326025457883474,6.93889390390723e-18,0,-0.00434729978516579,-0.0191001048823247,0,0.0461406388742829,0,0.0271328206337195
X601318.CH.EQUITY,0,0,0,0,0,0,0.151202775185118,0,0.0885602947550923,0,0,0,-0.00739286843857221,0,0,0,0.0726401782826161,0.255886657421022,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117226573458073,0,0,0.0435563318235678,0,0,0,0,0.17996167015826,0,0,0.0427255389302468,0,0,0,0,0,0.143596382949292,0,0,0
X601939.CH.EQUITY,0,0,0,0.385861319772976,0,0.245935795978052,0,0,0,0.0211078773821867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011026460800245,0,0,0,0,0,0,0.169134499620696,0,0,0,0.0159009039848048,0,0,0,0,0,0,0,0,0,0,0,0,0.0186589686660058
X601288.CH.EQUITY,0.118640883981954,0,0.257091347658351,0,0,0,0,0,0,0.132229169511082,0,0,0,0,0,0,0,0.142291443852616,-0.00809479260474379,0,0,0,0,0,0.142638081724337,0.0489767901011584,-3.46944695195361e-18,0,0,0.107234889250542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.166411444407863,0,0.39622491561991,0,0,0,0,0,0,0,0.133940371694259,0.119419467630879,0,0.0786248157196363,0,-0.224651077423711,0,0,0,0,0.349635990341073,0,0,0,0.133096235427432,0,0,0,0,-0.0993074038457185,0,-0.132226085024538,0,0,0,0,0.0724901676338097,0,0,0,-0.465181543356535,0,0,0,-0.167081344512942,0
X601988.CH.EQUITY,0.0548276801228298,0,0,0,0,0,0,0,0,0,0,0,0,0.0209805212297766,0,0,0,0,0,0,0,0,0.612434205089127,0,0,0,0,0,0,0.0831157201346442,0,0,0,0,0,0,0,0,0.0759155488426069,0,0,0,0,0,0.0482196811329166,0,0,0,0,-0.0945429945781199,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0397125102878309,0,0,-0.0195773910958343,0,0,0,0,0,0.0600233830079352,0,0,0,0,0,0,0.683598171258238,-0.00584452269627664,0.044313989192205,0,0,0.102694146099689,0,0,0,0,0,0,0,0,0,0,0,0,0.0686119543850434,0.0487698376426307,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.26325265348598,0,0,0,0,0,0,0,0.224203303911355,0.0212730253242605,0,0,0,0,0,0.0544875329314623,0.0481088800691898,0,0,0,0,0,0,0.0824432022271302,0,-0.0483149398770186,0,0.322617065721163,0.199191502904016,0,0,0,0,0,0,0,0,0,0,-0.0755244990357028,0,-1.73472347597681e-18,0,0,0,0,0
X601628.CH.EQUITY,0,0.215115040611806,0,0,0,0,0.0308198581985367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505216459533725,0,0,0,0,0,0,0,0,0,0,0,0,0.404381077121482,0,0.232085800015961,0,0,0.0295635704792854,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0130777659077948,0,0,0,0.158922306064595,0,0,0,0,0,0,0.171891319492326,0,0,0,0,0,0,0,0.288715259187137,0,0,0,0,0.0791876666911066,0,0,0,0,4.33680868994202e-19,-0.00504724451663501,0.0686984320295589,0,0,0,0,0.257349145973577,-3.46944695195361e-18,0,0,0,0.0653926392432669,0,0,0,0,0.0213687318801122,-0.00941142132977461,0
X601166.CH.EQUITY,0.0506898902591754,0,0.186590554668981,0,0,0,0.18592387224629,0,0.0188643996272569,0.0676212885246807,0,0,0,0.207073153748068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046483468309247,0,0,0,0,0,0,0,0.0981897253908306,0,0,0,0,0,0,0,-0.0371179345699334,0
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.0784841148273051,-0.199409999488381,0,0,0,-0.10530572405497,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242984176457739,0,0.20832550311881,0,0.145197461038297,0.172440788288683,0.259289699758489,0.368910295344718,0,-0.096642495248216,0,0,0,0,0,0.058646067931812,0,0,0,0,0.0591937539905262,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.014262044804776,0,0,0,0,0,0,0,0,0,0,0,0,0.0990734568086009,0.388830220235862,0,0.00937503438016149,0,0,0,0,0,0,0.234130913510346,0,0,0.339399911623746,0,0,0,0,0,0,0,0,0,0,0,0,0.0518893676091081,0.239475763918525,0.0734210365156058,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.206342787965412,0.0710676733292788,0,0,0.287235119488493,0,0.10975206935624,0,0,0,0.0364205775560592,0.0207843652466206,0.0270183858027647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219461835693465,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.25756443700727,0,0,0,0.130910843291373,0,0.138693214109181,0,0,0,0,0,0,0,0,0,0.265870364096369,0,0,0,-0.268163270901234,0,0.210665089838705,0,0,0.167823653963352,0,0.556340817996955,0.0201836165030549,0,0,0,0,0.00822116826378557,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0.023967375370975,0,0,0,0,0,0.018607459607462,0,0,0.00433121153746837,0,0,0,0,0,0.0738802031191744,0,0.0242764449418803,0,0.145938246968987,0,0,0,0,0,0.615715675025526,0,0,0,0,0,0,0.0401303940776356,0,0,0,0,0,0,0,0,-0.0855602535977035,0
X2388.HK.EQUITY,0,0,0,0,0.302432154673838,-0.549124360562756,0,0.201165755335682,0,0,0,0,0.0554871293661716,0,0,0,0,0,0,0,0.211631323059309,0,0,0,0,0.0413748011220226,0,0,0.301412646752411,0,-0.149586159069471,-0.0574217422358842,0,0,0,0,0,0.0464356582462455,0,0,0,0,0,0,0,0,0,0.167129677663775,0.0560273587221719,0,0.1283572509636
X601601.CH.EQUITY,0,0.130085046083367,0,0,0,0,0.0798834595221361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198994767367072,0,0,0,0.139381375548275,0,0,0,0,0,0,0.0142918834637994,0,0.0623606558681075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18803852346644,0,-0.0390516974546601,0
X267.HK.EQUITY,0,0,0,0,0.143305914628193,0,-0.354216386264324,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.233917024520701,0,0,0.229605904249424,0,0,0,0,0,0,0,0,0.134316471426389,0.14885145694231,0,0.0916174767338172,0,0,0,0,0,0.273083941045267,0.131238971821343,0,-0.0364552327709672,0,0,0,0.508022658736887,0,0,0.0436394460518192,0,4.33680868994202e-19
