,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.243978099991209,0,0.39384444066785,0,0,0,0,0.0942506495249515,0,0,0.124904567949452,0,0,0,0,0,0,0,0,0,0,-0.0801652461857635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540637791575093,0,0.0200213880074826,0,-0.114902642711518,0
X601939.CH.EQUITY,0.353793977953326,0,0,0.28660228221877,0,0,-0.0959493313967345,0,0,0,0.00278368709558646,0,0.140038591947319,0,-0.0647214824326668,0,0,0,0,0,0,0,0,0,0,0.0316016558831868,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.201206265795048,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.154235141139728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1209519447532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175456713707066,0,0,0,0,0,0,0,0.129971622426798,0.0854774469300525,0,0,0.142894709777243,0,0,0,0,0
X601288.CH.EQUITY,0.471866061737308,0,0,0,0.258438500128401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872016788724483,0,0,0,0,0,0,0,0,0,0,0.0273927017047385,0,0.0348905716317681,0,0,0,0,0,0,0,0.0708981066360126,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.153181964796579,0,0.417236935182829,0,0,0,0,0,0.247471983686893,0,0,0,0,0,0.147234171367944,0,0,0,0,0,0,0,0,0,0,0,0.0433542210482235,0,0,0,0,0,0,0,0,-0.0643296902950199,0,0,0.0845751519911076,0,0,0,0,0,0,0,0,0,0,0,0.104839669028986
X600036.CH.EQUITY,0,0,0.0498514058650689,0,0,0,0,0,0,0,0,0.358418490806009,0,0.0319784297278122,0,0,0,0,0,0,0,0,0.0288249806876291,0,0.127351876603329,0,0,0,0,1.73472347597681e-18,0,0,0,0.0697248425823521,0,0,0,0,0,0.0523209313252151,0,0.0123949002494009,0,0,0,0,0,0,0.277578074777303,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.084882887255397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557390682842111,0.244771423796368,0,0,0.130178251931682,0,0,0,0.134188601043138,0,0,0,0,0,0,0,0,0,0,0,0.146694283641304,0.0443614207021411,0,0,0
X5.HK.EQUITY,0,-0.186366754529783,0,-0.0883498032383362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18774726112234,-0.770209367233429,0,0,0.493172841957858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43725526548338,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0833302159674313,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.130035062254154,0,0,0,0,0,0.15144290824808,0,0.204307058444381,0,0.136260355006342,0,0,0,0.115968006873821,0,0,0.0712809612543647,0,0,0,0,0,0,0,0.0355023437708839,-0.0259827260313646,0,0,0,0,0,0,0,0,0,0,0.00187093389209956,0,-0.0511085227159562,0
X601658.CH.Equity,0,0,0,0.0982061648091274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32348112288892,0,0,0,0,0,0,0.362657574892424,0,0,0,0.131777760564374,0.0591290021702625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
