,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.407159311680632,0,0,0.013660645381452,0,0,0,0,0,0,0,0,0.0211169802970629,0,0,0,0,-0.0292960787466958,0,0,0,0,0.00160520246109849,0,0,0,0,-0.0460109646313816,0,0,0,0.168740543437022,0,0,0,0.0727929652459342,0,0,0,0,0,0,0,0,0.0464285897056485,0.231538949556349,0,0.0463925894162198,0
X601318.CH.EQUITY,0,0,0,0,0.0166097060408146,0,0,0,0.150790907456245,0,0.0571673364697654,0,0.0831726833941055,0,0,0,0,0,0.223412322951159,0.180487916173651,0,0,0,0,0,0,0,0,0,0,0,0.0896087989828222,0,0,0.0344514017452107,0,0,0.0495399525480625,0,0,0,0,0,0,0.00883358626559772,0,0,0,0,0,0,0.0728645332615611
X601939.CH.EQUITY,0,0,0,0.286871521735151,0,-0.0573410740985725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332998056452239,0.748404063838981,0.0152891255931824,-0.258834154853509,-0.137283556411158,0,0,0,0,0,0,0.0629576833579943,0,0,0,-2.77555756156289e-17,0,0,0,0,-0.126700978183339,0,0,0,0,0,0,0,0,0,-0.0887530072692477,0
X601288.CH.EQUITY,0.22192140058702,0,0.032557235544863,0,0.0550783615133837,0,0.322480184307686,-0.100414996738844,0,0,0.0585175252513148,0,0,0,0,0.0688482952860164,0,0.00257676513460541,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156290882800633,0,0,0,0,0,-0.112673002893224,0
X601628.CH.EQUITY,0,0,0,0.0698636708854593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2286975028676,0,0,0,0,0,0.0981371485602504,-0.150938379006533,0,0,0,0.109488846507768,0,0,0,0.512952403240148,0,0.135768017742101,0,0,0,-0.00209188258113961,0,0,0,0,0,0,0,0,0,0,0,0,0.0522670289074897
X600036.CH.EQUITY,0,0.201917005207757,0,0,0.0922198465261425,0,0.0801200848921814,0,0,0,0,0,0.213637698936706,0,0,0,0,0,0,0,0,0,0,0,0,0.317580041153622,0,0,0,0,0.13899045592549,0,0,0,0,0,0,0,0.0474484941865504,0,0,0,0,0,0,0,0.0307730169229143,-0.0636932837349248,0,0,0,0.0111000315838084
X601988.CH.EQUITY,0,0.0332073400421241,0,0,0,0.329594133121282,0,0,0,0,0,0,0,0,0,0.470330640067766,0,0,0,0,0.0373098378881045,0,0,0,0,0,0,0,0,0,0.011709017272602,0.140620196304719,-0.0766675355668405,0,0,0,0,0,0,0,0,-0.018479501147883,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.354286910301328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403029189738917,0,0,0,0,0,0,0,0,0,0.0937969190066403,0,0,0.156369348205659,0,0.0916682439643738,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358924841068823,0,0,0,0,0,0,0,0,0,0.574874714630609,0,0.0761089178429732,0,0.0853122753157692,0,0.0855186764683233,0,0,0,0,0,0,0,0,0,0.23009051044651,0.069301691268163,-0.0811086853125928,0,0,0,0.178103891029546,0.180296728923739,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.151661536738715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480357631356207,0,-0.0115955098202994,0.147749204004982,0,0,0,0.158929323705994,0,0.21775406318311,0,0,0,0,0.181632960524873,0,0,0.022616690118778,0,1.73472347597681e-18,-0.340667493067258,-0.114650959258834,0,0.0709620808952925,0,0,0.23217384706002,-0.00985744874082839,0
