,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X388.HK.EQUITY,0,0,0,-0.149441173428749,0,0.19130359864017,-0.00444644548270278,0,0,0,0,0,0.0411330460920291,0,0,0,0,0,0,-0.0420522889991939,0,0.564405791155433,0,0,0,0,0,0,0,0,0,0,-0.0799308056981254,0,0,0,0,0,0,0.160502522629773,0.115442201470497,0,0,0,-0.333680155911805,0,0.0555336541327845,0,0,0,-0.0851139417459438,0
X601658.CH.Equity,0,0,0,0,0.293049367231967,-0.0816626034885959,0.0808087181465992,0.209562499151316,0,0.185694071295984,0,0,0.156763909231944,0,0,0,0.395827074267585,0,0,0,0,0.247538429294446,0,0,0,0,0,0,0,0,0,-0.302573038544504,-0.000275360399231848,0,0,0,0,0,0,0,0.0275406297026572,0,0,0,0,0,0,0,0,-0.313455996934171,0,0
X000001.CH.EQUITY,0,0.0358645121439899,0,0.282757988416206,0,0,-0.0491083999017366,0.215365473583816,0,0.450141345113264,0.069809033000797,0,0,0,0,0,0,0,0,0,0,0.0330996276607854,0.126621573488778,0,0,0,0.216055893539794,0,0,0,-0.1007274460876,0,-0.22964830892831,0,0,0,0,-0.0524015723208018,0,0,0,0,0,0,0,0,0,-0.0698908308065395,0,0,1.73472347597681e-18,0.194258939654878
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0270353371824576,0.0444558813366385,0,0,0,0,0,0,0,0.272361394265975,0,0,0,0,0,0,0,0,0,0,0,0,0.0215830049321071,0,0.0438564751953619,0.0400302973327412,0.259609375874748,0.166530360741185,0.0142595415773875,0,0,0,0,0,0.218346615901252,0.0562106303906494,0,0,0,0.0542750823842207,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.106947846746597,0,-0.0455868428515493,0,0.340671586542304,0,0,0,0,0.119950473580061,0,0,0.173396267634672,0,0,0.0846758625127079,0,0,0,0,0,0,-0.00198539349931161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444561568149126,0,0,0,0.166668271043514,0,0,0.025886436531405
X000002.CH.EQUITY,0,-0.110057577217355,0,0.0902576222198139,0,0,0,0,0,0,-0.0424874937382104,0.0938984005091994,0,0,0,0,0,0,0,0,0,0,0.0274272386084239,0,0.282315449427194,-0.130561168369718,0,0.560989425844764,0,0,0.0429973676687474,0,0,0,0,0,0,0,0,-0.0128837919304759,0,0,0,0.0616750521959564,0,0,0,0,0,0,0,-6.93889390390723e-18
X601328.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.140771395376673,0,0,0,0,0,0.290975704174608,0,0,0,0,0,0,0,0.127251507897267,0,0,0,0,0,0,0,0,0,0,0,0.149397131826177,0,0,0.0197916178214269,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0612203432033225,0,0.0994647376254237,0,0,0,0,0,0,0,0.0117301147015705,0,0,0.0434104162651305,0,0.490841200630334,0,0,0,0,0,0,0,0.0219050788641803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320795072515859,0,0,0,0,0,0,0.0771696963979191,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.0423253681907576,0,0,0,0.0436073715332275,0,0,0,0,0.0660205534835456,0,0.678230264691115,-0.0315141964159092,0,-0.0514216471767871,0,0,0,0,0,-0.0832490999482992,-0.156660431786634,0.0789563165977639,0,0,0,0,0.0558047843818435,0,0,0,0,0,0,0,0,0,0.0753112944513438,0,0,0,0,0.0795503591317517,0,0,0,-0.101679632257771,0,-0.222818274797663,0.0373584826137469
X16.HK.EQUITY,0,0,0,0,0,0.073715171305871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525299717865029,0,0.167255601105737,0,0,0,0.277785310005753,0,0,0.00693064579749443,0,0,0,0,0,0,0,0,0.288292166341183,0.151731668072837,0,0.00244996165783518,-0.243393125202587,-0.435856231955075,-0.0796684003126071,0,0,0,0
X601319.CH.EQUITY,0,0,0.0620438987462957,0.0659970964504062,0,0,0,0,0,0,0,0,0.182632899060272,0,0,0.0106666064496649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113716649073066,0,0.209443313116994,0,0,0,0,0,-0.0229941066633855,0,0,0,0.3283982675741,0.29652575418867,0,0,0,3.46944695195361e-18,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0.00471296878181928,0,0,0,0.0336381994658691,0.0480897066543519,0.0856574378311209,0,0,0,0,0,0.359555954268258,0,0,0,0,0,0,0,0,0,0,0,-0.00591089287691254,0,0,0,0,0,0,0,0,0,0,0,0,0.292239949020886,0,0.0804481950002061,0.243064969488218,0,0,0,0,0.0520221858249243
X11.HK.EQUITY,0,0,0,0,0.0949406360099627,0,0.022348091692906,0.0617071001386627,0.572358632604169,0,0.065576097176952,0,0,0,0,0,0,0,0,0,0,0,0,0.292002688514547,0,0,0,0,0,0,0,0,0.12625595944097,0,0,0,0,0.0769470429525624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325366345670072
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.200579737459037,0,0,0,0,0,0,-0.190334368722006,0.0283475314087614,0,0,0.422262599428986,0,0,0,0,0,0,0,0,0,0,0,-0.141709500438994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40133873848001,0.0609251869715288,0,0
X601998.CH.EQUITY,0,0,0,0,0.291235107968921,0.288286545898003,0,0.123852328960251,0,-0.130058926295552,0,0,0,0,0,0.131766377410966,0,0,0.115164755099294,0,0,0,0,0,0,0,0,0,0.492877907984302,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387260103955442,0,0,0,0,0,0.087730253124162,-0.0982065243598716,0,0,0
X600016.CH.EQUITY,0,0,0.0377051277073022,0,0,0,0.0490947319004653,0,0,0,0,0,0,0,0,0,0.213777027324145,0,0,0,0,0,-0.132640776491713,0,0,0,0,0.0650930539621861,0,0,0.104441120323264,0,0,0.520414903996915,0,0,0,0,0,0,0,0,0,-0.390922574639306,0,0,0,-0.00160328155809158,0.146259760015617,0.294102190101339,-0.0414462209463006,0
X002142.CH.EQUITY,0,0,0,0.152290446328794,0,0,0,0,0,0.0439595522622779,0,0,0.0793705001176807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907380345090401,0,0,0.291985928444705,0,0.0152668250125818,0,0,0,0,-0.0733056032712787,-0.0266493973841887,0,0.0608090591224658,0,0,0,0,0,0.0154060080104724,-0.0177729287269566
