,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,6.93889390390723e-18,0.317993029239085,0,0.00253721059674886,0,0,0.343207677255642,0,0,0,0,0,0,0,0.0185810436646436,0,0,0,0,0,0,0,0.175419235413167,0,0,0.0201726683378217,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.107027453493771,0,0,0,0,0,0,0,0,0,0,-0.0316091746944878,0,0,0
X601318.CH.EQUITY,0,0,0.336152329054944,0,0,0.182592612015908,0,0,0.00320599066739615,0,0,0,-8.67361737988404e-19,0,0.139441189813612,0,0,0,0,0.0163088596890538,0,0,0,0,0,0,0,0,0,0,0.15792762138565,0,0,0,0,0.0929795187172102,0,0,0,0,0,0,0,0,0,0,0.0318644139293742,0,0,0,0,0
X601939.CH.EQUITY,0.354101920743698,0.186627443622709,0,0,0,0,0,0.270603411620538,0,0,0,0,0,0,0,0,0.126259691798183,0,0,0,0,-0.0924581932069242,0,0,0,0,0,-0.0660442481873227,0,0,0.155167152986468,0,0.224606080693662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680705546675285
X600036.CH.EQUITY,0,0.0381116754900368,0,0,0,0.229344224765327,0,0.0103040531719634,0.0406977624642138,0,0,-0.0620270636051548,0.120777992757739,0,0,0.107250422121442,0,0.154271140739089,0,0,0,0,0.0150900807861898,0,0.423085001226635,0,0.0268057690823185,0,0,0,0.0633792690155859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710875388925483,0.041365172397144
X601288.CH.EQUITY,0,0,0,0,0,0,0.00306721846253223,0.531948056107678,0,-0.0815494031144515,0,0.0636262301842495,0,0,0,0,0,0,0,0,0,0,0.0658982971716872,0.151251258845504,0,0,0,0,0,0,0.101136505010079,0,0.0424252320494275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456836133749304,0,0.0164473877724252,0,0,0
X1299.HK.EQUITY,0,0,0,0.0369492807756549,0,0,0,-0.16511495008918,0,0.152574790757501,0,-0.0151636203185085,0,0,0.0116663184957716,0,0,0,0,0,0,0,0.138049081295164,0,0,0,0,0,0,0,0,0,0.0983057458494392,0,0,0,0,0.143606082279079,0,0.0915283031053093,0.166238811330743,0.035198911419791,0.0969071574110239,0,0,0,0,0,0.294568092990625,0,0,0
X601628.CH.EQUITY,0.145063888567794,0,0,-0.00773726541852479,0,0.000711612626180609,0,0,0,0,0,0,-0.0276260740333954,0,0,-0.198895146646836,0,0,0,0,0,0.138222038048022,0,0,0,0,-0.109900141153361,0,0,0,0,0,0,0.589380458556438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772178143364706
X601988.CH.EQUITY,0.125276784327317,0,0.0537561134751906,0,0.54034214572085,0,0,0,0,0.0940500408132905,0,0,0.154030303307565,0,0,0,0,0,0.00668856339031691,0,0,0,0.129377248329634,0,0,0,0.0144033974819766,0.0826482648653424,0,0,0,0,0,0,0,0,0.0681980538619352,0,0.00250296379286968,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.163814978646319,0,0,0,0,0,0,0,-0.0495881322183905,0,0.0449822443221249,0,0,0,0,0,0,0,0,0,-0.224257447032388,0,0,0,0.134835296488022,0.0546846744852755,0,0,0,0,0,0.131798318985387,0,0,0,0,0,0,0,0.214035552374318,0.141204614049717,0,0,0,0,0,0,0,0,0,-0.138248394833701
X388.HK.EQUITY,0,0,0,-0.256653297871032,0,0.174676430811938,-0.0584508840529537,0,0,0,0,0,0.0542259288303059,0,-0.0248502664278771,0,0,0,0,0,-0.0787335127658753,0.473652465460543,0,0,0,0,0,0,0.0758044848481776,0,0,0,-0.0892476502735342,0,0,0,0,0,0.250413859512547,0.106394289339643,0,0,0,0,0,-0.2169300177349,0,0.079169249131928,0.070434058601945,0,0,0
