,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.226534227096916,0,0,0,0,0,-0.187326110209805,0,0,0,0,0,0,0,0,0,0,0,0.457907629776893,0.458586735429193,-0.0251124366089587,0,0.112388812805282,0,0,0,0,0,-0.0836192076929864,0,-0.185938442704961,0,0,0,-0.616323560035321,0,0,-0.0697830819410473,0,0.0301663531537371,0,0,0.0278017129963882,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.386367778532967,0.0722441559653987,0,0,0,0,0,0,0,0,0,0,0,0,0.164384812070415,0.0490155759514522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154385537457668,0,0,0,0,0,0,0,0.0532641689805236,0,0,0
X601939.CH.EQUITY,0.088030099665813,0,0,0.172234402182016,0.012480070283528,0,0,0,0,0,0.0113107280464917,0.157156498854297,0.236368212028834,0,0,0,0,0,0,0,0,0,0,0.0203819921281803,0,0,0,-0.0558428455062146,0,0,0,0,0,0,0,0,0,0,0,-0.00785861242144728,0,0,0,0,0,0,0,0.366543293371036,0,0,0,0.0999485076843519
X601288.CH.EQUITY,0,0,0.24416520652251,0,0.388067921179739,0,0,0.056553665488253,0,0,0.0278794738552141,0,0.130113698611745,0,0.0114601646704665,-0.0258911881921408,0,0,0.0882154372939947,0,0,0.05182973830543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752023954409367,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.339867042938785,0.148250376684177,0,0,0,0,0,0.0468311328937006,0,0.0243000519281561,0,0,0,0,0.106702517709607,0,0.0760718966045018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.421233117172778,0,0,0.116624569426438,0,0,0,0,0,0,0,0,0.192993100175668
X600036.CH.EQUITY,0,0.00736789550866118,0.0911559077986933,0,0,0,0.0312358255809813,0.0622493229892777,0,0,0,0.105216114330126,0,0,0,0,0,0,0,0.127925576485903,0,0,0,0,0.00975728078545129,0,0,0,0,0,0,0,0,0.390274657073862,0,0,0,0,0,0,0,0,0,0,0,0.0782698648054083,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.419357489118574,0,0,0,0,-0.129422904012767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571343247482086,0.252303709484919,0,0.129224211602498,0,0.000557167219256575,0,-0.0508060657545444,0,0.099509760190031,0,0,0.050978054800954,0,0,0.0148212730303267
X1299.HK.EQUITY,0,0,0,0,0,0,0.162739692069431,0,0,0,0,0,0,0,0,0.0774493288831931,0,0,0,0,0.283462016465508,0,0,-0.0371348933082758,0,0,0,0,0,0,0.0968347152505832,0,0,-0.0519592366084755,0,0,0.0058529780168347,0,0,0,0,0.0520468128690796,0,0,0,0.444698771059979,0.130459005330406,0,0,0,-0.03013834553671,0
X5.HK.EQUITY,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0687462432469696,0,0.0122308670863222,0,0,0,0,-0.510760207131114,0.723599933367339,0,0,0.137843697967768,0.613199970862035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507245579831472,0,0,0,0,0,0.137352546912329,0,0
X601658.CH.Equity,0,0,0,0.0294821466768706,0.00542561334513531,0,0,0,0,0,0,0,0,0,0,0,0,0.254890921792502,0.120309344472847,0,-0.0850746599920368,0,0,0,0,0,-0.00596088829204833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270128324194493,0,0,0,-0.0321686149320564,0,0,0,0,0,0
X388.HK.EQUITY,0,0.294178445401999,0,0,0,0,0,0,0,0,0,0,0,-0.00999352757410035,0.217528432794904,0,0,0,-0.182620528457587,0,0,0,0.381713652562512,0,0,0,0,-0.129719946359899,0,0,0,-0.109342426249566,0,0,0,0,0.277570158092648,0,0,0,0,-0.0537370824625514,-4.33680868994202e-19,0,0,-1.38777878078145e-17,0,0,0,0,-0.113998740339533,0
X601166.CH.EQUITY,0,0,0.144639792299709,0.0332604427904973,0,0.13486122992456,0,0,0,0.0271918488227522,0.00340532580734116,0,0,0,0.403382851849658,0.114737508439072,0,0,0,0,0,0,0,0.0243105539198831,0,0,0,0,0,0,0,0,0.0134886992081947,0,0,0,0,0,0,0,0.0971822034392396,0,0,0,0,0,-0.00717924829761197,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.215285579137208,0.104342176672893,0,0,0,0.00578725540645105,0,0,0,0,0,0,0.125815534507881,0.0674502932378516,0,0,0,0,0,0,0,0.084223042428702,0,0,0,0,0,0,0.123138093551765,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0366597233773243,0,0,0,0,0,0.0258688903376818,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.00338863832947004,0,0,0,0,0,0,0,0,0.246400927416632,0,0,0,0,0,0,0,0.00282266933965308,0,0,0,0,0,0,0.386138635086344,0.047008579701445,0,0,0.00628740812226146,0,0,0,0,0.0442471413032789,0,0,0,0,0.0299047366999832,0,0,0,0.0278043870898404,-0.0546737807066437,0
