,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0503596909603688,0,0.076133367281253,0.128670283508649,0,0.360573491971753,0,0,0,0,0.00138000371872952,0.100942060920686,0,0,0,0,0,0,0,0,0,0.0845940511634097,0,0.0130552193342666,0,0,0.152467792806856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.147594769430369,0,0,0,0,0,0,0,0.274407783349186,0,0,6.93889390390723e-18,0,0,0.0614105061933746,0.204640166207581,0,0,0.155404593328906,0,0,0,0,-1.38777878078145e-17,0,0,0.0421909734889762,0,0,0.0467462919354821,-0.114065825119033,0,0,0,0,0,0.0996854962928552,0.119285010397579,0,0,0,0,0,3.46944695195361e-18,0,0,0.0136775294618538,0,0,0.00687983151486815,0,-0.0415086443384295
X601939.CH.EQUITY,0.309830000924165,0,0,0,0,0,0,0,0,0,0,0,0.262358414840764,0,0,0,0,0.0114154722708349,0,0,0,0,0,0,0,0,-0.0324416323785034,0,0,0,0,0,0,0,0,0,0.220898556589253,0,0.0921733144484141,0,0,0,0,0.0995542188418687,0,6.93889390390723e-18,0.0463465589163253,0,0,0,0,0
X601288.CH.EQUITY,0.347202354517592,0,0.0266422214381737,0,0,0.489680699719602,0,0,0,0,0.00734460097872393,0,0,0,0.0358037599311883,0,0,0,-0.0256562644855543,0,0.00928741744046082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101062350474237,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.218261990116289,0,0,0,0,0,0.292319643652277,0,0,0,0,0,0,0,0.00587980141128249,0.66120138975452,-6.93889390390723e-18,0,0,0.0700666173599133,0,0,0,0,0,0,0.0966192096858329,0,0,0,3.46944695195361e-18,0,0,0,0,-0.219799074879083,0,0,0,0,0,0,0,0,-0.0108312134100015
X601988.CH.EQUITY,0,0.0768747859227597,0,0,0,0,0,0,0.151687868266851,0,0,0,0.180916512277544,0,0,0,0,0,0,0.119252614167106,0.133173936100413,0,0,0.269203838044055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.219062230399916,0,0,0.258950121740405,1.38777878078145e-17,0,0.0304879240627079,0,0.180961239726792,0,0,0,0,0,0,0,0,0,0,0.00369118670966692,0,0,0.0934232452664145,0,0,0.103964689828474,0,0,0,0,0,0,0,0.0495161736160653,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0638148601428965,0,0,0,0.437547488787914,0,0,0,0,0,0.16714222855264,0.13225473019128,0,0,0,0,0,0,0.28867367866211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.385834855929983,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117588430239335,0.0964185746492386,0,0,0,0.13536720145776,-0.0201191706524586,0,0,0.0482776166378419,0,0.232065278575381,0,0,0,0,0.118234627364247,-0.0128925804174806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.440310774107068,0,0,0,0,0,0,0.228948863274832,0,0,0,0,0,0,0,0,0,0,0,0,-0.00452751530021306,0,0,0,0.140172892461296,0,-0.0949231438840957,0,0.332464141708502,0,0,0,0,-0.0271456938933772,0,0.861800807141803,0,0,0,0,0,0.29830344131586,0,-0.235342584396742,0,0
