,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.484860257328946,0.0899691340577804,0,0,0,0,0,0,0,0,0,0.0816412556471162,0.0668127670671057,0,0,0,0,-0.143776329363033,0,0,0,0,0,0,0,0,0.0247405738044058,0,0,0,0,0,0,0.0485268279298041,0,0,0,0,0,0,0,0,0,0,0.100372119080212,0.18241093167198,0.0392230836712792,0
X601318.CH.EQUITY,0,0,0.210127001976684,0.109194357665425,0,0,0,0,0,0,0,0,0,0,0.296311256463703,0.071049540363336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140467600597051,0,0,0,0,0,0,0,0.099704515110152,0,0,0,0,0,0,0,0.0238476133628049,0,0
X601939.CH.EQUITY,0.331714060452897,0,0,0,0,0,0,0,0,0,0,0,0,0.45619702515129,0,0,0,0,0.148645143058658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104743091505515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.3479508338553,0,0.0171155039346064,0,0.506032535909269,0,0,0,0,0,0.0105297172380112,-6.93889390390723e-18,0,0,0,0.0488316524572915,0,-0.0318649927438321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000435097916669151,0,0,0,0,0,0,0,0.0857390153233025,0,0
X601988.CH.EQUITY,0,0,0,0.109230422787262,0,0,0,0,0,0,0,0.49999022113912,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0208158871428581,0,0.00745280036171981,0,0,0,0,0,0,0,0,0,0.104780828049642,0,0,0,0,0,0.112205824211084,0,0,6.93889390390723e-18,0,0.0312604652801491,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.332061623933591,-1.38777878078145e-17,0,0.241535841153472,0,0,0,0,0.718663227008005,0,-6.93889390390723e-18,0,0.697722028993816,0,-0.658407071466341,0,0,0,0,0.0857029907464959,0,0.0115720967484597,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0826098008147993,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0937124102848482,0.0304329697784772,0,0,0,0,0,0,0,0,0.156468297772797,0,0,0,0.0502167250764452,0,0,0,0.0729461760051275,0,0,0,0,0,0,0,0,0,0,0,0.107841038500517,0,0,0.239498652039825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213287280949164,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.121512663120524,0.0260843396028955,0,0,0,0.0889065947194448,0.0843145198949592,0,0,0,0,0,0,0.0707762852883326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313053922056871,0,0
X601628.CH.EQUITY,0,0,0.299877696222683,0.135002049994302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600230426078039,0.0499786673748045,-0.00745144300547333,0,0,0,0,0,0,0,0,0.202499722017591,0,0,0,0,0.00756363987023749,-4.33680868994202e-19,0,0,0,0,0,0,0.10458206506002,0,-1.38777878078145e-17,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.131371859345125,0,0,-0.0319144579862526,0,0,0,0,0,0,0,0,0,0,0,0,0.0625628218611818,0,0,0,0,0,0.571822963235804,0,0,0,-0.161948922392741,1.38777878078145e-17,0.466945770500501,-0.351588855218297,0,0,0,0,0.795062701439383,0,-0.36995887796717,0,-0.190730900768281
X601166.CH.EQUITY,0,0,0,0.176879505022814,0,0,0.253579554737908,0,0,0,0,1.38777878078145e-17,0,0.141181575949051,0,0,0,-0.0235041635890889,0,0,0,0,0,0,0,0,0,0,0,0,0.281883464847632,0,0,0,0,0,0,0,0.139125856646314,0,0,0,0,0,0,0.0485720330701923,0,0,0,0,0
