,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.521314407733894,0,0,0,0.12230311437121,0,0,0.0510005083378864,0.0496506473361082,0,0,0.169706913772764,0,0,0,0.0361546410007419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253328207255187,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.138943014845678,0.271639920331559,0,0,0,0.0338802735334347,0,0,0,0,0.315388990188004,0.093074541033296,0,0.0648619181213027,0,0,0,0,0.0463297887424744,0,0,0,-0.0476579162234921,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.067940951269732,0,4.33680868994202e-19,0,0,0,0,0.00142752328182058,0,0,-0.000411406015657589
X601939.CH.EQUITY,0.264547530463674,0,0,0.316624261370086,0.112926072044612,0.0619752703806697,0,-0.00474896592406512,0,0,0,0,0,-0.0304183823837743,0,0,0,0,0,0,0,0,0.0698265610940154,0,0,0,0,0.256090494879314,0.0139066055367252,-0.0680379545056889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0951873068114608
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.121891685176352,0,0,0.720646939711392,0,0,0,0,0.00818027894451945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857322379924688,0,0,0,0.0137037003832993,0.114392381356986,0,0,0,0,0,0,0,0,0,0,0,0,-0.101068157029777
X5.HK.EQUITY,0,8.67361737988404e-19,0,0,0,0.286597479703479,0,0.0870701618468208,0,0,0,0.076116823173411,0,0,0,0,1.38777878078145e-17,0,0.166456121484861,-0.199465910337152,0,0,0,0,0,0.0398010216524913,0,0,-0.0248078746399761,0,0,0.0193703943905204,0,0,0.2011294528764,0,0,0,0,0.387250436563122,0,0,0,0,0,0,0.195671991002705,-0.141037666053162,0,0
X601988.CH.EQUITY,0,0,0,0,0.320368654580248,0,0,0,0,0.0915047277614528,0.160076332071421,0,0,0,0,0.154160523035785,0,0,0,0,0,0,0,0,0.104713050943677,0,0,0,0,-0.18278247534645,0,0,0,0,0,0,0,-0.0193240932266104,0,0,0,0.113159905520928,0,0,0,0,-0.028123138175879,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0580773989563249,0,0,0.0849267260104878,0,-0.112126390377832,0,0,0,0,0,0.411685307181591,-0.000911293344936493,0,0.148271471724262,0,0,0.113267639617543,0,0,0,0,0,0.0947999784441391,0,0,0,0,0,0,0.267089684122557,0,0,0.122078704689735,0,0,-0.0549854029377225
X1299.HK.EQUITY,0,0,0,0,0.0659340430284809,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.21290722998565,0,0,0,0,0,0,0,0,0.104755470883423,0,0,0.0405251572893232,0,0,0,0,0,0.247310433499023,0,0,0,0,0,0,0,-0.0459758335034652,0,0,0.105513836489977,0,0,0,0.126880233670509
X601628.CH.EQUITY,0,0,0,0.0318302834154904,0,0,0,0,0,0,0,0,0.132116958864515,0,0,0,0,0.409297592417064,0,0,0,0,0,0,0.00349991130701191,0,0,0,0,0,0,0,0,0,0,0.0655500702531669,0.18243662021233,0,0,0,0.190277321004838,0,0.0782366945579022,0.0490382700856309,0,0,0,0,0,0
X601328.CH.EQUITY,0.0130615075082847,0,0.371145283809863,0,0,0,0,0,0,0,0,0.428893333044121,0,0,0,0,0,0,0,0,0.0249128265745853,0.0515890980075756,0.148029626106228,0,0,0,0,0,0,0,-0.0208610957138609,0,0,0.0209933895769902,0,0,0,0,0,0.0505943557768196,0,-0.0544594597302372,0,0.210733653339792,0,-0.0169357874388366,0.079405677751882,0,0,0
