,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.253478731600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217280852006153,0,0,0,0,0.382636695083624,0,-0.0307899048758598,-0.0130512171516841,0,-0.0544591823427136,-0.0751750477445368,0,0,0,0,0,0,0,0,0,0.553889736877779,0,0,0,0,0,0,0,-0.0437584851688919,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.136131300358967,0,0.246055313365235,0,0,0,0,0,0,0,0,0.292631487692579,0.0827906810779617,0,0.0429648386998938,0,0,0,0,0.0990975251129258,0,0,0,0,-0.0117446090902293,0,0,0,0,0.0641100905658631,0,0,0,0,0.0263737895462837,-3.46944695195361e-18,0,0,0.0181547056981472,0,0,0.0299402979750491,0,0
X601939.CH.EQUITY,0,0,0,0.56332943174363,0,0.0319565646929909,0,0,0,0.312259798089114,0,0,0,0,0,0,0,0,0,0,0.123982722073946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183477198311764,0,0.103887729950449,0,0,0,0,0.0382815154795919,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.199144312592345,0,0.133140698289834,0,0.642071607292694,0,0,0,0,0,0,0,0,-0.0338198969730058,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0656434494529568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123473376355871
X5.HK.EQUITY,0,0,0,0,0,0.129228477466601,0.38449414135061,0,0,0,0,-0.0335763442560628,0,0,0.2369666670439,0.0823866009049471,0,0,0,0,0,0,0.210656715739132,0,0,0.0520889380188319,0.0365285556687531,-0.192805180125432,0,0,0,0,0,0,0,0,0.00256550472077862,0,0,0,0,0,0,0,0,0,-0.228254799702721,0,0.124798674832951,0
X601988.CH.EQUITY,0,0,0.0235328865496798,0,0.235771028449035,0,0,0,0.114988083578295,0.163736313813534,6.93889390390723e-18,0,0,0,0.0611819046271945,0,0,0,0,0,-0.0360036864746731,0,0,0,0,0,0,0,0,0,-0.0552748824814884,0,0.178527318336025,0,0,0,0,0,0,0.123785041925472,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.231325781453008,0,0,0,0,0,0,0,0,0,0,0,0.170235595118872,0,0,0,0,0,0,0,0,0.0376159374241099,0,0.0430823868661358,-0.0763689075704322,0.0826540426620077,0.0722885720466901,0,0,0,0,0,0.522784365322518,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.00965601585509699,0,0,0,0,0,0,0,0,0.438838239361482,0,0,0,-0.0129713669523949,0,0,0,0.227679276648094,-0.0404309998545717,0,0,0,0,0,0,0,0,0,0.00580904581146675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216998458477411,0,0,0,0,-0.129894262304299,0,0
X601628.CH.EQUITY,0,0.0854413100173655,0,0.00982837419963395,-0.0976398810799274,0,0,0,0,0,0,0.0420355427473633,0,0,0,0,0,0.234192087371665,0,0,0,0,0,0,0,0,0,0.0210346272981997,0,0,0,0,0,0,0.0196626142930178,0.401992087610679,0,0,0,0,0,0.202327168935071,0.0818786478435236,0,0.0753209984097297,0,-0.0265928178158638,0,0,-2.16840434497101e-19
X601328.CH.EQUITY,0,0,0.295054465943063,0,0,0,0,0.440105986702875,0,0,0,0,0,0.397410993165592,0,0,0,0,0,0,0.0160936854528515,0,0,0,0,0,0,0,0,0,0,0,-0.0656237374555053,0,0,0,0,-0.185078968185735,0,0,0,0,0,0,0,0,0,0,0,-0.177388797992844
