,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.455314480452985,0,0.0797125959111313,0.119415478755465,0.0449327592616095,0.0821918594435816,0,0,0,0,0,0.0316646438470364,-0.0195175094070705,0,0,0,0.064129875592322,0.0159795497536597,0,0,0,0,0,0,0.090712693018883,0,0,0,0,0,0,0,0,0,0,0,0,0.0131794025991967,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.091399013897229,0,0,0.313130996743175,0,0.32069319924454,0,0,0,0,0.0540903640907979,0,0,0,0,0,0,0,0,0,0.0817839826639541,0,0,0,0,0,0.00822715351160565,0,0,0,0,0,0,0.0600251354825205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191843632356211
X601318.CH.EQUITY,0,0.0860142702827651,0,-1.38777878078145e-17,0,0,0,0,0.00711072975982909,0.0591621603127143,0,0,0,0,0,0,0,0.114063940667684,0.0256168041404635,0,0,0,0,0,0,0,0,0,0,0,0,0.0887726838482587,0,0.167777707191176,0.0316731291877221,0,0,0,0.109687908175426,0,0,0,0,0,0,0.219715183603998,0,0,0,0
X601288.CH.EQUITY,0.126914966823175,0.319663766567975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881924542800539,0,0,0,0.0620921843759046,0,0,0.023683398490304,0,0,0.0944925226601986,0,0,0,0,0,0,0,0,0,0,0.0697457901901468,0,0,0,0,0,0,0.125349980416908,0,0,0,-0.10003636588459
X5.HK.EQUITY,0,0,0,0,0,0.391601204742885,0,0.231412483106227,0,0,0,0,0,0,0.535613308305182,0,-0.364898245285472,-0.26672545260192,0,0,0.118776323694844,0,0,0,0.0976511776134191,0,0,0,0,0.158948263461036,0,-0.138994585616577,0,0.473920243142554,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.611429517572299,0,0,0,-0.0955934017523281,0
X601988.CH.EQUITY,0.110867836074852,0.116220640039604,0,0,0.0466575815756092,0,0,0,0.180140907813369,0,0,0.105936932605774,0.059736742409219,0,0,0,0,0.100857579731886,0,0,0,0,0.406269588878189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0136608128995126,0,0,0,0,-0.00215707149904322,0,0,0,0,0.0477073727737909,0,0,0,0,0,0,0.731060088695915,0,0,0,0.139067216048739,0.00315994353095007,0,0,0,0,0,0,0,0,0,-0.00173547053739587,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.183000876659519,0,0,-0.101406094990312,0,-3.46944695195361e-18,0.0904735225721984,0,0.0874795929518984,0,0,0,-0.118795941344618,0,0.270301537694769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325290765402102,-0.0220447054655285
X601628.CH.EQUITY,0,0,0.144564741893628,0.0728612381391468,0,-6.93889390390723e-18,0,0,0,0,0.0492289567335612,0,0,0,0,0,0.066629655953654,0.0941913946281753,0,0,0,0,0,0,0,0.0812962063336374,0,0,0,0,0,0,0,0.0349446781434849,0,0.230249788535278,0,0,0,0,0,0,0.13313102686927,0,-0.0404736413132831,0.0848464824466486,0,0,0,-0.00172973268634433
X601328.CH.EQUITY,0,0,0.0665022973498978,0,0.000896863911727013,0,0.0468435430427621,0.0057865625587761,0,0,0,0.116056076588053,0,0,0,0,0,0,0,0,0.0128722957711241,0.200602921763698,0,0,0,0,0,0,0,0,0,0.150602977646828,0,-1.73472347597681e-18,0,0,0,0,0.170692787880813,0.267135850890451,0,0,0,0,0,0,0,0,0,0
