,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.044113044755087,0.376795412437559,0,0,0,0,0,0,0,0,0,0,0.044606538470477,0,0,0,0,0,0,0.0365009136043761,0,0.0816450013288508,0,0,0,0,0,0.0683161976199114,0,0,0,0,0,0,0.091103545293549,0,0,0,0,0.0377670917099811,0,0,0.000552974594876708,0.0338103852851075,0,0,0,0
X601318.CH.EQUITY,0,0,0.00407871307224286,0.155031995599337,0,0,0,0,0.152474419897867,0,0,0,0.0392573611354024,0,0.0341267394211239,0,0,0,0,0.181551378565812,0,0,0,0,0,0,0,0,0.0744391454127311,0,0,0.117308570457583,0,0,0,0,0,0.0731461793666951,0,0,0,0,0,0,0,0,0,0,0.049342004066777,0,-0.0923472530840585
X601939.CH.EQUITY,0,0,0,0,0.117512932647649,0,-0.0601431997872426,0,0,0,0,0.118125996964087,0,0,0.00656903803224162,0,0,0,0.0605269452845906,0,0.0171357893832953,-0.0487866286331357,0.632169593183901,0.0052718452318482,0,0.135134998736969,0,-4.33680868994202e-19,0.0725079256489585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0273148542618922,0,0,0,0,0.242225971543588,0.0238540767460756,0,0,0,0,0.260350508608739,0,0,0.175347296228055,0,0,0,0,0,0,0.170746169383903,0,0.259334575928415,0,0,0,0,0.032984160234053,0,0,0,0,0,0,0,0,0,0.0908232285001121,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.181496565449886,0.0461954581562461,0.118163056352114,0,0,0.0337443218709933,0,0.334252389769764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.124717403111333,0,0,0,0,0,0,0,-0.0265155264903031,0,0,0,0,0,0,0,0,0,0,0,0.108564288676618,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171895465844988,0,0,0.0615674271310538,0,0,0.165948893140135,0,0,-0.130751139462088,0,0,0,0,0,0,0,0,0.604256376817593,0.0808968081020393,-0.0488347263422293,0,0,0,0,0,0,0.0933079037895029,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.193579734744807,0.0704700771308741,0,0,0,0,0,0,0.199995326644652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995179691505951,0,0,0,0,0,0.102389061345357,0,0,0,0,0,0,0.0857930996587507,0.0963888899614568,0,0.12552578794824,0.274588297795675,0.0865724974362746,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.202435571767985,0.700272610902805,0,0,0,0,0,0,0,0.029914696621572,0,0,0,0.0341268165294562,0.046075451937675,0,0,0.0645747800969361,0,0,0,0.0927327177377254,0,0,0,0,0,-0.127293411480874,0.0946053518783322,0.0265887091260527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0736288500299317,0,0,0,0,0.0437225048274993,0,0,-0.0919883763721557,0,0,0,0,0,0.170401573847457,0,0,0,0.093388551321152,0,0,0.181725810565834,0,0.0126362893802121,0,0,0,0,0,0,0,0,0.0127600175655695,3.46944695195361e-18,0.309417801136309,0,0,0,0.211957199135362,0,0,0,0,0.116523651744391,0,0
X601166.CH.EQUITY,0,0,0.0565751088182945,0.153823484518911,0,0,-0.00782981245582909,0,0,0,0,0.0621949779288692,0.102665215753612,0,0,0.0378619223481577,0,0,0,0,0,0,0,0,0.155691250049173,0,0,0.337538148691001,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19
