,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.269684656357388,0,0.260279658186113,0,0,0,0,-3.46944695195361e-18,0,0,0,0.267657454382052,0,0,0,0.031180049721458,0,0,0,0,-0.145932142358417,0,0,0,0,-0.0478074253783962,0,0,0,0,0,0,0,0,0,0,0,0,0.0693643639684972,0,0,0,0,0,0,0,0.0716698440849612,0,0,-0.0142016480041625
X601318.CH.EQUITY,0,0,-0.0765409430982826,0,0,0.0415651189208226,0,0,0.21258557151595,0,0,0,0.130113729193714,0,0,0,0,0.222393375621042,0,0,0,0,0,-0.0617846875384368,-0.00848631063602044,0,-0.0821640143477496,0,0,0,-0.167667001705847,0,0,0,0,0.252620859517132,0,0,0,0.196388112007694,-0.224396713953392,0,0.267342462947395,0,0,0.25116774291029,0,0,0,0,-0.0547185345698287
X601939.CH.EQUITY,0.61054181171546,0,0,0,0.0243290356275353,1.73472347597681e-18,0,0,0,0,0.137157548083863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350891157296214,0.00597760734761786,0,0,0,0,0.0434862945878425,0,0,0.259055479788115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.489631300032204,0,0,0,0,0.246857637601624,0,0,0,0,0,0,0,0,0,0.00314484670984841,0.0762008879175712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187041173316573,0,0,0,0,0,0,0,0,0,-0.0599542014162952
X5.HK.EQUITY,0.262899329330368,-0.0228578880403941,0,0.0306684630816944,0,0.0323991160435623,0,-0.252624693843636,0,0,0,0.245983745584272,0.00543924440889293,0,0,0,0,0,0,0,0.517345861075415,0.0571665606396753,0,0,0,0,0,0,0,0,0.126237024310853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122198944283523,-0.00829965956488196,0,0
X601988.CH.EQUITY,0.163381414675822,0.14472595060817,0.231011829338718,0,0,0,0,0,0.110514183862366,0,1.38777878078145e-17,0.0748647172408471,0,-0.125573118174995,0,0,0,0,0,0,0.0323076229820294,0,0,0,0,0,0,0,0,0,0,0,0,0.15032130855543,0,0,0.141594602949747,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.14282270168808,0,0,0.0566496215045637,0,0.122622078693598,0,0.35326700724479,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0210661206087481,0,0.0923542170675083,0,0,0.123856633488556,0,0,0,0.0663200942909286,-0.0489737846699111,0.0448911047807882,0,0,0,0,0,0,0,0,0,0.0235447602248498,0,0,0.00752355443107382
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0462559156271872,0,0,0,0,0,0.242723263229049,0,0,0,0.0929782857242488,0,0,0,0,0.330359430379705,0,0.180084798646111,-0.0411330390141377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.287932938195289,0.20875850737088,0,0,0,0,0,0.0995109147049389,0,0,0,0,0,0,0,0,0,0.00176807358568381,0,0,-0.200315365543433,0.106690945096735,0,0,0,0.0579840468457054,0,0,0,0,1.73472347597681e-18,0,0.0161221387665634,0,0.0962519706151115,0,-0.281620121236498,0,0,0,0,0.0516662806357052,0.191723017101296,0,0,0,0,0,0,0,0.0053474863328374
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35691460412616,0,0,0,0,0,0,0.502255698495985,0,0,0,0,0.111991356434343,0,0,0,0,0,0,0.241556387818383,0,0,0,0,-0.386208261301707,0.223374262020883,-0.123661809852604,0,0.236813552502284,0,0,0,-0.213569463240041,0,-0.0853907433848852,-0.256570145015051
