,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.136310827925028,0,0.0164793224866342,0,0,0,0,0,0,0.276095075022181,0.247245548611256,0,0,0,-0.0883512838688576,0,0,0,0,0,0,0.0200521452776775,0,0,0,0,0,0,0,0,0.0223501408801621,0,0,0.264905073294894,0,0,0,0.0410704276387127,0,0,0.0554670880101224,0,0,0,0.0202617374917768,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.32730551533622,0,0,0.314981833071558,0,0,0,0.0827528705533277,0,0,-0.0961223334765682,0,-0.0814703152489253,0,0.069708049640474,0,0,0,0,0,0,0,0,0.124643915748873,0,0,0,0,0,0,-0.296502187632676,0,0.082933429088384,0.0283884006525671,0.280667517656403,0,0,0,0.0636883821502629,0.00162654444741737,0,0
X601939.CH.EQUITY,0.488045921680748,0,0,0.0290620951710468,0,0.150469981227608,0,0,0,0,0,0,0,0.0589302805246884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366124398664545,-0.121540812247346,0,0,0.0668870343921445,0,0,-0.0603605073633002,0,0,-0.0127018021703565,0
X601288.CH.EQUITY,0.591306391890378,0,0.149907221087342,0,0.00020011905320416,0,0,0,0,0,0,0,0,0,0.00149199848556852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993695764943377,0.0173580764621841,0,0,0,0.0295352612037147,0.113704491616824,0,0,0,0.0850802959055073,0,0,0,0,0,0.119822395427662,0
X5.HK.EQUITY,0,-0.123903883260642,0.0368249407282453,0.214288058468323,0,0.0728935473508216,0,-0.105307756101115,0,0,-3.46944695195361e-18,0.199629279542407,0,0,0,0,0,0.598921916241075,0,0,0,0,0,0,0.192101366841355,0,-0.147999376175071,0,0,0,0,0,0,0.0389521142951949,0,0,0,0,0.0573628615524973,-8.67361737988404e-19,0,0,0,0,0,0.175477512517425,0,0,-0.112443970042955,-0.00569699657804706
X601988.CH.EQUITY,0.170185211210892,0,0.173946949488744,0.041034392240412,0,0,0,0,0.046516470618117,0.170257106632266,0.122276004482984,0,-0.267205102040537,0,0,0,0,0,0,0,0,0.233390696658017,0.0108293999748756,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0167967382348405,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0590276208910557,0,0,0,0,0,0.243840389289336,0,0.16750058746301,0,0,0,0,0,1.38777878078145e-17,0,4.33680868994202e-19,0.159402841376604,0,0,0,0,0.0039178206338651,0,0.12187947726152,0,0,0,0.0267362744081515,0,0,0,0.0221836692908588,0.0347476806085804,0,0,0,0,0,0.101288808415788,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.201739807882164,0,0,0.0264006728867097,0,-0.0934172953110257,0,-0.0813503224729342,0,0,0.334067024935243,0.286711000027666,0,0,0,0,0.111815601631123,0,0,0,0.0553102339266467,0,0,0,0,0,0,0,0,0,0,0,0,0.0668183324365273,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.119044361159614,0.35999481771103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0343459580877521,0.0970065892593603,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0703744631528731,0,0,0,0.0824400084373544,0,-0.189040049879998,0,0,0,0,0,0,0.23607631661572,0,0,-0.0937523192723,0.0788754595913464,0,0,0,0.14745464264792
X601166.CH.EQUITY,0.190983594092041,0,0,0,0,0.0129539766150833,0.433038961821972,0,0,0,0,0,0,0,0,0.413856540989584,0,0,0,0,0,0,0,0,0,0,0.0366875194539288,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0733205905783618,0,0,0,0.0155924737950105,0,0,0,0,0.0126334756745486
