,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.363145239207353,0,0,0.097137060524986,0,0.314050847752478,0,0,0.106697124044154,0,0,0,0,0,0.0904432400599761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152551461536895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.421364353833895,0,0,0.0415292692380031,0,0,0,-0.11395679383047,0,0.0468781539271744,0,0,0.431408467423714,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.048753548787096,0,0,0,0,0,0,0,0,0.0481091920220324,0,0,0,0,0,0,0,0,0,0,0.0270843180857866,0,0,0.0392617891858046,0
X601318.CH.EQUITY,0,0,0,0.0482030706682916,0,0,0,0,0,0,0,0.366296129604997,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0150537296777936,0,0,0,3.30348004132976e-05,0,0,0,0,0,0,0,0,0,0,0,0.0791230575275648,0,0.0607991820564004,0.170572387826035,0,0,0,0,0,0.152529328036066,0,0,0,0,0
X601288.CH.EQUITY,0.399143197213278,0,0,0,0.347076174151363,0,0,0,0,-0.00299611936424712,0.103247334076784,0,0,0,0,0.0534443026847371,0,0.0699139133034739,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.00750220390779676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361188786233993
X601988.CH.EQUITY,0,0,0,0.277443597167786,0,0,0,0,0,0.00162863831841695,-1.0842021724855e-19,0,0,0,0,0,0,0.136257343241654,0,0.135305936225134,0,0,0,0,0,0,0,0,0.00150311274049918,0,0.0662176290511805,0,0.0119255970610069,0,0,0,0.046829691628731,0,0,0,0,0,0,0,0.165842006180978,0,0.149484170057599,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198837420212117,0,0.284242921464798,0,0,0,0,0,0.673644527288392,0,0.0119923960354593,0,0.524187235101003,0,-0.5699068360925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136784951063106,0,0,0,0,0,0,0,-0.106143054704126,0
X600036.CH.EQUITY,0,0,0.0284392086503994,0,0,0.0493971890388913,0,0,0,0,0,0.333139097270635,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0250573895682046,0,0,0.0897878362019839,0,0.00155906909198993,0,0,0,0,0.132536331357317,0,0,0,0,0,0,0.0718292843377208,0,0,0,0,0,0,0,0,0.275816144149298,0
X1299.HK.EQUITY,0,0,0,0,0,0.0251713719005335,0.0607530967420907,0,1.73472347597681e-18,0,0,1.38777878078145e-17,0,0,0,0.28035342147347,0,0,0,0,0,0.149280624188785,0,0.0570064513735177,0,0,0,0.136485978494449,0,0,0,0,0,0,0,0,0.20439247386456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0629096748226237,0,0,0,0,0,0,0,0,0,0,0.0774004749358883,-4.33680868994202e-19,0,0,0,0,0.221846672478809,0,0,0,-3.46944695195361e-18,0.172857677043804,0,0,0,0,0,0,0,0.0346435055742232,0,0,0,0.0598006470625506,0,0,0,0,0.181092140415766,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163950923571434,-0.138990657046859,0,0,0,0,0,0,0.0977087938328012,0,0,0,0,0,0,0.27117897033811,0,0,0,0,0,0,0,0,0.120389672920001,0.0771483745799116,-0.489979875002164,0,0,0,0,1.09190682833175,0,0,0,-0.18229440940274
