,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X388.HK.EQUITY,0,0,0,0,-0.238314095127409,-0.0237328518544129,0.121984293906017,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.543582832958322,0.060563089524696,0,0,0,0,0,0,0,0,0,-0.136519544760808,0,0,0,0,0,0.124960109522604,0,0,0,0.117568579663847,0,-0.0904339928282318,0.114553157731131,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.169114957606972,0,0,0,0.162650063920223,-0.146960520272005,0.2596518459691,0,0,0.134421613858971,0,0.0949377010077054,0,0.364661713405168,0,0,0,0,0.243155287050688,0,0,0,0,0,0,0,0,-0.492402825870749,0,0,0,0,0,0,0,0,0,-0.00907697547396754,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.116991190109206,0,0.0119656783190655,0.32261206950306,0,0,0,0,0.389407097673767,0.0740991993084092,0,0,0,0,0,0.231359584564631,0,0,0,0,0,0.130788816809787,0,0,0,0.17447159814212,0,0,0,-0.162906100996364,-0.168631813336406,-0.234321175535392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116853153215913,0,-0.0202739291287573
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0240541600152237,0,0,0,0,0,0,0,0.411514974143957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.0202012048123259,0.200702385051533,0.0906879922084191,0.00872857112066123,0,0,0,0.204526861402107,0,0,0,0.0564623711173003,0.0859031476156415,0,0,0,0
X601601.CH.EQUITY,0,0.120216692302145,0,0,0,0,0,0,0,0,-0.082272862146818,0,0.268568358673391,0,0,0,0,0.123663108100938,0,0.201046622407374,0,0,0,0,0.136383989216733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568308794276959,0,0,0,0.0575633508126733,0,0,0,0,0,-0.0392951550461325
X000002.CH.EQUITY,0,-0.114493653007314,0,0,0.1470289720829,0,0,0,0,0,-0.00321730728140712,0.110518177604287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191190547294765,0,0.479370143653253,0,0,-0.00356061467476171,0.1085042485104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135023691654087
X601328.CH.EQUITY,0,0,0,0.0736206124047935,0,0,0,0.0882105991675442,0,4.33680868994202e-19,0,0.0623182726251555,0,0,0.116358532113642,0,0,0.289962433577355,0,0,0,0,0,0.221281918090479,0,0,0,0,0,0.0122168148414456,0,0,0,0,0,0,0.0575129246000631,0,0,0,0,0,0.0388033987113416,0,0,0,0,0.0423292779989401,0,0,0
X600000.CH.EQUITY,0,0.0604206651669127,0,0,0.114733459437294,0,0,0,0,0.0167348582188999,0,0,0,0,0.00698241971311628,0,0.509977919462083,0,0,0,0,0,0,0,0.019214952694641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658287112386347,0,0,0,0,0,0.018490055329499,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.0887970634955199,0,0,0,-0.0447854876159361,0,0,0,-0.0130884960757517,0,0,0.75570751487515,-0.0185459453403433,0,-0.278598765190396,0,0,0,0,0,-0.0251146201471295,0,0,0.289979984333627,0,0,0,0,0,0,0,0,0,0,0,-0.145412968685596,0.092064987747987,0,0,0,0,0,0,0,0,-0.0333378765993684,0,0,0.0095283753803287
X601319.CH.EQUITY,0,0.0365830888194247,0.128328391885702,0,0.0510674978657585,0,0,0,0,0,0,0,0.157883625778166,0,0,0.0320207211719867,0,0,0,0,-0.00369427387732494,0,0,0,0,0,0,0,0,0,0,0,0.0675960265216129,0,0.288541786113302,0,0,0,0,0,0,0.0379315247324426,-0.087891809993296,0,0.333452157734071,0,0.12619840889669,0,0,0,0
