,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,-0.127830692957652,0,0,0,0,0,0,0,0.153377891420471,-0.0786334794465224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0745310248371019,0.155395676645782,0,0,0,-0.213870721995401,0,0,0,0,0.569917862022096,-0.0623445567189394,0.0766449252107229,0,0,0,0,0,0,-0.0329133467243392,0.104176463733208
X601318.CH.EQUITY,0,0,0,0,0,0,0.0472563901664297,0,0.169108227858024,0.0261529834409013,0,0.0473155371451748,0,0.237981582599547,0,0,0,0,0,0,0,0,0,0.116686454885672,0,-3.46944695195361e-18,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.128787648346588,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410446109899711,-0.0866990159611153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302909969562782,0,0,0,0,0,0,0,0,0,0,0,0.0863926781107382,0,0,3.46944695195361e-18,0,-0.238921822232379,-0.143358550868769,0,0,0.532477317779826,0,0,0,-0.0275907053397395,0.131105418795146,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0316687985300302,0,-0.117289123563352,0.13107062540281,0,0.557284260821191,0,0,0,0.0877541876424996,0,-0.206702272237799,0,0,0,-0.064473731201504,0,0,0,0,0,0,0,0,0,-0.791411250263519,0,0,0,0,0,0,0,0,0,0,0.388159711963958,0,0,0,0,0.212166437392279,0,0,0
X5.HK.EQUITY,-0.215831029592522,-0.154315967787141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28702651406816,0,0,0,0.237523426155608,0.0749302531413723,0,0,0,0.435669558672109,0,0.00627320859875057,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109416133361728,0,0.232721778171433,0,0,0,-0.0300915111077933,0,-0.0274539415395521,0.0533635622032591
X601988.CH.EQUITY,0.137169207234668,0,0.0151023243336197,0.399147537068493,1.73472347597681e-18,0,0.0352460224851677,0,0,0,0.177728701134786,0,0,0,0,0,0.196930520498785,0.148945234579537,0,0,0,0.0352957103961861,0,0,0,0,0,0,0,0,0,0,0,0,-0.0892607984528271,0,0,0,0.123094446752272,0,0,0,0,0.0907902579875147,0.162579680765266,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0447934745799938,0,0,0,0.592282647961905,0,0,0,0,0.104990190921557,0,0,0.243766284672599,0,-0.106343652337861,0,0,0,0,0.055510314993458,0,0,0.0144879928403152,0,0.337711195772463,0,-0.183442973508808,0,0,0,0,0,0,0,0.0121622773828342,0,0,0,0,0,0,-0.216758610831305
X1299.HK.EQUITY,0,0.0923829377632608,0.0139389663321241,0,0,0,0,0,0.0248155837194306,0,0,0,0,0.144005145437492,0.222464174940523,0,0,0,0,0,0,0,0,0,0,0.0237457658551403,-0.00253668763605528,0,0,0.0207219564887368,0,0.304960910892693,0,0,0,0,0,0,0,-0.104674295908692,0,0,0,0,0,0,0.0777949998114408,0,0,0
X601628.CH.EQUITY,0,0.03233784769647,0.0060640491708841,0.0454394694940194,0,0,0,0,0,0,0.0157636918517601,0,0,0.326612153491272,0,0,0,0,0,0,0,0,0.0763824935113866,0.00738457718642384,0,0,0,0,0,0,0,0,-0.0460568906411589,0,0,0,0.0556454136666713,0.230340966606276,0,0,0,0,0,0,0,0.131479880095109,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.608271582965214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279066834202119,0,0,0,0,0.052289799060693,0,0,0,0,0,0,0,-0.0361380606337167,0,0,0,0,0,-0.0559098218375797,0,0,0,0,0.0428350617368697,0,0,0,0,0
