,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.219484363329867,0,0.308300881969951,0,0,0,-0.0212663808601343,0.244287218113749,0,0.117789976100346,0.0304552627623377,0,0,0,0,0,0,0,0,0,0,-0.132222802832707,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102724724671609,0.0106066509259178,0,0
X601939.CH.EQUITY,0.354079795540353,0,0,0.286132263039178,0,0,-0.0952278451370675,0,0,0,0.0027884488647989,0,0.140306620062993,-0.0648209812826671,0,0,0,0,0,0,0,0,0,0,0,0.0316903177444333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201855202312644,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0167519824420949,0,0,0,0,0,0,0,0.0129363331689485,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386399595933052,0,0,0,0,0,0,0,0.10041342991591,0,0,0,0,0.248020962683729,0,0,0
X601288.CH.EQUITY,0.449998736175773,8.67361737988404e-19,0,0,0.209355223128043,0,0,0,0,0,0,0,0.0159624594266998,0,0,0,0,0,0,0,0,0.170177281148251,0,0,0,0,0,0,0.0199303938339889,0,0,0,0.0264445915967689,0,0,0,0,0,0,0,0,0,0.0643450427759265,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.105375073543084,0,0.356159419927534,0,0,0,0,0,0.283063009949621,0,0,0,0,0,0,0.254477624836623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100993075669691,0,0,0,0,0,0,0,0,0,-0.108231168722726
X600036.CH.EQUITY,0,0,0.0404005679184535,0,0,0,-8.67361737988404e-19,0,0,0,0,0.38203403837677,0,0,0.00562181537761222,0,0,0,0,0,0,0,0.0518341576556834,0.124085897490815,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0825536646844928,0,0,0,0,0,0,0.0544309857725077,-1.73472347597681e-18,0,0,0,0,0,0,0.27338898669259,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0882476130030848,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.142081029221144,0,0,0,0,0,0,0,0,0,0,0,0.0135808387789994,0.17694610240689,0,0,0.0313437511778978,0,0,0,0.188424694768279,0,0,0,0,0,0,0,0.0234699839289059,0,0.2252705928422,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,-0.0371478135268513,0.359296238359562,0,0,0,-0.340599866319141,0,0,0,0.596945234889778,0,-0.823511678139564,0,0.814623965569404,0,0,0,0,0,0,0,0,0,0,0,0,0.243504322403771,0,0,0,0,0,0,0,0,0.127184408279278,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.328381695793702,-6.93889390390723e-18,0,0,0,0,0,0.215838266577213,0,0,0,0,0,0,0.177084892541669,0,0,0.0468323447996083,0,0,0,0,0,0,0,0.0462474465877819,0,0,0.0178495740005548,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0
X601658.CH.Equity,0,0,0,0.165439875542306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138374197039335,0,0,0,0.141139586032328,0,0,0,0.294852469937524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0845840542318223,0,0,0.32360278965133,0,0,0,0,0,0,0,0,0.19355529864372,0,0,0,0,0,0,0,0.0200854283827318,0,0,0,0,0,0,0,0,0.0495290137511757,0,0,0,0,0.0411487860568746,0.0630504707218147,0.0514185156759116,0,0.140555309450529,0,0,0,0.0972551215083057,0,0,0,0,0,0,0,0
