Date,BE,SP,IT,AT,GE,FR,PO,IR,FI,NE,GR
2018-01-02,0.646,1.604,2.125,0.61,0.508,0.676,2.131,0.876,0.63,0.554,4.189
2018-01-03,0.63,1.579,2.096,0.595,0.495,0.662,2.116,0.855,0.611,0.534,4.111
2018-01-04,0.63,1.536,2.054,0.599,0.499,0.664,2.038,0.868,0.613,0.538,3.949
2018-01-05,0.628,1.502,2.03,0.601,0.494,0.657,2.044,0.862,0.613,0.531,3.839
2018-01-08,0.622,1.475,2.017,0.59,0.483,0.649,2.007,0.85,0.604,0.523,3.767
2018-01-09,0.658,1.509,2.073,0.626,0.521,0.678,2,0.875,0.637,0.558,3.738
2018-01-10,0.671,1.557,2.085,0.644,0.538,0.689,2.001,0.872,0.652,0.573,3.787
2018-01-11,0.725,1.56,2.097,0.705,0.595,0.749,1.973,0.923,0.708,0.63,3.911
2018-01-12,0.718,1.524,2.029,0.695,0.587,0.736,1.935,0.913,0.701,0.625,3.913
2018-01-15,0.712,1.543,2.04,0.691,0.586,0.737,1.934,0.906,0.701,0.626,3.914
2018-01-16,0.685,1.508,2.007,0.665,0.56,0.709,1.928,0.87,0.674,0.598,3.781
2018-01-17,0.698,1.498,2.026,0.664,0.55,0.705,1.927,0.874,0.668,0.593,3.742
2018-01-18,0.722,1.495,2.027,0.691,0.575,0.727,1.932,0.893,0.691,0.619,3.799
2018-01-19,0.717,1.446,2.005,0.702,0.569,0.722,1.898,0.891,0.686,0.614,3.822
2018-01-22,0.72,1.41,1.972,0.701,0.565,0.72,1.864,0.888,0.686,0.614,3.833
2018-01-23,0.723,1.388,1.941,0.715,0.565,0.725,1.831,0.894,0.691,0.618,3.749
2018-01-24,0.744,1.393,1.959,0.744,0.589,0.746,1.846,0.924,0.721,0.644,3.723
2018-01-25,0.765,1.443,2.005,0.767,0.615,0.776,1.85,0.95,0.745,0.667,3.719
2018-01-26,0.785,1.436,2.036,0.782,0.629,0.796,1.874,0.972,0.76,0.682,3.68
2018-01-29,0.844,1.451,2.079,0.844,0.695,0.854,1.895,1.03,0.822,0.744,3.709
2018-01-30,0.835,1.432,2.082,0.837,0.687,0.847,1.897,1.025,0.815,0.739,3.726
2018-01-31,0.846,1.441,2.073,0.842,0.691,0.852,1.899,1.043,0.815,0.738,3.795
2018-02-01,0.861,1.417,2.018,0.853,0.706,0.86,1.891,1.05,0.824,0.747,3.741
2018-02-02,0.895,1.47,2.086,0.898,0.76,0.898,1.958,1.076,0.87,0.797,3.738
2018-02-05,0.889,1.479,2.086,0.88,0.747,0.89,2.004,1.062,0.863,0.792,3.808
2018-02-06,0.844,1.443,2.045,0.83,0.689,0.838,2.02,1.01,0.818,0.736,3.815
2018-02-07,0.87,1.432,2.011,0.875,0.741,0.87,1.974,1.017,0.852,0.782,3.743
2018-02-08,0.9,1.471,2.068,0.896,0.774,0.899,2.015,1.042,0.871,0.804,3.875
2018-02-09,0.885,1.487,2.103,0.877,0.755,0.881,2.07,1.035,0.853,0.79,4.193
2018-02-12,0.896,1.49,2.094,0.884,0.762,0.888,2.058,1.046,0.863,0.796,4.336
2018-02-13,0.905,1.534,2.14,0.887,0.757,0.894,2.108,1.049,0.867,0.796,4.466
2018-02-14,0.907,1.531,2.125,0.898,0.767,0.898,2.061,1.059,0.876,0.805,4.531
2018-02-15,0.914,1.522,2.126,0.913,0.777,0.912,2.043,1.07,0.885,0.815,4.432
2018-02-16,0.876,1.485,2.065,0.868,0.729,0.872,1.996,1.035,0.841,0.775,4.321
2018-02-19,0.906,1.523,2.116,0.894,0.747,0.897,2.013,1.064,0.866,0.801,4.31
2018-02-20,0.912,1.548,2.127,0.893,0.742,0.902,2.018,1.077,0.862,0.799,4.43
2018-02-21,0.91,1.53,2.119,0.891,0.734,0.897,1.977,1.078,0.86,0.794,4.465
2018-02-22,0.892,1.538,2.145,0.878,0.718,0.885,2.006,1.074,0.851,0.777,4.45
2018-02-23,0.844,1.53,2.136,0.831,0.67,0.842,2.013,1.041,0.804,0.729,4.459
2018-02-26,0.837,1.501,2.096,0.823,0.661,0.833,1.994,1.03,0.798,0.718,4.456
2018-02-27,0.86,1.504,2.08,0.845,0.685,0.854,1.995,1.041,0.819,0.738,4.426
