,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0840979490247747,0,0,0,0,0,-0.0780644010901982,0,0,0,0,0,0,0,0,0,0,-0.0833007481974297,0,0.502585976701387,0.0506559517513739,0.5280772775438,0,0,-0.163870551561975,0,0.190630441439616,0,-0.133927602367931,0,0,-0.142692790477021,0,0,0,0,0,0,0,0,0.0235386876724967,0,0,0,0,0,0,0,0,-0.0413018343452253
X601318.CH.EQUITY,0,0,0,0,0,0.270201848574182,0,0,0,-0.0847808987118747,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193725814520979,0,0.00979953991197512,0.0390629363588117,0,0,0,0.227438750949757,0,0.158723418861193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.833406042129645,0,0,0,0,0,0.0132643335615505,0.000563164946608396,0,-0.0492535652243526,0,0,0.0457345696034932,0,0.14073296756226,1.73472347597681e-18,0,0,0.0089271189364775,0,0,0,0,0,0,0.0239562478568011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671662824886163,0,0.00895070706161638,0,0,0,0
X601288.CH.EQUITY,0,0,0.938806083182922,0,-0.0695174971733662,0,0,0,0,0,0,0,0,0,0,0,0.0235478779184712,0,0.0518572968830484,0,0.0540825801010632,0,0,-0.124365761529071,0,0.0639917781724039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0508654565854835,0,0,0,0,0,-0.0197061724817769,0,0,0.0583884892747631,0,0,-0.0392720351459572
X601628.CH.EQUITY,0.0116413509134187,0,0,-3.46944695195361e-18,0,0,0,0,0,0.300609372210194,0,0.213511606827669,0,0,0,0,0,0,0,0.0406161278708854,0,0,0,0,0,-0.0120984305528296,0,0,0,0,0,0,0,0,0,0,0,0.504353353997211,0,0,0,0,0,0,0,0,0.208980872154744,0,0,0,0,0.128574324229801,0
X600036.CH.EQUITY,0,0,0.080407708207897,0.250552062470564,0,0,0,0,0.0629530850822821,-0.00588304756072345,0,0,0,0,0,0.151443565097952,0,0.119185203424703,0,0.00871924067461456,0,0,0,0,0,0,0,0,0.153823053808368,0.137866210966417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601636295568664,0,-0.0238343837417457,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0.00284268921874311,-0.136551566252612,0.0796626172447835,0,0.0512743839414243,0,0,0,-0.0218323048422778,0,0,0,0,-0.000945437027314782,0,0,0,-0.0439041844602877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108659859165407,0,0,0,0,0,0,0,1.0518351742398,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.100681795288372,0.161064658294212,0,0,0.0663306501747582,0.0765391364622679,0,0,0.0654184942756767,0,0,0,0,0,-0.0994673695201523,0,0,0,0,0.0655379791090257,-0.121608554710068,0,0,0,0,0,0.268760866134663,0.238543927583793,0,0,0,0,0,0,0,0,0,0.125093495764938,0,0.0215746432908398,-0.0926377030922,0,0.108650108179687,0,0,0,-0.092437406716031,0.0443173847515816,-0.0990915374876535
X5.HK.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288214347700715,0,0,0,0,0,0,0.191738898013456,0.531874286964444,-0.032578510019244,0,0,0,0,0,0,0,-0.0044842753367243,0,0,0.0491032991393614,0,-0.0841152968767649,0,0,0.0756475996701614,0.122079009201293,0,-0.108017204325646,0,0,3.46944695195361e-18,0,0,0
X388.HK.EQUITY,0,0,0,0,0.312247550426545,0,0,0,0.104816895255908,0,0,0,0,0,0,0,0.0497966136697141,-0.227557105214649,0,0,0,0,0,0.412267364913711,0,0,0,0.118870719914161,0,0,0,0,0,0,0,0,0,0,0,0.0364699893057162,0,0,0,-0.28281611707223,0,0.101404132952176,0.211361080031921,0,0,-0.191135637320864,0,-1.73472347597681e-18,0
