,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.175975967513823,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782434328203616,0,0.205056077538678,0,0,0.049289117019152,-0.123571647391162,0,0,0,0,0,0.282458549730306,-0.162619001834492,0,0,0,0,0,0,0,0,0,0,-0.125342722287236,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.075880514684509,0,0,0,0,0.0388726629487713,0,0,0,0,0,0,0,0,0.439744273027493,0,0,0,0,0,0,0,0,0.103385280935329,0,0,0,0,0,0,0,0,0.198001178707353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13834543003554,0
X601939.CH.EQUITY,0,0,0,0.837716747477141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00977612041054741,0,0,0,0,0.0105630101696205,0.0761756838582837,0,0,0,0,0.0912113099717208,0,-0.0189779588045638,0,0,0,0,0,0,0.0268491601995801,0,0,0,0.0610998317173916,0,-0.0578944424610529,0,0,0,0,0,0,0,0,-0.0591924716469292
X601288.CH.EQUITY,0,0,0.896357249024817,0,0,0,-0.0606271120308112,0,0,0,0,0,0,0,0.0257683464494245,0,0,0.131014327526112,0,0,0,0,0,0,0,0.00828405250229728,-0.100445932853208,0,0,0,0.0148920755602056,0.00909377656590164,0,0,0,0,0,0,-0.106197182353338,0,0,0,0,0,0,-0.0252179286682644,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.152509409590114,0,0,0,0,0,0,1.12302812027369,0,0,0,0,0,-0.10532550403085,-0.0604264963558722,0,0,0.0762904767762591,0,0,0,0,0,0,0,0.00774262562123476,0,-0.213081316939125,0,0,-0.149568174823823,0,0,0,0,0,0,0.0449690037393514,0.0914979563361666,0,0,0,0,0.0217935135703234,0,0.225927715713928,0
X600036.CH.EQUITY,0,0,0.42098809659701,0,0,0,0,0.00135806846334899,0.0981397900978351,0,0,0,0.00519787946486577,0,0,0,0,0,0,0.00960253132589971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371887228691373,0,0,0,0,0,0,0,-0.00389447046460706,0,0,0.0435200789201364,0,0.116629350312803,0,0,0,0,0,0.0630903972495687
X601628.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0,0,0.0603458014778022,0,-0.0663643688429928,0.012845239128808,0.788174003667437,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.1491945506309,0,0,0,0,0,0,0,-0.107993077369364,0,0,0,-0.0555493513820044,0,0,0.12905495635435,-0.0224412712732108,0,0,0.115486031460334,0,0,0,0,0,0,0,0,0,0.123306130887272,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0446561001507513,0,0,0,0,0,0,0,0,0,0,0,0.214907577449766,0.0695235665850605,0,-0.138737247241064,0,0,0,0,0,0.113075446156117,0.187421516792433,0,0,0,0,0,-1.38777878078145e-17,0.122965689915032,0,0,0,0,0,0,0,0,0.403909264312899,0,0,0,-0.0546782472659563,0.0870510707682327,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.258896871429434,0,0,0,0,0,0,0,0,0.372521717332636,-0.0566703192040424,0,0,0,0,0,0,0,0.514387650225079,0,0,0.020686453058953,0.27428396175545,0.0404643917562104,0,0,0,0,0,-0.0385290025434078,0,0,0,0,0,0,0,0.144948826126718,0.0305923604073612,0,0,0,0,0,0,0,0.151600547831972
X601658.CH.Equity,0,0,0,0.23206165230322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225416773018252,0.0572944484971044,0,-0.113660602985982,0,0,0,0,0,-0.131886799103896,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.387823480647151,0,0,0.0642847369326084,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.011841588501064,0,0,0,0,0.350371348927544,0,0,-0.231085795826086,0,0,0.00460760240023207,0,0,0,0,0,-0.126743526864095,0,0,0.0985007181114985,0,0,0,0,0,0.282149935329304,0,0,0.152669439148131,0,0,0,0,0,0,0,0.167063381169981,0,0,0,0,0,-0.150674295160697,0,0.122008730835879,0,0,0,0,0.0757124939992486,0
