,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.134274845332787,0,0.111009920754133,0,0.0703122696006673,0,0,0.335505085987101,0.0501857488436632,0,0,0,0,0,0,0,0,0,0.123149587716368,0,-0.0723876684120427,0,0,0,0,0,0,0,0,0.196582474563077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.399357703896801,0,0,0,0.13675030083254,0,-0.123954768488992,0,0,0.04843434104513,0,0,0.393626564203724,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509895457948127,-0.00327818700160391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218253545609063,0,0,0,0,3.46944695195361e-18,0,0,0.0817039036385986,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.235072127083548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200776981335754,0,0,0,0,0,0.153601411919959,0,0,0.0799683024346344,0,0,0.175380426918362,0.18552591483332,0,0,0,0,0,0
X601288.CH.EQUITY,0.384284421251239,0.0323160968801527,0,0,0.357936159900738,0,0,-0.018477384723394,0,0,0.0865603654427438,0,0,0,0,0.0833248629835005,0,0,0,0.0138638023160703,0,0,0,0,0,0,0,0,0,0,0.0248081452219354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366835191912009
X601988.CH.EQUITY,0,0.00247660126461327,0,0.365284762323643,0,0,0,0.028337170058082,0,0,0.232114561921884,0.0800063179275587,0,0.112008672302254,0,0,0,0,0,0.16975355414603,0,0,0,0,0,0,0.0338662563358809,-0.0384223862318987,0,0,0,0,0.0290604197365017,0,0,-0.031571267796254,0,0,0,0,0.0434348588548903,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0395474082878935,0,0,0,0.0227313467163249,0,0,0,0,0.42723831117412,0,0,0,0,0,0,0,0,0,0.0210276903810257,0,0,0,0,0.116207663366464,0,0,0,0,0,0,0,0,0,0.0571355440116682,0,0,0,0.0479176984869497,0,0,0,0,0,0,0,0,0.248278649042403,0,0,0
X1299.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0.0214149320562667,0,0,0,0,0,0,0,0,0.0256106811086807,0.234727706188836,0,0.159699447217478,0,0,0,0.132305856914519,0,0,0,0.170663892102864,0,0,0.0914313907847958,0,0,0,0,0,0,0,0,0,0,0,0.0804480419125349,0,0,0,0,0,0,0,0.196536266871696,0,0,0,0
X5.HK.EQUITY,0,-0.161993430348154,0,-0.108770911457143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289953455262512,0,1.24040900932594,0,-0.801466207734967,0,0,0,0.50268239164374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387029280482056,0,0,0,0,0,0,0,0,-0.107704639375864,0,0
X601628.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,-0.0259877907446626,0,0,0,0.351685541796408,0,0,0,0,0,0,0,0,0.113133383001692,0,0,0,0.156132952715351,0,0,0,0.0797969741479939,0,0,0,0,0,0,0.01047475316256,0,0,-0.0521658587062935,0,0,0,0.14681100817944,0,0,0,0,0,0,0.0231872197806698,-0.0643201487324093,0,0
X601658.CH.Equity,0,0,0,0.354101164344122,0,0,0,0.0840490893903059,0,0,0,0,0,0,0,-0.200798018778902,0,0,0,0,0,0,0,0,0,0,0.0278172615103709,0,0.859507700040135,0,0,0,0,0,0,0,0,0,0,0,0,-0.295703521368724,0,0,0,0,0.136737404862448,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.321096770459367,0,0,0,0,0,-0.0433078379859105,0,0,0.366117636504312,0.0502822175180043,0,0,0,0,0.161630397925156,0,0,0,0,0,0,0,0,0,0,0,0.0292851978944423,0,0,0,0,0.0206389959853652,0,0.073405426034788,0,0,0,0.0530511420085926,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00381682461724203,0,0.0640442706702122,0,0.161679869129062,0,0,0,0,0,0,0.0708545142833223,0,0,0,-0.0116081539684702,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.318578682177785,0,0,0,0,0,0,0,0.07327524734786,0,0,0,0,0,0,0.240674314185251,0.00367444718822835,0,0,0.094476380781068,-0.000675749149402886,0,0
X600000.CH.EQUITY,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.330027958126301,0,0,0,0,0,0,0,0.198741530920716,0,0,0,0,0,0.172706556803928,0,0,0,0,0,0.0421968023565948,0,0.00618335786371881,0,0,0,0,0,0,0.12412898784977,0,0,0,0,0.120722980001667,0,0,0,0,0,0,0,0
