,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.00614963765865104,0.483298391024824,0.080329130522384,0,0,0.103016201239487,0,0,0,0,0,0.188569236314975,0,-0.0567775669713576,0,0.0927057880935392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133832983952333,0,0,0,0,0,0,0,0,0,0,0.0158604919621989,-0.0109607565567076,0,0,0,0,0,0,0,0.0841950876657241,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0346433515434479,0.0945445840210649,0.277248370637709,0,0,0,0,0,0,0.0579182988992768,0.343648635499048,0.0896270218671563,0,0,0.0649152263144058,0,0,0,0,0.018273906169947,0,0,0,-0.0415729025961222,0,0,0,0.00118415628160615,0,0,0,0,0,0.0623225822696578,0,0,0.00108603778837392,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.108546855732433,0,0,0.549149920184475,0,0.0559257831484758,0,0,0,0.0489942090567903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141920202918974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0
X601288.CH.EQUITY,0,0,0.203914650283631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185915504401412,0,0,0.175093585431167,0,-0.00876892045729163,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0112376264458682,0.234155381969616,0,0,0,0,0,0,0,0,0,-0.0170347094148564
X5.HK.EQUITY,0,0,0.0811568914185385,0,0,0.23275277513382,0,0.169415591462924,0,0,0,0.311244559072191,0,0,0,0,0,0.112751284055939,0.00318418528444226,6.93889390390723e-18,-0.22110132387732,0,0,0,0,0.274049002461207,0,0,-0.122192308179746,0,0.0209077333353085,-0.0610616525330092,0,0,0.142708852321574,0,0,0,0,0,0,0,0,0,0,0,0.119723926655847,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.247702868088978,0,0,0.094280826946041,0.0224191220934704,0.228662383126087,0,0,0.0456886045905189,0,0,0,0,0,0.0981487601603186,0,0,0,0,0,0.212396246499168,0.0622644801187701,0,0,0,-0.0851238172487688,0,0,0,0,0,0,0,0,-0.0756462420456138,0,0,0,0.202762333173137,0,0,0,-0.0161041707582323,0,0,-0.057854485221811,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.00622947882497065,0,0,0,0,0,0,0,0,-0.0447403788353147,0,0,0,0,0,0,0.732564355681834,-0.0175144698863657,0,0.0694807597876325,0,0,0.102019555183628,0,0,0,0.0166767228648256,0,0,0,0,0,0,0.105284163974008,0,0.0657440983942339,0,0,0,-0.0147005032890261,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.232840558766702,0,0,0,0,0,0,0,0.0485971412755475,0,0,0,0,0,0.0718983460441707,0,0,0,0,0,0,0.0259042498397739,0.0286533539036911,0,0.110414903312302,0,0,0.240955380001794,0,0,0.17723940308527,0,0,0,0,0,0,0,0,-0.0365856854184084,0,0.0812138328117052,0,0,0,0,0,0.0945436628072412
X601628.CH.EQUITY,0,0.156185063513296,0,0.0394612177284657,0,0,0,0,0,0,0,0,0,0,0,0,0.0672580476261659,0,0,0,0,0,0,0,0.146672328199558,0,0,0,0,0,0,0,0,0,0,0,0,0.377294316328517,0,0,0.126307405846673,0.0634492795539157,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.232236574897486,0,0.0704104844021804,0,0,0,3.46944695195361e-18,0,0,0,0,0.340335787016094,0,0,0,0,0,0,0.00746726032800314,0,0,0,0.346938652211173,0,0,0,0,0,0,0,-0.0234217805251381,0,0,0.0571285821749947,0,0,0,0,0,0,0,0.0481904086334476,0,0,0,-0.0338720389020887,0.103133762441657,0,0,-0.0409692123024222,0,0
X601166.CH.EQUITY,0.119456654200062,0,0.219330263695704,0,0,0,0.149073765274953,0,0,0,0,0.270170084262714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-6.93889390390723e-18,0,0.144055658604488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.258736460527105,0,0,0,0.272409254662146,0,0.103694687098974,0,0,0,0,0.129944888887545,0,0.0800968649679295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174438932456963,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0.182634989411818,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.042834322901691,0,0,0,0,0,0.21200194448977,0,0,0,0.479359015818842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19030691026933,0.313743480853534,0,0,0,0,0,0.0935508639794825
X601319.CH.EQUITY,0,5.42101086242752e-20,0,0,0,0,0,-0.424486173557342,0,0,0,0.246411538495836,0,0,0,0,0,0,0,0.0604765249035874,0,0,0,0.255960034409643,0,0,0.279737001399122,0,0,0,0,0,0.33326710210069,0,0.065390517444448,0,0.194275441473829,0,0,0,0,-0.27087106408354,0,0,0,0,0,0,0,0,0.219199768207024,-0.00692504448599167
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.15042730193669,-0.0293637317996868,0,0,-0.275759346838678,0,0,0,0,0,0,0,0,0,0.127236694875585,0,0,0.268625500506598,0.337445259495135,0,0,0.100199773724186,0.259790012758157,0,0,0,0,0,0,0,0,0,0,0.255284743805614,-0.2316092314008,0,0,0,-0.0721350925333131,0
