,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0.122865792316693,0.120738060172694,0,0,0.0115386760040864,0.129367031489789,0,0,0,0,0,0,0,0.0194722965003708,0,0,0.0302310200592712,0,0.197533509804967,0,0,0,0,0,0,0,0.0485000755851399,0,0.0419321168955689,0,0,0,0,0,0,0,0,0,0.156269939378951,0,0,-2.16840434497101e-19,0,0.0270220739483106,0,0,0
X002142.CH.EQUITY,0,0,0.0206512567192488,0,0,0.0378628670175012,0,0,0,0.33549977423203,0,0,0,0,0,0,0,0.251422780800224,0,0.027304797975499,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394973214719273,0,0,0,0,0,0,0,0,0.160251077847192,0,0.0229049987265218,0.108614389201135,0,0,0.145330523704278,0,-0.0318088372009611,0.03219049158391
X600000.CH.EQUITY,0,0,0,0.247647445002503,0,0.00667023725831824,0,0,0,0,0,0.206298200760414,0,0,0.306616845858115,0,0.0322881476081245,0.133955916387049,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778282977476745,0.0307856990722567
X600015.CH.EQUITY,0,0,0,0,0,0,0.0691968223424395,0,0,0,0.281024952221487,0.265751779158093,0,0,0,0,0,0,0,0.0381201570469736,0,0,0,0,0.236342542320867,0,0.182351801374701,0,0,0,0,-0.0532590237936154,0,0,0,0,0,0,0,0,0.0950999166932112,0,0,0.0971714434297977,0,0,0,-0.118108473669797,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0.140550454762553,0,0,0,0,0.0423597301826519,0,0,0.00921927959404276,0,0.312542537201582,0,0,0,0,0,0,0,0.286699898433059,0,0,0,0,0,0,0,0,0.0470107475583359,0.0730650481677884,0,0.0501825264492907,0,4.33680868994202e-19,0,0.0444281613986984,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.516826972551063,0.0572535980980419,0,0,0,0,0,0,0,0,0,0,0,0,-0.11122950505879,0,0.189698098049636,0,0,0,0,0,0.236020282590009,0,-0.0543161697638219,0,0.0366702842364219,0,0,0,0.131322274652577,0.0479829297248525,0,0,0,0,0.041750269570893,0,-0.081361104106007,0,-0.0692838571391041,0,0,0,0,0,0,0,0,0.135937011579675,0.0157376865692993
X600919.CH.EQUITY,0,0,0,0.0230662266843031,3.46944695195361e-18,0,0,0.425738841900003,0.207063912730151,0,0,0,0,0.110747277712606,0.0162011577243975,0,0,0,0,0.148521322998587,0,0,0,0,0,0,0,0,0.123915654820805,0,0,0,-0.0526217386212754,0,0.071655144260728,0,0,0,0,0,-0.0657976024935294,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.210162631478376,0,0,0,0.0689479142666112,0.386457485389254,0,0,0,0,0,0,0.0881302227526095,0,0,0,0.264838397232443,0,0,0,0,0,0,0,0,0,0,0.159585716351151,0,-0.0767997043226893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642674274910782,-0.0150246077092646,-0.181951451538716,0.0265595797262107,0,0,0.0141572232354181
X601009.CH.EQUITY,0.124120608771493,0,0,0,-0.201789497295361,0,0.181562441600039,0,0,0,0,0,0,0,0,0,0,0,0.167844033834456,0,0,0,0,0,0.331040594241905,0,0,0.0243361592840016,0,0,0,0.252917527874567,0,0,0,0,0,0.0424274800548913,0,0,0.28015912922503,0,0,0,0.0102336497234806,-0.154935239966697,0,0,0,0,0.0739503832533071
X601166.CH.EQUITY,0,0.301952603292396,0.235376752881059,0,0,0,0,0,0.0256405111677326,0,0,0,0,0,0,0,0,0,0,0,0.150754485433808,0,0.00543404984918707,0,0,0,0,0,0,0.0359639283149248,0,0,0,0,0.221707954915364,0,0,0,0,0,0,0,0,0.0815393124239869,0,0,0,0.046422152133779,0,0,0
