,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.170567151837757,0,0,0,0.19412932181624,0,0,0.0362099852992449,0,0,0,0.257406295413743,0,0,0.163013522225114,0,0,0,0,0,0,0,0,0,0,0,0.108954317926375,0,0.0126173200748717,0,0.10112851962846,0,0,0,0,0,0,0,0.0166206403713147,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.0290945987572621,0,0,0,0,0.429505687034642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931139406012911,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.410661874405255,0,0.222049124853458,0,0,0,-0.0635296820548179,0,0,-0.302843574193786,0,0,0,0,0,0,0,0,0,0,-0.0569942860910134
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.375021008340882,0,0,0.417065479326206,0,0,0,0,0,0,0,0,0,0.0300515037621316,0.0847368035527255,0.0967034848283543,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0283080842528652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.365451227161188,0,0,0,0,0.140902916393307,0,0,0,0,0,0.00859421342744086,0.02194537051964,0.173435074670506,0,0,0,0,0,0,0,0,0,0,0,0.0754768702235645,0,0,0,0,0.0195343352824235,0,0,0,0,0,0,0.0699198432124454,0.0693321497459337,0,0,0,0.000844043441175282,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.139849101021593,0,0.513781209370873,0,0,0.0257702983322026,0,0,0,0,0,0,0,0,0.0344440569952057,0,0,0,0,0.227554798963289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491435099887949,0,0,0,0
X600036.CH.EQUITY,0.169776498053242,0,0,0,0,0,0.297407898899047,0,0,0,0,0,0.0795309270534353,0,0,0,0,0,0,0,0.0457864048379102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159740837804842,0,0,0.0977931109823452,0,0,0,0.0369785958968824,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.278982762126819,0,0,0.136384360421598,0,0.20884461081751,0,0,0,0,0,0,0.260116985219672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135625722865669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393215445351503,0.0339729961591612,0,0,0
X601169.CH.EQUITY,0,0,0.239042113903601,0.054720277146571,0,0,0.0582690638733265,0,0,0,0.062183300894108,0.220079593839084,0,0,0,0,0,0,0,0,0,0,0.0403500485026643,0,0.130252023141696,0,0,0.0139859137955763,0,0,0,0,0.18033829530205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.403215206789735,0,0,0.0750925242714934,0,0,0.140876263385516,0,0,0,-0.106462840634229,0,0,0,0,0,0,0.0531187318005392,0,0,0,0,0,0,0,0,0,0,0,0.17104830939173,0,0,0,0,0,0.182673081432166,0,0,0,0,0
X601288.CH.EQUITY,0.0163298677977608,0,0,0,0,0,0,0,0,0,0,0.285963227220969,0,0.163927934844979,0.399318793890879,0,0,0.0180162364093161,0,0,0,0.0426467987970598,0,0,0,0,0,0,0,0.0307731770237574,0,0,0,0,0,0,0.0302753415925667,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361125241190111
