,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601988.CH.EQUITY,0.0815829589427219,0,0,0,0,0,0,-0.0586603496509121,0,0.545479253470508,0,0,0,0,0,0,0.269332910829452,0,0,0,0,0,0.157226469537256,0,0.0901702751930694,0,0,0,0,0,0,0,0.049604532068512,0,0,0,0,-0.0767381871471653,0,0,-0.547258155185578,0,0.0687337274926386,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0591113734875173,0.12248137171168,0,0,0,0,0.411992321608916,0.039271469786375,0,0.125784709663847,0,0.182532333390755,0.0830317665080248,0.107804247068202,0,0,0,0,0,0,0,0,-0.0452700868141365,0,0,0,0,0,0,0,0,0,0,0,0.0211957662405123,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291851649055005,0
X601658.CH.Equity,0,0,0.152606181609933,0.312046169496877,0,0,0,0,0,0.0581038317050865,0,0,0,0,0.15481995576516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146507696674514,0,0,0,0,0,0,0,0.22311768391095,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178434632437406,0.0850900368476886,0,0.484265796480356,0.363678602699672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156204081807504,0.138342158967181,0,0.231888654576025,0,0,0,-0.177303311760244,0.0334868770378811,0,0,0,0,0,0,0,-0.0301035156491023,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348526867613651,0,0.0471609505416696,0,0,0,0,0,0,0,0,0,0,0.251180376574226,0,0,0,0,0,0.120370188983667,0,0,0,0,0,0,0,0.138407691966127,0.0779316315766017,0,0,0,0.0301218573764093,0
X5.HK.EQUITY,-0.0727678529263196,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.321439067083728,-0.0612800006144092,0,0,0,0,0,0,0,-0.145115646373083,0,0,0,0,0,0,0,0,0,0,0,0.274088104098747,-0.09724917942395,0,0,0,0,0,0,0,0.596615853154014,0,0,0
X2886.TT.EQUITY,0,0.312051085405922,0.119629140516693,0.142734440920432,0,0,0,0,0,-0.136271691062757,0,0,0,0,-0.136592891045593,0,0,0,0,0,0,0.472837386285696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124672021536441,0,0,0,0,0,0,0,0,0,0,0.100730633229501,0,0.00182751147964593,-0.00434714661624063,0
X2891.TT.EQUITY,0,0,-0.173955590283717,0.185583595658987,0,0,0,0,0.0251153546253962,0,0,0.239521815696312,0,0,0,0,-0.0857849421157585,0,0,0,0.606958666409314,0,0,0,-0.0508763065050135,0,0,0,0,0,0,0.0379217349463834,0,0,0,0.0203673529858393,0,0,0,0,0,0,0,0,0.087575003333959,0,0,0,0,0.0364826829132709,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131733234717789,0,0,0,0,0,0.336335546399054,0,0.0879742565895867,0,0.168870472085136,0.0393106297025096,0.165171122495667,0,0,0,0,0,0,0,0,0,0,-0.167571521822238,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,-0.103095354790261,-0.0899240025816783,0,0,0,0,0,0,0,0,0,0,0,-0.0377703742036984,0,0,0,0,0,0,0,0.917352564770071,-0.18111202099536,0,0,-0.173758738661756,0,0,0,0,0.142492836092126,0,0,0,0,1.73472347597681e-18,-0.222627194259534,0,0,0,0,0,0,0.237245377994068,0,0,-0.106016293295838,0.0955481867862339
